,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,0.15,0.96,0.41,42.1,0.97,0.41,0.16,0.38,16.8,0.00,0.00,0.00,0.13,0.13,0.14,0.03,0.03,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,0.09,1.54,0.37,24.2,1.54,0.37,0.06,0.25,25.7,0.42,0.00,0.00,0.07,0.07,0.05,0.02,0.02,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,0.06,0.49,0.15,31.3,0.49,0.15,0.13,0.40,11.2,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.03,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,0.05,0.09,0.05,50.0,0.09,0.05,0.50,1.00,14.7,0.00,0.00,0.00,0.01,0.01,0.08,0.04,0.04,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0.00,0.53,0.53,100.0,0.52,0.52,0.00,0.00,16.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,0.12,1.46,0.49,33.3,1.47,0.49,0.08,0.25,20.7,0.00,0.00,0.00,0.13,0.13,0.10,-0.01,-0.01,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,0.11,1.25,0.37,29.5,1.25,0.37,0.09,0.31,22.6,0.34,0.00,0.00,0.08,0.08,0.06,0.03,0.03,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
