,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2129,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,29,1990,32.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2130,Marc Roca\Marc-Roca,es ESP,MF,Espanyol,es La Liga,22,1996,33.4,0.06,0.87,0.09,10.3,0.87,0.09,0.00,0.00,29.8,0.06,0.06,0.06,0.07,0.02,0.03,-0.01,-0.02,Matches
2131,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,es La Liga,28,1991,20.8,0.24,2.84,0.67,23.7,2.83,0.67,0.08,0.36,25.1,0.14,0.00,0.00,0.13,0.13,0.05,0.12,0.12,Matches
2132,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,28,1990,21.5,0.14,0.56,0.28,50.0,0.56,0.28,0.25,0.50,18.9,0.00,0.00,0.00,0.04,0.04,0.07,0.10,0.10,Matches
2133,Rodri\Rodri,es ESP,MF,Manchester City,eng Premier League,23,1996,27.6,0.11,0.87,0.33,37.5,0.87,0.33,0.13,0.33,18.8,0.00,0.00,0.00,0.04,0.04,0.04,0.07,0.07,Matches
2134,Rodrigo\Rodrigo,es ESP,FW,Valencia,es La Liga,28,1991,20.9,0.19,1.87,0.67,35.9,1.87,0.67,0.10,0.29,14.6,0.00,0.00,0.00,0.27,0.27,0.15,-0.08,-0.08,Matches
2135,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Leganés,es La Liga,25,1994,21.5,0.05,1.07,0.37,34.8,1.07,0.37,0.04,0.13,23.6,0.09,0.00,0.00,0.05,0.05,0.05,-0.00,-0.00,Matches
2136,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DF,Real Sociedad,es La Liga,25,1994,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2137,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Leganés,es La Liga,21,1998,21.3,0.42,2.72,1.27,46.6,2.73,1.27,0.12,0.26,26.0,0.66,0.09,0.09,0.22,0.15,0.05,0.21,0.18,Matches
2138,Ángel Rodríguez\Angel-Rodriguez,es ESP,FW,Getafe,es La Liga,32,1987,15.6,0.64,3.14,1.47,46.9,3.13,1.47,0.18,0.39,15.5,0.00,0.06,0.06,0.41,0.36,0.11,0.23,0.22,Matches
2139,Dani Rodríguez\Dani-Rodriguez,es ESP,MFFW,Mallorca,es La Liga,31,1988,33.8,0.15,1.54,0.33,21.2,1.54,0.33,0.08,0.36,20.1,0.03,0.03,0.03,0.13,0.11,0.07,0.01,0.01,Matches
2140,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,es La Liga,25,1994,10.4,0.10,1.15,0.29,25.0,1.15,0.29,0.08,0.33,19.7,0.00,0.00,0.00,0.10,0.10,0.08,0.00,0.00,Matches
2141,James Rodríguez\James-Rodriguez,co COL,MF,Real Madrid,es La Liga,28,1991,4.7,0.21,1.91,0.21,11.1,1.93,0.21,0.11,1.00,17.1,0.21,0.00,0.00,0.19,0.19,0.10,0.02,0.02,Matches
2142,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,eng Premier League,30,1989,22.4,0.36,2.95,1.16,39.4,2.95,1.16,0.11,0.27,17.1,0.00,0.04,0.04,0.36,0.32,0.11,0.00,-0.01,Matches
2143,Mario Rodriguez\Mario-Rodriguez,es ESP,FW,Granada,es La Liga,22,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2144,Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Milan,it Serie A,26,1992,4.3,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,29.7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
2145,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,es La Liga,18,2001,11.3,0.18,1.42,0.71,50.0,1.41,0.71,0.13,0.25,11.5,0.00,0.00,0.00,0.23,0.23,0.16,-0.05,-0.05,Matches
2146,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,eng Premier League,28,1991,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2147,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,24,1995,25.7,0.04,1.17,0.31,26.7,1.17,0.31,0.03,0.13,23.8,0.04,0.00,0.00,0.08,0.08,0.07,-0.04,-0.04,Matches
2148,Agustín Rogel\Agustin-Rogel,uy URU,DF,Toulouse,fr Ligue 1,21,1997,9.5,0.00,0.32,0.00,0.0,0.31,0.00,0.00,,5.7,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
2149,Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,21,1998,11.3,0.09,0.97,0.35,36.4,0.98,0.35,0.09,0.25,20.9,0.09,0.00,0.00,0.04,0.04,0.04,0.05,0.05,Matches
2150,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,eng Premier League,29,1990,1.4,0.00,0.71,0.00,0.0,0.74,0.00,0.00,,5.1,0.00,0.00,0.00,0.07,0.07,0.11,-0.07,-0.07,Matches
2151,Filippo Romagna\Filippo-Romagna,it ITA,DF,Sassuolo,it Serie A,22,1997,16.4,0.00,0.12,0.06,50.0,0.12,0.06,0.00,0.00,10.0,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
2152,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,24,1995,34.3,0.03,0.41,0.09,21.4,0.41,0.09,0.07,0.33,8.9,0.00,0.00,0.00,0.04,0.04,0.11,-0.01,-0.01,Matches
2153,Alaixys Romao\Alaixys-Romao,tg TOG,MF,Reims,fr Ligue 1,35,1984,19.8,0.00,0.61,0.10,16.7,0.61,0.10,0.00,0.00,17.2,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
2154,Cristian Romero\Cristian-Romero,ar ARG,DF,Genoa,it Serie A,21,1998,28.6,0.03,0.49,0.10,21.4,0.49,0.10,0.00,0.00,10.7,0.00,0.03,0.03,0.08,0.05,0.11,-0.05,-0.05,Matches
2155,Luka Romero\Luka-Romero,ar ARG,MF,Mallorca,es La Liga,14,2004,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2156,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,eng Premier League,27,1991,20.7,0.00,0.43,0.00,0.0,0.44,0.00,0.00,,20.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
2157,Rômulo\Romulo,it ITA,MF,Brescia,it Serie A,32,1987,19.1,0.05,0.89,0.37,41.2,0.89,0.37,0.06,0.14,15.1,0.00,0.00,0.00,0.11,0.11,0.13,-0.06,-0.06,Matches
2158,Rômulo\Romulo,it ITA,DF,Genoa,it Serie A,32,1987,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2159,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,34,1985,32.4,0.96,6.05,2.07,34.2,6.05,2.07,0.10,0.28,18.8,0.56,0.37,0.40,0.82,0.52,0.09,0.13,0.07,Matches
2160,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,32,1987,14.2,0.07,0.21,0.14,66.7,0.21,0.14,0.33,0.50,26.7,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.07,Matches
2161,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,24,1994,19.9,0.00,1.81,0.40,22.2,1.81,0.40,0.00,0.00,22.4,0.00,0.00,0.05,0.12,0.08,0.05,-0.12,-0.08,Matches
2162,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Nantes,fr Ligue 1,24,1994,3.0,0.00,1.33,0.33,25.0,1.33,0.33,0.00,0.00,16.8,0.00,0.00,0.00,0.07,0.07,0.04,-0.07,-0.07,Matches
2163,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,28,1991,30.2,0.07,1.03,0.20,19.4,1.03,0.20,0.06,0.33,22.4,0.00,0.00,0.00,0.06,0.06,0.06,0.01,0.01,Matches
2164,Roberto Rosales\Roberto-Rosales,ve VEN,DF,Leganés,es La Liga,30,1988,20.8,0.00,0.43,0.05,11.1,0.43,0.05,0.00,0.00,24.7,0.19,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
2165,Antonio Rosati\Antonio-Rosati,it ITA,GK,Torino,it Serie A,36,1983,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2166,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,eng Premier League,29,1990,9.9,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,18.7,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
2167,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,eng Premier League,29,1990,9.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2168,Luca Rossettini\Luca-Rossettini,it ITA,DF,Lecce,it Serie A,34,1985,25.1,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,11.4,0.00,0.00,0.00,0.00,0.00,0.03,-0.00,-0.00,Matches
2169,Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,it Serie A,28,1991,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2170,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,26,1993,26.3,0.04,0.72,0.15,21.1,0.72,0.15,0.05,0.25,24.1,0.00,0.00,0.00,0.03,0.03,0.04,0.01,0.01,Matches
2171,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,31,1988,6.5,0.31,2.77,1.23,44.4,2.77,1.23,0.11,0.25,15.1,0.00,0.00,0.00,0.23,0.23,0.09,0.08,0.08,Matches
2172,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,17,2001,1.2,0.00,0.83,0.00,0.0,0.86,0.00,0.00,,25.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
2173,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Hellas Verona,it Serie A,25,1994,35.9,0.00,1.20,0.33,27.9,1.20,0.33,0.00,0.00,12.2,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
2174,Rubén\Ruben,es ESP,GK,Osasuna,es La Liga,35,1984,17.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2175,Waldo Rubio\Waldo-Rubio,es ESP,MFFW,Valladolid,es La Liga,23,1995,9.8,0.00,1.73,0.41,23.5,1.74,0.41,0.00,0.00,24.3,0.00,0.00,0.00,0.06,0.06,0.03,-0.06,-0.06,Matches
2176,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,26,1993,19.0,0.11,0.58,0.16,27.3,0.58,0.16,0.18,0.67,13.9,0.00,0.00,0.00,0.03,0.03,0.05,0.07,0.07,Matches
2177,Sebastian Rudy\Sebastian-Rudy,de GER,MF,Hoffenheim,de Bundesliga,29,1990,30.4,0.03,0.82,0.30,36.0,0.82,0.30,0.04,0.11,25.7,0.00,0.00,0.00,0.04,0.04,0.05,-0.01,-0.01,Matches
2178,Stéphane Ruffier\Stephane-Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,22.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2179,Dion Ruffo Luci\Dion-Ruffo-Luci,it ITA,MF,Bologna,it Serie A,18,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2180,Daniele Rugani\Daniele-Rugani,it ITA,DF,Juventus,it Serie A,25,1994,7.7,0.00,0.78,0.26,33.3,0.78,0.26,0.00,0.00,14.8,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
2181,Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,28,1991,21.8,0.00,1.47,0.46,31.3,1.46,0.46,0.00,0.00,26.6,0.09,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
2182,Aitor Ruibal\Aitor-Ruibal,es ESP,DFFW,Leganés,es La Liga,23,1996,13.6,0.00,1.18,0.22,18.8,1.18,0.22,0.00,0.00,21.0,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
2183,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,23,1996,29.8,0.10,2.38,0.57,23.9,2.38,0.57,0.04,0.18,23.3,0.00,0.00,0.00,0.10,0.10,0.04,-0.00,-0.00,Matches
2184,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Montpellier,fr Ligue 1,27,1992,25.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2185,Lukas Rupp\Lukas-Rupp,de GER,MFFW,Hoffenheim,de Bundesliga,28,1991,3.8,0.00,1.32,0.00,0.0,1.32,0.00,0.00,,14.7,0.00,0.00,0.00,0.08,0.08,0.06,-0.08,-0.08,Matches
2186,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,eng Premier League,28,1991,7.7,0.00,0.52,0.26,50.0,0.52,0.26,0.00,0.00,16.1,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
2187,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,27,1992,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2188,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,21,1997,4.1,0.00,0.49,0.00,0.0,0.49,0.00,0.00,,14.7,0.00,0.00,0.00,0.17,0.17,0.33,-0.17,-0.17,Matches
2189,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,26,1992,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2190,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,MFFW,Wolfsburg,de Bundesliga,25,1994,18.1,0.11,1.60,0.61,37.9,1.60,0.61,0.07,0.18,16.0,0.00,0.00,0.00,0.19,0.19,0.12,-0.08,-0.08,Matches
2191,Roli Pereira de Sa\Roli-Pereira-de-Sa,fr FRA,MF,Nantes,fr Ligue 1,22,1996,0.1,0.00,10.0,0.00,0.0,15.00,0.00,0.00,,27.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
2192,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,26,1993,10.1,0.00,0.59,0.10,16.7,0.59,0.10,0.00,0.00,18.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
2193,Stefano Sabelli\Stefano-Sabelli,it ITA,DF,Brescia,it Serie A,26,1993,35.2,0.00,0.40,0.11,28.6,0.40,0.11,0.00,0.00,24.7,0.06,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
2194,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,MF,Paderborn 07,de Bundesliga,22,1996,11.6,0.34,3.28,1.21,36.8,3.26,1.20,0.08,0.21,24.4,0.86,0.09,0.09,0.23,0.16,0.05,0.11,0.09,Matches
2195,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MFFW,RB Leipzig,de Bundesliga,25,1994,27.8,0.32,2.55,0.86,33.8,2.56,0.86,0.13,0.38,20.8,0.29,0.00,0.00,0.25,0.25,0.10,0.07,0.07,Matches
2196,Ihsan Sacko\Ihsan-Sacko,fr FRA,FW,Nice,fr Ligue 1,22,1997,1.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2197,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FWMF,Milan,it Serie A,20,1999,7.6,0.13,1.18,0.26,22.2,1.18,0.26,0.11,0.50,16.5,0.00,0.00,0.00,0.11,0.11,0.09,0.03,0.03,Matches
2198,Jorge Sáenz\Jorge-Saenz,es ESP,DFFW,Celta Vigo,es La Liga,22,1996,4.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2199,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,de Bundesliga,30,1988,13.9,0.00,0.79,0.07,9.1,0.79,0.07,0.00,0.00,25.2,0.14,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
2200,Wesley Saïd\Wesley-Said,fr FRA,MFFW,Toulouse,fr Ligue 1,24,1995,12.9,0.16,1.94,0.78,40.0,1.94,0.78,0.08,0.20,17.3,0.00,0.00,0.00,0.19,0.19,0.10,-0.03,-0.03,Matches
2201,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,eng Premier League,22,1997,20.7,0.14,2.22,0.97,43.5,2.22,0.97,0.07,0.15,22.2,0.00,0.00,0.00,0.15,0.15,0.07,-0.01,-0.01,Matches
2202,Théo Sainte-Luce\Theo-Sainte-Luce,fr FRA,DFFW,Nîmes,fr Ligue 1,20,1998,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2203,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,18,2001,6.4,0.16,1.41,0.78,55.6,1.41,0.79,0.11,0.20,13.7,0.00,0.00,0.00,0.20,0.20,0.14,-0.05,-0.05,Matches
2204,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,29,1990,30.1,0.07,0.76,0.27,34.8,0.77,0.27,0.09,0.25,12.5,0.03,0.00,0.00,0.09,0.09,0.12,-0.02,-0.02,Matches
2205,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,eng Premier League,17,2001,19.5,0.05,0.67,0.21,30.8,0.67,0.21,0.08,0.25,17.5,0.00,0.00,0.00,0.07,0.07,0.10,-0.02,-0.02,Matches
2206,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,29,1990,18.0,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,25.7,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
2207,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,29,1990,10.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2208,Jacopo Sala\Jacopo-Sala,it ITA,DF,SPAL,it Serie A,27,1991,9.5,0.00,1.47,0.21,14.3,1.48,0.21,0.00,0.00,21.1,0.00,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,Matches
2209,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,27,1992,32.0,0.59,4.06,1.75,43.1,4.07,1.75,0.12,0.29,14.8,0.13,0.09,0.09,0.61,0.54,0.13,-0.01,-0.04,Matches
2210,Bartosz Salamon\Bartosz-Salamon,pl POL,DF,SPAL,it Serie A,28,1991,3.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2211,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,17,2001,7.6,0.13,2.89,0.92,31.8,2.91,0.93,0.05,0.14,16.2,0.00,0.00,0.00,0.20,0.20,0.07,-0.07,-0.07,Matches
2212,William Saliba\William-Saliba,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2001,11.0,0.00,0.27,0.00,0.0,0.27,0.00,0.00,,14.7,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
2213,Yannis Salibur\Yannis-Salibur,fr FRA,MFFW,Mallorca,es La Liga,28,1991,0.9,0.00,1.11,0.00,0.0,1.10,0.00,0.00,,34.0,1.11,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
2214,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,35,1984,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2215,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Valladolid,es La Liga,20,1999,30.3,0.03,0.23,0.03,14.3,0.23,0.03,0.14,1.00,9.3,0.00,0.00,0.00,0.04,0.04,0.18,-0.01,-0.01,Matches
2216,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,22,1997,12.9,0.16,2.64,0.93,35.3,2.63,0.93,0.06,0.17,15.3,0.00,0.00,0.00,0.19,0.19,0.07,-0.03,-0.03,Matches
2217,Lazar Samardzic\Lazar-Samardzic,de GER,MF,Hertha BSC,de Bundesliga,17,2002,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2218,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,23,1996,14.6,0.00,0.48,0.14,28.6,0.48,0.14,0.00,0.00,25.0,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
2219,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,eng Premier League,26,1992,10.5,0.10,1.62,0.29,17.6,1.62,0.29,0.06,0.33,10.1,0.00,0.00,0.00,0.18,0.18,0.11,-0.09,-0.09,Matches
2220,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FWMF,Dijon,fr Ligue 1,23,1995,18.6,0.32,2.69,0.86,32.0,2.68,0.86,0.12,0.38,16.0,0.00,0.00,0.00,0.26,0.26,0.10,0.06,0.06,Matches
2221,Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,22,1996,6.5,0.15,2.00,0.77,38.5,1.99,0.77,0.08,0.20,22.1,0.31,0.00,0.00,0.08,0.08,0.04,0.08,0.08,Matches
2222,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,MFFW,Dijon,fr Ligue 1,33,1986,5.8,0.17,1.55,0.34,22.2,1.56,0.35,0.11,0.50,22.2,0.52,0.00,0.00,0.09,0.09,0.06,0.09,0.09,Matches
2223,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,es La Liga,22,1997,19.5,0.00,0.15,0.05,33.3,0.15,0.05,0.00,0.00,25.3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
2224,Mikel San José\Mikel-San-Jose,es ESP,MF,Athletic Club,es La Liga,30,1989,4.0,0.00,1.50,0.25,16.7,1.50,0.25,0.00,0.00,14.0,0.00,0.00,0.00,0.13,0.13,0.08,-0.13,-0.13,Matches
2225,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Genoa,it Serie A,23,1996,15.4,0.39,2.66,1.30,48.8,2.66,1.30,0.15,0.30,17.5,0.13,0.00,0.00,0.24,0.24,0.09,0.15,0.15,Matches
2226,Oihan Sancet\Oihan-Sancet,es ESP,MF,Athletic Club,es La Liga,19,2000,8.2,0.12,1.10,0.61,55.6,1.09,0.61,0.11,0.20,16.3,0.00,0.00,0.00,0.11,0.11,0.10,0.01,0.01,Matches
2227,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,de Bundesliga,21,1997,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2228,Renato Sanches\Renato-Sanches,pt POR,MFFW,Lille,fr Ligue 1,21,1997,16.5,0.18,1.88,0.67,35.5,1.88,0.67,0.10,0.27,24.5,0.24,0.00,0.00,0.12,0.10,0.05,0.07,0.08,Matches
2229,Alexis Sánchez\Alexis-Sanchez,cl CHI,FW,Inter,it Serie A,30,1988,10.3,0.39,2.04,1.07,52.4,2.05,1.07,0.14,0.27,15.6,0.10,0.10,0.10,0.42,0.34,0.17,-0.03,-0.05,Matches
2230,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,eng Premier League,33,1986,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2231,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,eng Premier League,23,1996,27.0,0.00,0.30,0.11,37.5,0.30,0.11,0.00,0.00,8.7,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
2232,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,32,1986,25.5,0.08,0.39,0.12,30.0,0.39,0.12,0.20,0.67,7.7,0.00,0.00,0.00,0.06,0.06,0.15,0.02,0.02,Matches
2233,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,es La Liga,22,1997,5.5,0.00,0.55,0.00,0.0,0.54,0.00,0.00,,7.8,0.00,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches
2234,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,es La Liga,18,2000,3.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
2235,Víctor Sánchez\Victor-Sanchez,es ESP,MFDF,Espanyol,es La Liga,31,1987,18.8,0.00,0.53,0.05,10.0,0.53,0.05,0.00,0.00,27.2,0.05,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
2236,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,de Bundesliga,19,2000,25.4,0.67,2.05,1.10,53.8,2.05,1.10,0.33,0.61,15.5,0.04,0.00,0.00,0.37,0.37,0.18,0.30,0.30,Matches
2237,Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,it Serie A,28,1991,26.5,0.04,0.64,0.19,29.4,0.64,0.19,0.06,0.20,17.3,0.00,0.00,0.00,0.03,0.03,0.04,0.01,0.01,Matches
2238,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,eng Premier League,23,1996,0.1,0.00,20.0,0.00,0.0,15.00,0.00,0.00,,25.4,10.0,0.00,0.00,1.00,1.00,0.05,-1.00,-1.00,Matches
2239,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,de Bundesliga,28,1990,12.5,0.16,0.72,0.24,33.3,0.72,0.24,0.22,0.67,12.2,0.00,0.00,0.00,0.06,0.06,0.08,0.10,0.10,Matches
2240,Luca Sangalli\Luca-Sangalli,es ESP,MF,Real Sociedad,es La Liga,24,1995,4.1,0.00,1.71,1.22,71.4,1.69,1.21,0.00,0.00,18.8,0.00,0.00,0.00,0.12,0.12,0.07,-0.12,-0.12,Matches
2241,Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,fr Ligue 1,21,1997,24.2,0.00,0.83,0.21,25.0,0.83,0.21,0.00,0.00,20.2,0.08,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
