,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
177,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,22,1996,3.0,1.00,0.33,0.00,0.00,0.00,0.80,0.36,-0.20,-0.19,8.00,21.3,37.5,18.7,3.00,71.4,52.4,9.00,88.9,63.4,9.00,0.33,3.7,0.00,0.00,4.27,Matches
178,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,28,1991,37.0,1.73,0.16,0.05,0.16,0.03,1.56,0.30,-0.14,-0.14,5.32,12.0,44.3,23.1,5.84,37.7,35.3,7.89,42.1,34.8,8.65,1.24,14.4,0.41,0.41,0.35,Matches
179,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,de Bundesliga,20,1999,1.7,2.35,0.00,0.00,0.59,0.00,2.18,0.34,-0.18,-0.17,7.65,18.2,41.9,31.8,5.29,37.0,35.9,9.41,68.8,50.6,7.65,1.18,15.4,1.18,1.19,9.47,Matches
180,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,30,1988,34.0,1.18,0.03,0.03,0.09,0.00,1.30,0.28,0.13,+0.13,6.76,14.3,47.3,37.1,4.91,30.2,33.1,8.38,37.2,36.4,8.41,0.41,4.9,0.91,0.91,0.42,Matches
181,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,26,1993,38.0,0.97,0.13,0.00,0.05,0.03,1.00,0.33,0.06,+0.05,9.71,26.0,37.4,22.9,1.08,86.3,58.8,6.82,90.7,61.4,6.89,0.79,11.5,1.29,1.29,0.45,Matches
182,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,es La Liga,21,1997,11.0,1.64,0.45,0.09,0.00,0.09,1.42,0.33,-0.13,-0.12,4.45,15.9,28.0,20.2,5.36,52.3,45.8,6.82,78.7,63.1,6.36,0.64,10.0,0.64,0.64,1.66,Matches
183,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,5.8,0.86,0.00,0.00,0.00,0.00,0.79,0.24,-0.07,-0.06,1.90,5.52,34.4,21.6,5.17,17.6,27.7,4.66,37.0,37.1,5.34,0.69,12.9,1.21,1.20,3.33,Matches
184,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.0,26.0,10.0,100.0,70.0,0.00,0.00,,0.00,0.00,,Matches
185,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17.0,2.12,0.06,0.06,0.35,0.06,1.88,0.32,-0.18,-0.18,9.18,19.2,47.7,28.1,5.94,48.6,41.9,8.41,66.4,55.3,8.53,0.53,6.2,0.65,0.65,0.80,Matches
186,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,38.0,1.11,0.18,0.03,0.21,0.03,1.20,0.27,0.12,+0.12,5.32,11.9,44.6,24.5,3.92,40.7,34.5,7.68,25.3,27.2,7.42,0.39,5.3,0.45,0.45,0.37,Matches
187,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,29,1990,28.8,1.15,0.28,0.03,0.14,0.00,1.20,0.22,0.06,+0.06,3.75,6.94,54.0,19.6,5.42,28.5,32.5,6.81,19.9,26.8,7.60,0.38,5.0,0.76,0.76,0.52,Matches
188,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2.0,1.00,0.00,0.00,0.00,0.00,0.95,0.18,-0.05,-0.06,7.00,9.00,77.8,26.5,7.50,26.4,30.0,3.00,66.7,44.5,3.50,1.00,28.6,1.00,1.00,7.50,Matches
189,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36.0,1.00,0.17,0.06,0.03,0.00,0.97,0.27,-0.03,-0.03,5.69,9.39,60.7,33.3,4.92,22.8,28.8,6.08,29.7,31.0,7.39,0.36,4.9,0.75,0.75,0.42,Matches
190,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,6.9,0.72,0.43,0.00,0.00,0.00,0.90,0.19,0.17,+0.17,3.91,13.2,29.7,21.9,5.22,45.0,39.0,8.55,39.0,35.9,12.5,0.87,7.0,0.72,0.72,1.91,Matches
191,Demba Thiam\Demba-Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,2.0,2.00,0.50,0.00,1.00,0.00,1.70,0.18,-0.30,-0.29,5.00,12.5,40.0,22.0,6.50,36.4,36.1,13.5,33.3,29.6,9.50,0.50,5.3,0.50,0.50,7.60,Matches
192,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,0.8,1.25,0.00,0.00,0.00,0.00,1.25,0.24,0.00,-0.04,1.25,11.3,11.1,42.5,13.8,26.5,32.1,8.75,0.0,20.4,10.0,1.25,12.5,1.25,1.30,18.6,Matches
193,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,29,1990,22.0,1.73,0.05,0.05,0.14,0.09,1.45,0.30,-0.18,-0.18,8.23,18.3,44.9,36.1,4.09,42.3,37.1,6.59,46.2,41.2,7.64,0.77,10.1,0.95,0.95,0.69,Matches
194,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,eng Premier League,20,1999,1.0,3.00,0.00,0.00,0.00,0.00,2.60,0.52,-0.40,-0.39,7.00,13.0,53.8,24.0,5.00,33.3,34.5,8.00,62.5,45.4,7.00,0.00,0.0,0.00,0.00,14.9,Matches
195,Stefano Turati\Stefano-Turati,it ITA,GK,Sassuolo,it Serie A,17,2001,2.0,2.00,0.50,0.00,0.00,0.00,1.90,0.26,-0.10,-0.08,2.00,6.00,33.3,18.5,4.50,24.3,26.9,7.00,21.4,25.6,10.0,1.00,10.0,1.00,1.00,9.10,Matches
196,Samir Ujkani\Samir-Ujkani,xk KVX,GK,Torino,it Serie A,31,1988,1.0,3.00,1.00,0.00,1.00,0.00,2.70,0.35,-0.30,-0.31,8.00,14.0,57.1,43.0,2.00,30.2,33.4,9.00,11.1,25.4,9.00,0.00,0.0,1.00,1.00,18.0,Matches
197,Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,de Bundesliga,30,1988,1.0,1.00,0.00,0.00,0.00,0.00,1.40,0.50,0.40,+0.44,7.00,13.0,53.8,42.0,5.00,26.2,28.1,10.0,20.0,25.7,10.0,1.00,10.0,1.00,1.00,12.0,Matches
198,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,30,1989,32.5,0.95,0.06,0.09,0.09,0.03,0.78,0.24,-0.14,-0.14,5.48,12.8,42.7,21.1,4.77,40.1,37.3,7.23,60.4,48.1,8.00,0.62,7.7,0.49,0.49,0.43,Matches
199,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,23,1995,2.0,1.00,0.00,0.00,0.50,0.00,0.85,0.17,-0.15,-0.13,3.50,13.0,26.9,21.5,8.00,46.5,40.6,10.0,30.0,30.6,15.0,1.00,6.7,1.00,1.00,7.80,Matches
200,Mauro Vigorito\Mauro-Vigorito,it ITA,GK,Lecce,it Serie A,29,1990,4.7,1.91,0.21,0.00,0.21,0.00,2.00,0.33,0.09,+0.08,5.11,13.6,37.5,22.1,5.74,43.3,36.3,10.4,38.8,32.2,13.0,0.85,6.6,0.21,0.21,2.47,Matches
201,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,22,1997,3.1,1.61,0.00,0.00,0.00,0.00,1.52,0.42,-0.10,-0.11,4.84,13.9,34.9,19.7,1.94,39.3,35.5,9.03,67.9,55.3,11.0,0.97,8.8,0.97,0.96,5.16,Matches
202,Felix Wiedwald\Felix-Wiedwald,de GER,GK,Eint Frankfurt,de Bundesliga,29,1990,3.0,2.67,0.00,0.00,0.67,0.00,2.23,0.32,-0.43,-0.43,8.67,17.3,50.0,26.3,4.67,49.4,38.0,8.00,54.2,41.8,9.33,0.67,7.1,1.00,1.00,5.37,Matches
203,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,30,1988,3.0,1.67,0.00,0.00,0.00,0.00,1.27,0.21,-0.40,-0.39,12.7,26.7,47.5,23.0,2.00,82.6,59.1,8.00,95.8,72.4,9.67,0.33,3.4,1.00,1.00,4.43,Matches
204,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,24,1994,21.5,1.86,0.05,0.00,0.28,0.05,1.72,0.32,-0.09,-0.10,6.28,19.0,33.0,28.1,6.70,47.4,40.8,9.12,62.8,51.6,10.5,1.07,10.2,0.93,0.93,0.75,Matches
205,Leopold Zingerle\Leopold-Zingerle,de GER,GK,Paderborn 07,de Bundesliga,25,1994,28.0,2.04,0.11,0.11,0.25,0.07,2.03,0.37,0.06,+0.06,6.86,13.6,50.5,35.1,6.68,31.1,32.3,8.39,31.9,32.5,9.25,0.36,3.9,0.61,0.61,0.50,Matches

