,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2111,Tim Ream\Tim-Ream,us USA,DF,Fulham,eng Premier League,33-211,1987,5.0,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.60,0.40,0.00,0.00,0.00,10.0,1.40,1.60,46.7,Matches
2112,Ante Rebić\Ante-Rebic,hr CRO,FW,Milan,it Serie A,27-225,1993,17.6,0.23,0.06,0.00,1.76,0.80,0.63,2.61,0.63,1.02,0.17,0.00,0.00,4.72,1.14,2.22,33.9,Matches
2113,Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,Crotone,it Serie A,25-321,1995,25.2,0.28,0.00,0.00,1.31,0.99,0.16,3.33,2.02,0.83,0.16,0.00,0.00,7.90,1.19,1.43,45.5,Matches
2114,Recio\Recio,es ESP,MFFW,Eibar,es La Liga,30-113,1991,6.4,0.78,0.00,0.00,2.34,2.81,0.00,2.19,0.63,1.41,0.00,0.00,0.00,9.53,1.25,2.19,36.4,Matches
2115,Daishawn Redan\Daishawn-Redan,nl NED,MFFW,Hertha BSC,de Bundesliga,20-091,2001,0.8,0.00,0.00,0.00,2.50,0.00,0.00,3.75,0.00,0.00,0.00,0.00,0.00,3.75,0.00,5.00,0.0,Matches
2116,Nathan Redmond\Nathan-Redmond,eng ENG,FWMF,Southampton,eng Premier League,27-059,1994,15.1,0.00,0.00,0.00,1.52,0.79,0.20,1.72,0.86,0.99,0.00,0.00,0.00,6.36,0.66,2.12,23.8,Matches
2117,Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,eng Premier League,26-097,1995,23.6,0.21,0.00,0.00,1.57,1.02,0.04,0.55,2.08,1.69,0.00,0.00,0.00,13.6,1.14,1.14,50.0,Matches
2118,Vasco Regini\Vasco-Regini,it ITA,DF,Sampdoria,it Serie A,30-237,1990,0.9,0.00,0.00,0.00,1.11,1.11,0.00,1.11,0.00,0.00,0.00,0.00,1.11,3.33,1.11,0.00,100.0,Matches
2119,Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Tottenham,eng Premier League,24-139,1996,20.9,0.19,0.00,0.00,1.05,0.86,0.05,2.58,1.48,1.20,0.05,0.05,0.00,9.00,1.29,1.34,49.1,Matches
2120,Bobby Reid\Bobby-Reid,jm JAM,MFFW,Fulham,eng Premier League,28-091,1993,22.6,0.31,0.00,0.00,1.42,0.84,0.04,1.15,0.53,0.80,0.04,0.00,0.00,5.88,1.06,1.55,40.7,Matches
2121,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,38-246,1982,27.0,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.81,0.00,0.00,,Matches
2122,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,MFFW,Nice,fr Ligue 1,23-107,1998,11.8,0.08,0.00,0.00,0.51,1.78,0.25,0.85,0.68,0.42,0.08,0.00,0.00,6.53,0.42,0.85,33.3,Matches
2123,Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,FW,Lyon,fr Ligue 1,23-107,1998,0.3,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
2124,Reinier\Reinier,br BRA,MFFW,Dortmund,de Bundesliga,19-105,2002,1.9,0.00,0.00,0.00,1.05,0.53,0.53,0.53,1.05,3.16,0.00,0.00,0.00,6.84,1.58,2.11,42.9,Matches
2125,Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,es La Liga,24-039,1997,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,0.0,Matches
2126,Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,de Bundesliga,18-340,2002,0.7,1.43,0.00,0.00,2.86,1.43,0.00,0.00,1.43,1.43,0.00,0.00,0.00,21.4,0.00,0.00,,Matches
2127,Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,es La Liga,26-153,1994,6.3,0.32,0.00,0.00,2.70,0.63,0.16,1.27,0.79,1.11,0.00,0.00,0.00,4.60,2.06,0.63,76.5,Matches
2128,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,26-041,1995,34.0,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.71,0.00,0.00,,Matches
2129,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Saint-Étienne,fr Ligue 1,22-268,1998,3.0,0.67,0.00,0.00,2.00,0.33,0.00,0.00,2.33,1.00,0.00,0.00,0.00,13.3,5.00,2.33,68.2,Matches
2130,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,de Bundesliga,31-338,1989,22.7,0.04,0.00,0.00,1.19,1.28,0.40,2.16,0.44,1.23,0.13,0.00,0.00,6.08,0.57,1.28,31.0,Matches
2131,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,de Bundesliga,23-184,1997,19.6,0.20,0.00,0.00,1.07,2.40,0.05,1.38,1.02,1.53,0.00,0.00,0.00,7.86,0.51,2.04,20.0,Matches
2132,Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,es La Liga,23-068,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,5.00,0.0,Matches
2133,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,de Bundesliga,18-172,2002,20.1,0.05,0.00,0.00,1.19,2.29,0.20,1.44,0.50,1.14,0.05,0.00,0.00,6.32,1.04,2.14,32.8,Matches
2134,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-188,1990,35.0,0.09,0.00,0.00,0.03,0.20,0.00,0.00,0.00,0.00,0.00,0.03,0.00,5.49,0.03,0.00,100.0,Matches
2135,Bryan Reynolds\Bryan-Reynolds,us USA,DF,Roma,it Serie A,19-310,2001,2.0,0.00,0.00,0.00,1.50,1.00,0.00,2.00,2.00,0.50,0.00,0.00,0.00,4.00,1.00,1.50,40.0,Matches
2136,Franck Ribéry\Franck-Ribery,fr FRA,FW,Fiorentina,it Serie A,38-027,1983,21.2,0.24,0.05,0.00,1.46,2.97,0.33,1.13,0.38,0.94,0.05,0.00,0.00,6.04,0.24,1.13,17.2,Matches
2137,Ricard\Ricard,es ESP,DF,Atlético Madrid,es La Liga,21-071,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.00,0.00,0.00,6.67,0.00,3.33,0.0,Matches
2138,Federico Ricci\Federico-Ricci,it ITA,FW,Sassuolo,it Serie A,26-342,1994,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
2139,Giacomo Ricci\Giacomo-Ricci,it ITA,DF,Parma,it Serie A,24-244,1996,0.7,0.00,0.00,0.00,0.00,0.00,0.00,1.43,1.43,1.43,0.00,0.00,0.00,5.71,1.43,2.86,33.3,Matches
2140,Matteo Ricci\Matteo-Ricci,it ITA,MF,Spezia,it Serie A,26-342,1994,22.6,0.18,0.00,0.00,1.06,1.19,0.00,0.40,1.11,1.33,0.00,0.00,0.00,11.4,0.84,0.62,57.6,Matches
2141,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,eng Premier League,22-110,1999,29.0,0.07,0.00,0.00,0.72,0.41,0.03,0.97,2.17,1.69,0.00,0.03,0.00,9.72,1.48,0.93,61.4,Matches
2142,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,de Bundesliga,21-037,2000,10.5,0.10,0.00,0.00,0.57,0.48,0.00,0.00,1.24,1.24,0.00,0.00,0.00,10.8,2.38,2.19,52.1,Matches
2143,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,de Bundesliga,21-037,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,4.00,2.00,3.00,40.0,Matches
2144,Lewis Richardson\Lewis-Richardson,eng ENG,FWMF,Burnley,eng Premier League,18-086,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
2145,Richarlison\Richarlison,br BRA,FW,Everton,eng Premier League,23-359,1997,27.0,0.11,0.04,0.00,1.07,2.37,0.89,0.81,0.67,1.04,0.00,0.00,0.00,5.93,1.41,2.63,34.9,Matches
2146,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,de Bundesliga,23-161,1997,13.4,0.22,0.07,0.07,1.19,2.39,0.45,2.24,0.52,0.52,0.00,0.00,0.00,7.69,1.04,2.39,30.4,Matches
2147,Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,es La Liga,36-181,1984,21.4,0.05,0.00,0.00,0.84,0.89,0.09,1.17,0.84,0.65,0.00,0.00,0.00,8.32,0.65,0.98,40.0,Matches
2148,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-245,1993,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.56,0.00,0.00,,Matches
2149,Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24-237,1996,17.9,0.17,0.00,0.00,1.12,0.17,0.00,0.28,1.23,1.06,0.00,0.00,0.00,7.82,0.56,0.84,40.0,Matches
2150,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,es La Liga,28-089,1993,12.6,0.40,0.00,0.00,1.67,0.63,0.56,2.06,0.40,0.79,0.00,0.00,0.00,4.37,0.48,0.95,33.3,Matches
2151,Tomás Rincón\Tomas-Rincon,ve VEN,MF,Torino,it Serie A,33-111,1988,27.9,0.32,0.04,0.04,2.33,1.47,0.00,0.36,0.97,1.47,0.00,0.00,0.00,9.53,1.47,1.40,51.3,Matches
2152,Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,es La Liga,27-200,1993,20.3,0.15,0.00,0.00,0.84,1.18,0.25,2.61,1.28,0.59,0.05,0.00,0.00,6.35,0.84,1.67,33.3,Matches
2153,Renaud Ripart\Renaud-Ripart,fr FRA,MFFW,Nîmes,fr Ligue 1,28-051,1993,30.9,0.10,0.00,0.00,0.91,1.78,0.13,1.29,1.13,0.97,0.00,0.00,0.00,7.93,2.33,2.52,48.0,Matches
2154,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Crotone,it Serie A,32-217,1988,6.7,0.60,0.00,0.00,1.04,0.60,0.15,3.13,0.60,0.75,0.00,0.00,0.00,7.61,0.90,0.90,50.0,Matches
2155,Mihailo Ristić\Mihailo-Ristic,rs SRB,DF,Montpellier,fr Ligue 1,25-185,1995,23.0,0.13,0.00,0.00,1.17,0.74,0.00,2.74,1.04,1.09,0.00,0.04,0.00,7.96,1.09,0.87,55.6,Matches
2156,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,eng Premier League,31-236,1989,11.1,0.09,0.00,0.00,0.63,1.26,0.09,4.32,1.44,0.54,0.00,0.00,0.09,7.21,0.99,1.80,35.5,Matches
2157,Maxence Rivera\Maxence-Rivera,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-339,2002,2.4,0.00,0.00,0.00,0.83,0.42,0.00,2.50,1.67,2.08,0.00,0.00,0.00,8.33,0.00,1.25,0.0,Matches
2158,Emmanuel Rivière\Emmanuel-Riviere,fr FRA,FWMF,Crotone,it Serie A,31-062,1990,7.1,0.28,0.00,0.00,1.41,2.39,0.28,0.14,0.56,0.42,0.00,0.00,0.00,2.96,1.55,3.94,28.2,Matches
2159,Rober\Rober,es ESP,DFMF,Levante,es La Liga,26-077,1995,11.8,0.25,0.08,0.00,1.44,0.25,0.08,0.08,2.29,1.02,0.00,0.00,0.00,8.98,1.53,2.12,41.9,Matches
2160,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-083,1986,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,,Matches
2161,Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,es La Liga,29-086,1992,9.9,0.10,0.00,0.00,0.71,1.01,0.20,0.71,0.81,0.71,0.00,0.00,0.00,8.48,0.81,0.91,47.1,Matches
2162,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,eng Premier League,22-112,1999,13.7,0.22,0.00,0.00,1.53,2.12,0.58,0.58,0.44,0.58,0.00,0.00,0.00,6.28,1.31,1.68,43.9,Matches
2163,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,27-054,1994,32.6,0.06,0.00,0.00,0.61,0.31,0.18,4.05,0.92,0.71,0.00,0.03,0.00,10.4,1.04,0.74,58.6,Matches
2164,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,eng Premier League,23-269,1997,23.0,0.17,0.04,0.00,0.87,0.30,0.04,3.65,1.91,1.13,0.00,0.00,0.00,9.00,1.65,1.04,61.3,Matches
2165,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,eng Premier League,26-091,1995,15.9,0.00,0.00,0.00,0.19,1.13,0.44,2.20,0.88,0.44,0.13,0.00,0.00,5.72,0.75,3.08,19.7,Matches
2166,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,27-245,1993,6.7,0.30,0.00,0.00,0.90,0.75,0.00,1.49,0.90,1.19,0.15,0.15,0.00,10.6,2.54,1.79,58.6,Matches
2167,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-321,1990,18.0,0.11,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.00,4.94,0.00,0.00,,Matches
2168,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,eng Premier League,31-348,1989,3.6,0.28,0.00,0.00,3.06,2.22,0.56,0.83,0.56,0.56,0.00,0.00,0.00,3.89,0.56,5.56,9.1,Matches
2169,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,de Bundesliga,24-159,1996,1.6,0.63,0.00,0.00,1.88,1.25,0.00,1.25,0.63,2.50,0.00,0.00,0.00,11.3,0.63,1.25,33.3,Matches
2170,Christopher Rocchia\Christopher-Rocchia,fr FRA,DF,Marseille,fr Ligue 1,23-092,1998,0.2,0.00,0.00,0.00,10.0,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,15.0,0.00,0.00,,Matches
2171,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,es La Liga,30-042,1991,15.6,0.32,0.00,0.00,2.50,1.99,0.00,1.79,1.35,1.99,0.00,0.00,0.00,9.81,1.41,0.83,62.9,Matches
2172,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-142,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,Matches
2173,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30-205,1990,17.5,0.57,0.00,0.00,1.71,1.20,0.00,0.40,2.34,1.60,0.00,0.00,0.00,11.7,1.49,1.09,57.8,Matches
2174,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,eng Premier League,23-194,1997,8.1,0.00,0.00,0.00,0.25,0.99,0.12,0.00,1.60,1.11,0.00,0.00,0.00,9.01,2.96,1.36,68.6,Matches
2175,Rodri\Rodri,es ESP,MF,Manchester City,eng Premier League,24-316,1996,27.1,0.15,0.00,0.00,1.44,1.03,0.11,0.41,1.33,2.03,0.00,0.00,0.00,14.1,3.14,0.92,77.3,Matches
2176,Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30-059,1991,12.5,0.24,0.00,0.00,1.52,0.56,0.16,1.52,0.56,0.88,0.00,0.08,0.00,7.20,1.68,2.32,42.0,Matches
2177,Rodrigo\Rodrigo,es ESP,FWMF,Betis,es La Liga,20-353,2000,4.2,0.00,0.00,0.00,0.24,2.62,0.48,1.90,0.24,0.24,0.00,0.00,0.00,7.14,0.24,1.43,14.3,Matches
2178,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,es La Liga,27-060,1994,11.6,0.09,0.00,0.00,0.69,1.38,0.09,3.19,1.21,0.86,0.00,0.00,0.00,9.74,1.03,2.93,26.1,Matches
2179,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,es La Liga,22-310,1998,4.1,0.24,0.00,0.00,2.68,1.95,0.00,4.15,0.98,2.44,0.00,0.00,0.00,9.02,1.22,1.95,38.5,Matches
2180,Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,es La Liga,34-008,1987,14.0,0.29,0.00,0.00,1.71,1.50,0.79,0.93,0.07,0.14,0.07,0.00,0.00,4.43,1.64,5.07,24.5,Matches
2181,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,es La Liga,27-022,1994,27.8,0.36,0.00,0.00,1.94,1.62,0.00,0.14,1.73,2.37,0.00,0.04,0.00,10.9,1.69,1.26,57.3,Matches
2182,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,eng Premier League,29-296,1991,18.7,0.16,0.00,0.00,0.80,2.09,0.32,1.71,0.86,0.70,0.05,0.00,0.00,7.38,0.27,0.86,23.8,Matches
2183,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,eng Premier League,31-279,1989,13.3,0.23,0.00,0.00,2.26,1.35,0.98,0.30,0.30,1.05,0.00,0.00,0.00,4.44,3.31,5.94,35.8,Matches
2184,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,es La Liga,18-005,2003,0.3,6.67,0.00,0.00,6.67,3.33,0.00,3.33,0.00,6.67,0.00,0.00,0.00,3.33,0.00,3.33,0.0,Matches
2185,Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Torino,it Serie A,28-252,1992,13.1,0.08,0.00,0.00,0.92,0.46,0.00,0.61,1.83,1.07,0.00,0.00,0.00,6.41,1.22,0.99,55.2,Matches
2186,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,es La Liga,31-285,1989,4.4,0.23,0.00,0.00,1.82,1.59,0.00,0.45,1.82,0.91,0.00,0.00,0.00,7.27,1.14,0.91,55.6,Matches
2187,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,es La Liga,20-115,2001,9.0,0.00,0.00,0.00,1.56,2.22,0.11,1.33,0.78,0.67,0.00,0.00,0.00,4.78,1.00,1.44,40.9,Matches
2188,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,25-289,1995,12.9,0.16,0.00,0.00,2.56,1.78,0.00,0.47,0.93,1.94,0.00,0.00,0.00,9.92,0.62,1.09,36.4,Matches
2189,Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,23-111,1998,18.4,0.22,0.00,0.00,1.36,1.03,0.05,2.45,1.36,0.65,0.00,0.00,0.00,7.45,0.87,0.71,55.2,Matches
2190,Luis Rojas\Luis-Rojas,cl CHI,MFFW,Crotone,it Serie A,19-059,2002,0.8,1.25,0.00,0.00,2.50,0.00,0.00,1.25,3.75,0.00,0.00,0.00,0.00,12.5,2.50,0.00,100.0,Matches
2191,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,26-112,1995,21.2,0.33,0.00,0.00,0.99,0.52,0.00,0.05,0.66,0.42,0.00,0.05,0.00,7.64,2.74,1.18,69.9,Matches
2192,Cristian Romero\Cristian-Romero,ar ARG,DF,Atalanta,it Serie A,23-007,1998,24.3,0.41,0.00,0.00,2.43,1.28,0.00,0.00,2.96,1.81,0.04,0.00,0.00,12.8,3.87,1.77,68.6,Matches
2193,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,eng Premier League,29-222,1991,19.2,0.31,0.00,0.00,1.56,1.15,0.00,0.21,1.30,1.82,0.00,0.00,0.00,14.4,1.82,1.41,56.5,Matches
2194,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,36-088,1985,28.4,0.11,0.00,0.00,0.53,1.48,1.09,1.73,0.21,0.07,0.04,0.00,0.00,4.19,0.99,0.63,60.9,Matches
2195,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,34-083,1987,13.7,0.22,0.07,0.07,1.09,0.44,0.00,1.09,0.88,1.09,0.00,0.07,0.00,12.5,2.55,1.61,61.4,Matches
2196,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,26-148,1994,19.7,0.36,0.00,0.00,2.08,1.22,0.05,0.30,1.62,3.55,0.00,0.00,0.00,11.4,1.32,1.37,49.1,Matches
2197,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,30-036,1991,29.6,0.20,0.00,0.00,1.96,0.78,0.00,0.41,2.09,1.89,0.00,0.00,0.00,12.7,2.43,1.52,61.5,Matches
2198,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28-118,1993,13.5,0.00,0.00,0.00,0.67,1.11,0.00,3.26,0.89,1.04,0.00,0.00,0.00,8.37,0.89,1.48,37.5,Matches
2199,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,33-064,1988,7.2,0.28,0.00,0.00,1.53,2.22,0.42,0.69,0.28,0.83,0.00,0.00,0.00,4.17,1.25,4.31,22.5,Matches
2200,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,19-151,2001,10.3,0.29,0.00,0.00,1.36,2.14,0.00,0.58,0.87,1.07,0.00,0.10,0.00,9.81,0.39,1.07,26.7,Matches
2201,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Napoli,it Serie A,27-069,1994,8.2,0.12,0.00,0.00,0.73,0.73,0.00,0.00,0.61,0.61,0.12,0.00,0.00,8.17,1.71,1.10,60.9,Matches
2202,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-316,1984,2.1,0.00,0.48,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,0.00,,Matches
2203,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,es La Liga,25-260,1995,4.2,0.24,0.00,0.00,1.90,0.48,0.24,0.71,0.24,1.19,0.00,0.00,0.00,7.62,0.00,2.38,0.0,Matches
2204,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-192,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
2205,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,28-062,1993,16.0,0.00,0.00,0.00,0.88,0.38,0.06,0.06,0.88,0.94,0.00,0.00,0.06,8.56,2.94,0.88,77.0,Matches
2206,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,de Bundesliga,31-065,1990,18.3,0.22,0.00,0.00,1.64,0.77,0.00,2.24,0.38,1.64,0.00,0.00,0.00,9.78,0.82,1.20,40.5,Matches
2207,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,de Bundesliga,31-065,1990,2.0,0.00,0.00,0.00,0.50,0.00,0.00,1.50,0.00,0.50,0.00,0.00,0.00,13.0,2.50,1.00,71.4,Matches
2208,Kevin Rüegg\Kevin-Ruegg,ch SUI,MFDF,Hellas Verona,it Serie A,22-272,1998,1.3,0.00,0.00,0.00,0.00,0.77,0.77,0.77,0.77,1.54,0.77,0.00,0.00,6.15,1.54,3.85,28.6,Matches
2209,Daniele Rugani\Daniele-Rugani,it ITA,DF,Rennes,fr Ligue 1,26-279,1994,1.0,1.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,14.0,5.00,3.00,62.5,Matches
2210,Daniele Rugani\Daniele-Rugani,it ITA,DF,Cagliari,it Serie A,26-279,1994,10.1,0.20,0.00,0.00,1.29,0.30,0.00,0.40,1.39,1.19,0.00,0.00,0.00,10.9,3.96,1.68,70.2,Matches
2211,Matteo Ruggeri\Matteo-Ruggeri,it ITA,DF,Atalanta,it Serie A,18-297,2002,2.3,0.00,0.00,0.00,1.30,0.00,0.00,3.48,1.74,0.87,0.00,0.00,0.00,3.48,1.74,0.87,66.7,Matches
2212,Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,29-342,1991,18.0,0.22,0.00,0.00,0.89,2.06,0.17,3.11,1.50,1.06,0.00,0.00,0.00,8.83,0.61,0.72,45.8,Matches
2213,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,es La Liga,25-043,1996,16.1,0.12,0.00,0.00,1.80,0.93,0.25,1.37,1.24,1.43,0.00,0.00,0.00,6.02,0.81,1.12,41.9,Matches
2214,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,25-031,1996,24.5,0.04,0.00,0.00,0.37,0.78,0.04,0.69,1.06,1.39,0.00,0.04,0.00,8.16,0.41,0.33,55.6,Matches
2215,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,es La Liga,20-079,2001,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,11.4,1.43,5.71,20.0,Matches
2216,Kays Ruiz\Kays-Ruiz,ma MAR,FWMF,Paris S-G,fr Ligue 1,18-251,2002,2.1,0.48,0.00,0.00,1.90,2.38,0.00,0.48,0.48,0.48,0.00,0.00,0.00,5.24,0.48,1.43,25.0,Matches
2217,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,es La Liga,32-099,1989,20.0,0.35,0.00,0.00,1.05,0.20,0.10,0.00,1.95,0.45,0.00,0.00,0.10,9.45,2.75,1.50,64.7,Matches
2218,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28-349,1992,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,,Matches
2219,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19-014,2002,2.3,0.00,0.00,0.00,1.30,3.04,0.87,1.30,0.00,0.43,0.00,0.00,0.00,6.52,4.35,4.78,47.6,Matches
2220,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Rennes,fr Ligue 1,19-014,2002,0.5,0.00,0.00,0.00,10.0,4.00,4.00,0.00,2.00,4.00,0.00,0.00,0.00,8.00,4.00,4.00,50.0,Matches
2221,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,29-026,1992,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.33,0.0,Matches
2222,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,29-026,1992,11.0,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,3.82,0.00,0.00,,Matches
2223,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23-168,1997,10.8,0.19,0.00,0.00,0.83,0.93,0.09,1.39,1.20,0.74,0.00,0.00,0.00,8.52,1.20,2.50,32.5,Matches
2224,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-273,1992,10.5,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,6.19,0.00,0.00,,Matches
