,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-338,1996,2.1,0.48,0.00,0.00,2.38,0.95,0.00,0.00,0.00,0.48,0.00,0.00,0.00,11.0,2.86,0.00,100.0,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-338,1996,27.7,0.22,0.04,0.00,1.23,0.51,0.04,0.14,1.52,0.76,0.00,0.04,0.00,10.9,3.72,1.26,74.6,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-013,1995,0.8,0.00,0.00,0.00,1.25,1.25,0.00,1.25,0.00,0.00,0.00,0.00,0.00,12.5,1.25,0.00,100.0,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-179,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-019,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-293,1991,10.1,0.00,0.00,0.00,1.39,0.50,0.59,0.40,0.30,0.20,0.10,0.00,0.00,4.46,6.83,5.54,55.2,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-022,1988,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-274,1990,30.4,0.30,0.00,0.00,2.17,1.74,0.00,0.39,1.91,2.73,0.00,0.00,0.00,12.6,2.89,2.14,57.5,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-224,1994,27.1,0.15,0.04,0.00,1.77,1.25,0.04,0.22,2.03,1.40,0.00,0.00,0.04,13.1,1.92,1.03,65.0,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-217,1996,18.6,0.27,0.00,0.00,1.56,1.56,0.00,0.32,0.70,1.61,0.00,0.00,0.00,10.2,0.54,1.13,32.3,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-316,2002,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-054,1998,1.5,0.00,0.00,0.00,1.33,0.67,0.67,0.00,0.00,0.67,0.00,0.00,0.00,12.0,6.67,4.67,58.8,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-241,1989,7.1,0.42,0.00,0.00,0.85,0.56,0.00,3.24,1.41,0.85,0.00,0.00,0.00,13.8,1.97,1.83,51.9,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-120,1997,22.7,0.09,0.00,0.00,0.88,1.15,0.31,4.63,1.28,0.70,0.00,0.00,0.00,7.80,0.75,1.23,37.8,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-322,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-219,2002,0.1,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-226,1986,17.2,0.06,0.00,0.00,1.28,1.16,0.00,6.34,1.51,1.22,0.00,0.06,0.00,6.80,0.29,0.70,29.4,Matches
