,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2497,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32-326,1988,30.6,1.80,1.05,1.37,0.39,0.03,0.42,1.37,31.0,0.95,10.1,3.30,32.7,7.25,2.61,0.23,1.50,0.82,0.00,0.69,1.27,3.07,6.54,0.03,Matches
2498,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27-145,1993,26.2,1.53,1.18,0.53,0.61,0.38,0.27,1.98,13.5,1.72,23.9,7.25,30.4,3.24,12.6,8.09,1.34,0.08,0.00,1.26,0.95,2.48,0.15,0.00,Matches
2499,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,de Bundesliga,26-257,1994,2.5,1.20,0.00,0.00,0.80,0.40,0.40,0.80,50.0,0.40,13.6,3.20,23.5,2.80,5.60,5.20,1.20,0.00,0.00,1.20,2.00,3.20,0.00,0.00,Matches
2500,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24-364,1996,27.9,2.72,2.01,1.18,1.22,0.32,0.50,1.79,28.0,1.29,23.8,7.42,31.2,9.18,10.1,4.52,2.19,0.61,0.00,1.58,0.75,3.48,1.51,0.00,Matches
2501,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-271,1997,16.9,1.18,0.83,0.53,0.30,0.36,0.30,0.95,31.3,0.65,16.0,5.21,32.6,2.66,7.51,5.80,1.83,0.18,0.00,1.66,1.12,2.31,0.83,0.00,Matches
2502,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,20-039,2001,14.7,2.04,1.22,0.34,1.29,0.41,0.48,1.70,28.0,1.22,15.4,4.97,32.2,4.63,8.03,2.79,1.50,0.41,0.00,1.09,0.61,2.65,1.56,0.00,Matches
2503,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,22-061,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,10.0,33.3,0.00,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2504,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23-362,1997,33.3,1.92,1.41,0.72,0.84,0.36,0.66,2.43,27.2,1.77,13.1,4.50,34.3,4.11,6.55,2.46,1.50,0.24,0.00,1.26,0.90,2.82,0.75,0.00,Matches
2505,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23-333,1997,22.4,1.16,0.67,0.31,0.58,0.27,0.36,1.12,32.0,0.76,7.90,2.59,32.8,2.90,3.35,1.65,1.88,0.45,0.00,1.43,0.63,1.79,3.08,0.00,Matches
2506,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22-277,1998,0.6,6.67,5.00,0.00,1.67,5.00,3.33,5.00,66.7,1.67,38.3,10.0,26.1,5.00,20.0,13.3,5.00,0.00,0.00,5.00,0.00,6.67,1.67,0.00,Matches
2507,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,23-133,1997,1.3,2.31,0.77,0.77,0.77,0.77,1.54,3.08,50.0,1.54,26.9,6.92,25.7,5.38,8.46,13.1,1.54,0.00,0.00,1.54,0.77,3.08,0.77,0.00,Matches
2508,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,31-199,1989,13.5,1.04,0.52,0.22,0.67,0.15,0.52,1.26,41.2,0.74,8.00,2.37,29.6,2.30,4.30,1.41,0.67,0.22,0.07,0.44,0.74,1.78,4.67,0.00,Matches
2509,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,21-125,1999,11.8,2.03,1.44,1.61,0.42,0.00,1.19,2.29,51.9,1.10,10.3,3.81,36.9,6.69,3.14,0.51,1.19,0.59,0.00,0.59,1.53,3.56,5.42,0.08,Matches
2510,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28-232,1992,28.4,0.49,0.25,0.14,0.14,0.21,0.18,1.16,15.2,0.99,10.5,2.61,24.7,2.36,4.30,3.87,0.81,0.11,0.00,0.70,0.92,1.41,0.42,0.00,Matches
2511,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-274,1994,8.1,1.98,1.48,0.37,1.48,0.12,0.86,2.96,29.2,2.10,17.8,4.44,25.0,3.83,9.88,4.07,1.85,0.12,0.00,1.73,0.37,2.35,1.11,0.00,Matches
2512,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,26-269,1994,13.8,1.74,1.01,1.38,0.22,0.14,0.87,2.03,42.9,1.16,13.3,4.13,31.1,6.30,4.20,2.75,1.67,0.51,0.00,1.16,0.87,2.61,2.10,0.00,Matches
2513,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,30-206,1990,26.2,1.98,1.15,0.88,0.92,0.19,0.57,1.53,37.5,0.95,11.9,4.47,37.5,4.54,5.65,1.72,1.60,0.23,0.00,1.37,1.37,3.36,2.94,0.04,Matches
2514,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-180,1998,26.2,1.34,0.84,0.76,0.42,0.15,0.53,1.03,51.9,0.50,10.9,3.93,36.1,5.46,4.27,1.15,2.10,0.65,0.00,1.45,1.68,3.02,5.00,0.00,Matches
2515,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,32-036,1989,4.3,0.93,0.47,0.70,0.23,0.00,0.70,0.93,75.0,0.23,5.81,1.40,24.0,4.65,1.16,0.00,0.93,0.23,0.00,0.70,0.47,1.40,8.60,0.00,Matches
2516,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,23-136,1997,0.5,6.00,4.00,2.00,4.00,0.00,4.00,4.00,100.0,0.00,6.00,2.00,33.3,6.00,0.00,0.00,8.00,6.00,0.00,2.00,2.00,8.00,16.0,0.00,Matches
2517,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,23-136,1997,12.3,2.20,1.14,1.46,0.65,0.08,0.81,1.30,62.5,0.49,12.4,4.63,37.3,6.99,4.96,0.49,2.28,1.22,0.08,1.06,1.46,3.66,5.93,0.08,Matches
2518,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20-361,2000,14.8,1.82,0.95,0.88,0.88,0.07,0.74,1.82,40.7,1.08,20.5,4.59,22.4,7.30,10.4,2.77,1.96,0.41,0.00,1.55,1.35,3.18,1.62,0.00,Matches
2519,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,31-107,1990,18.3,1.97,1.20,1.15,0.82,0.00,0.22,0.87,25.0,0.66,12.1,4.54,37.4,6.45,4.70,0.98,1.86,0.77,0.05,1.09,0.93,2.90,5.36,0.05,Matches
2520,Toño\Tono,es ESP,DF,Levante,es La Liga,31-178,1989,6.4,0.94,0.63,0.78,0.16,0.00,0.47,1.41,33.3,0.94,9.38,3.28,35.0,5.63,2.66,1.09,1.41,0.16,0.00,1.25,0.63,1.56,2.66,0.00,Matches
2521,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-287,1989,20.1,1.44,0.55,0.95,0.50,0.00,0.50,1.04,47.6,0.55,7.46,2.39,32.0,4.48,2.74,0.25,1.99,0.75,0.00,1.24,2.49,3.93,6.67,0.10,Matches
2522,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-309,2001,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,35.0,5.00,14.3,5.00,15.0,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2523,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28-310,1992,1.8,0.56,0.56,0.00,0.00,0.56,0.00,0.56,0.0,0.56,15.0,2.78,18.5,1.11,8.89,5.00,2.78,0.56,0.00,2.22,0.56,1.11,0.56,0.00,Matches
2524,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,25-082,1996,5.8,1.38,1.03,0.34,0.69,0.34,0.00,0.69,0.0,0.69,12.9,3.10,24.0,4.48,6.38,2.07,1.90,0.52,0.00,1.38,1.21,2.59,1.21,0.00,Matches
2525,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,eng Premier League,21-064,2000,12.4,0.97,0.40,0.40,0.32,0.24,0.48,1.61,30.0,1.13,14.4,4.11,28.7,2.58,6.05,5.73,1.13,0.08,0.00,1.05,0.48,1.45,0.40,0.00,Matches
2526,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,26-175,1994,14.2,2.18,1.69,0.85,1.06,0.28,0.85,2.75,30.8,1.90,18.9,5.92,31.2,4.15,10.8,3.94,1.83,0.14,0.00,1.69,1.13,3.31,0.35,0.00,Matches
2527,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,24-108,1997,30.0,0.53,0.33,0.20,0.27,0.07,0.17,0.47,35.7,0.30,4.80,1.77,36.8,2.97,1.53,0.30,1.53,0.83,0.03,0.70,0.97,1.50,4.33,0.10,Matches
2528,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,32-058,1989,18.6,0.70,0.38,0.22,0.32,0.16,0.32,1.29,25.0,0.97,10.2,2.26,22.1,2.15,5.22,2.85,0.75,0.00,0.00,0.75,0.91,1.61,1.02,0.00,Matches
2529,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26-289,1994,14.8,1.82,1.28,0.27,1.28,0.27,0.95,2.16,43.8,1.22,12.9,4.73,36.6,3.85,6.82,2.23,1.35,0.54,0.00,0.81,1.62,3.45,3.38,0.00,Matches
2530,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-270,1997,8.6,1.05,0.58,0.81,0.12,0.12,0.12,0.81,14.3,0.70,9.07,2.33,25.6,5.23,3.14,0.70,1.40,0.23,0.00,1.16,1.86,2.91,7.44,0.47,Matches
2531,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29-331,1991,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,16.0,2.00,12.5,4.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2532,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,27-062,1994,18.7,1.66,1.12,0.80,0.64,0.21,0.32,1.55,20.7,1.23,15.1,4.06,27.0,3.90,8.56,2.62,1.50,0.32,0.00,1.18,0.86,2.51,1.39,0.00,Matches
2533,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,25-006,1996,7.7,2.08,1.69,0.78,0.78,0.52,1.04,2.08,50.0,1.04,15.2,4.81,31.6,4.68,6.10,4.42,1.95,0.13,0.00,1.82,1.43,3.51,2.47,0.13,Matches
2534,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,24-005,1997,21.4,2.20,1.54,1.12,0.98,0.09,0.51,1.40,36.7,0.89,19.4,6.59,34.0,6.45,10.5,2.48,2.20,0.33,0.00,1.87,1.78,3.97,3.46,0.09,Matches
2535,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29-292,1991,21.3,2.58,1.36,1.50,0.75,0.33,0.85,3.80,22.2,2.96,20.4,5.07,24.9,9.44,7.89,3.05,2.30,0.05,0.00,2.25,1.88,4.46,0.56,0.00,Matches
2536,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,eng Premier League,28-061,1993,20.8,2.12,1.25,1.30,0.63,0.19,1.11,2.16,51.1,1.06,11.3,3.80,33.5,5.58,4.38,1.39,1.83,0.58,0.10,1.25,1.59,3.70,2.50,0.00,Matches
2537,Mattéo Tramoni\Matteo-Tramoni,fr FRA,FWMF,Cagliari,it Serie A,21-104,2000,0.8,2.50,2.50,1.25,0.00,1.25,0.00,1.25,0.0,1.25,47.5,15.0,31.6,20.0,16.3,11.3,11.3,0.00,0.00,11.3,1.25,3.75,0.00,0.00,Matches
2538,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,eng Premier League,25-099,1996,26.8,1.04,0.71,0.49,0.41,0.15,0.30,0.63,47.1,0.34,11.7,3.47,29.6,2.76,6.23,2.72,0.86,0.00,0.00,0.86,0.37,1.42,0.56,0.04,Matches
2539,Amadou Traore\Amadou-Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,19-058,2002,2.7,1.85,1.11,0.74,0.74,0.37,0.74,4.07,18.2,3.33,22.6,4.44,19.7,7.41,9.63,5.56,3.70,0.00,0.00,3.70,0.37,2.22,0.37,0.00,Matches
2540,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,eng Premier League,25-240,1995,21.5,0.98,0.33,0.33,0.28,0.37,0.37,1.63,22.9,1.26,14.8,2.74,18.6,4.09,5.95,4.74,0.88,0.00,0.00,0.88,1.02,2.00,0.74,0.00,Matches
2541,Chaka Traorè\Chaka-Traore,ci CIV,MFDF,Parma,it Serie A,16-132,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2542,Charles Traore\Charles-Traore,ml MLI,DF,Nantes,fr Ligue 1,29-123,1992,18.8,3.30,1.97,1.76,1.22,0.32,1.44,2.93,49.1,1.49,17.7,6.91,39.2,8.67,7.02,1.97,2.45,0.32,0.00,2.13,1.33,4.63,4.63,0.05,Matches
2543,Cheick Traoré\Cheick-Traore,ml MLI,DF,Lens,fr Ligue 1,26-034,1995,0.2,10.0,5.00,5.00,5.00,0.00,10.0,10.0,100.0,0.00,10.0,5.00,50.0,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,5.00,0.00,Matches
2544,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,fr Ligue 1,29-097,1992,30.3,2.18,1.22,0.89,0.99,0.30,0.83,2.28,36.2,1.45,11.5,3.99,34.8,4.49,4.65,2.34,1.82,0.10,0.00,1.72,1.85,4.03,1.82,0.03,Matches
2545,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,de Bundesliga,33-013,1988,1.1,1.82,0.91,0.91,0.91,0.00,0.91,2.73,33.3,1.82,20.0,7.27,36.4,4.55,9.09,6.36,1.82,0.00,0.00,1.82,0.00,1.82,0.00,0.00,Matches
2546,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,34-259,1986,33.3,1.44,0.99,0.90,0.45,0.09,0.51,1.05,48.6,0.54,9.43,3.36,35.7,6.25,2.70,0.48,1.29,0.51,0.00,0.78,1.26,2.70,4.44,0.03,Matches
2547,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-300,1990,31.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.16,0.03,20.0,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.10,Matches
2548,Miguel Trauco\Miguel-Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,28-252,1992,20.6,2.09,1.17,1.36,0.53,0.19,0.97,2.04,47.6,1.07,12.1,4.42,36.5,5.24,4.66,2.18,1.46,0.19,0.00,1.26,1.55,3.64,2.57,0.00,Matches
2549,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,eng Premier League,26-215,1994,13.0,2.46,1.38,1.00,0.92,0.54,0.85,3.00,28.2,2.15,23.4,5.15,22.0,7.00,9.15,7.23,2.08,0.08,0.00,2.00,0.85,3.31,1.23,0.00,Matches
2550,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,es La Liga,29-199,1991,24.1,2.16,1.20,1.04,0.91,0.21,0.66,2.49,26.7,1.83,21.0,4.98,23.7,6.89,10.1,3.98,1.29,0.08,0.00,1.20,0.50,2.66,0.79,0.00,Matches
2551,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,de Bundesliga,34-069,1987,26.0,2.15,1.27,1.50,0.54,0.12,0.81,1.88,42.9,1.08,11.5,3.58,31.1,5.65,4.50,1.35,1.50,0.27,0.00,1.23,2.08,4.23,3.04,0.00,Matches
2552,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,es La Liga,21-126,1999,7.1,0.99,0.56,0.14,0.56,0.28,0.14,0.85,16.7,0.70,14.8,3.52,23.8,2.82,5.92,6.06,0.42,0.14,0.00,0.28,0.56,1.55,0.28,0.00,Matches
2553,Alessandro Tripaldelli\Alessandro-Tripaldelli,it ITA,DF,Cagliari,it Serie A,22-084,1999,3.3,3.33,1.21,2.12,0.91,0.30,1.21,1.82,66.7,0.61,18.2,3.94,21.7,8.18,7.58,2.42,2.12,0.00,0.00,2.12,1.21,4.55,3.33,0.00,Matches
2554,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,es La Liga,30-227,1990,23.5,2.55,1.53,1.49,0.68,0.38,1.02,2.13,48.0,1.11,12.1,4.00,33.1,5.49,4.68,1.91,2.04,0.21,0.00,1.83,1.36,3.91,2.38,0.04,Matches
2555,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,26-151,1994,26.2,1.03,0.76,0.27,0.61,0.15,0.23,1.15,20.0,0.92,14.7,4.54,30.8,3.78,5.99,4.96,1.45,0.15,0.00,1.30,0.80,1.83,0.15,0.00,Matches
2556,Alexis Trouillet\Alexis-Trouillet,fr FRA,MF,Nice,fr Ligue 1,20-132,2000,1.2,5.00,3.33,0.83,4.17,0.00,2.50,3.33,75.0,0.83,18.3,5.00,27.3,2.50,13.3,2.50,0.83,0.00,0.00,0.83,0.83,5.83,0.00,0.00,Matches
2557,Adrien Truffert\Adrien-Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,19-165,2001,20.8,1.88,1.06,0.82,0.67,0.38,0.58,1.44,40.0,0.87,13.9,4.09,29.3,5.00,5.34,3.61,2.21,0.24,0.00,1.97,0.87,2.74,2.31,0.10,Matches
2558,Marvin Tshibuabua\Marvin-Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-116,2002,0.5,2.00,0.00,2.00,0.00,0.00,0.00,0.00,,0.00,8.00,4.00,50.0,6.00,2.00,0.00,6.00,0.00,0.00,6.00,2.00,4.00,4.00,0.00,Matches
2559,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24-357,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,40.0,30.0,75.0,0.00,20.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2560,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,23-171,1997,1.5,3.33,1.33,1.33,2.00,0.00,1.33,2.67,50.0,1.33,16.0,4.00,25.0,9.33,6.00,0.67,4.00,2.00,0.00,2.00,0.00,3.33,2.67,0.00,Matches
2561,Alessandro Tuia\Alessandro-Tuia,it ITA,DF,Benevento,it Serie A,30-330,1990,18.0,2.50,1.50,2.22,0.17,0.11,1.00,1.56,64.3,0.56,11.8,4.33,36.8,8.78,2.67,0.33,1.33,0.39,0.00,0.94,1.39,3.89,5.28,0.06,Matches
2562,Ľubomír Tupta\Lubomir-Tupta,sk SVK,MF,Hellas Verona,it Serie A,23-038,1998,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.33,3.33,40.0,0.00,5.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2563,Tuta\Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21-304,1999,14.4,2.01,0.97,1.11,0.83,0.07,0.63,2.36,26.5,1.74,13.9,4.31,31.0,6.88,5.49,1.53,2.22,0.21,0.00,2.01,1.94,3.96,4.58,0.07,Matches
2564,Iyenoma Udogie\Iyenoma-Udogie,it ITA,DFMF,Hellas Verona,it Serie A,18-157,2002,1.3,3.85,2.31,2.31,0.77,0.77,0.77,1.54,50.0,0.77,20.0,9.23,46.2,7.69,8.46,3.85,2.31,0.77,0.00,1.54,2.31,6.15,4.62,0.00,Matches
2565,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,fr Ligue 1,25-045,1996,18.1,1.99,1.38,0.99,0.77,0.22,0.50,1.93,25.7,1.44,14.3,5.30,37.2,6.19,5.52,2.54,2.87,0.28,0.00,2.60,1.71,3.70,1.99,0.00,Matches
2566,Naomichi Ueda\Naomichi-Ueda,jp JPN,DF,Nîmes,fr Ligue 1,26-192,1994,5.1,0.78,0.20,0.39,0.20,0.20,0.39,0.98,40.0,0.59,5.29,1.76,33.3,3.92,1.18,0.20,1.18,0.78,0.00,0.39,1.37,2.16,7.65,0.00,Matches
2567,Chimuanya Ugochukwu\Chimuanya-Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,17-039,2004,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2568,Hwang Ui-jo\Hwang-Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,28-249,1992,25.4,0.20,0.12,0.16,0.04,0.00,0.12,1.06,11.1,0.94,12.4,3.43,27.7,1.50,5.94,4.92,0.75,0.12,0.00,0.63,0.39,0.59,0.55,0.00,Matches
2569,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,es La Liga,27-171,1993,6.7,1.19,0.75,0.60,0.60,0.00,0.45,0.60,75.0,0.15,7.91,2.39,30.2,2.39,5.07,0.45,1.79,0.90,0.00,0.90,1.79,2.99,3.88,0.00,Matches
2570,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,es La Liga,23-359,1997,11.6,0.69,0.52,0.17,0.34,0.17,0.09,0.78,11.1,0.69,20.3,4.74,23.4,1.64,10.5,8.10,1.47,0.09,0.00,1.38,0.17,0.86,0.95,0.00,Matches
2571,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,eng Premier League,23-294,1997,3.1,0.97,0.97,0.00,0.65,0.32,0.32,1.61,20.0,1.29,14.2,4.84,34.1,3.55,5.81,4.84,1.61,0.00,0.00,1.61,0.97,1.94,0.00,0.00,Matches
2572,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,de Bundesliga,22-189,1998,23.6,2.03,1.23,1.23,0.76,0.04,0.51,0.97,52.2,0.47,10.3,4.15,40.3,4.75,5.08,0.47,1.61,0.55,0.00,1.06,1.31,3.35,3.69,0.00,Matches
2573,Mark Uth\Mark-Uth,de GER,FWMF,Schalke 04,de Bundesliga,29-253,1991,15.2,1.58,1.12,0.86,0.33,0.39,0.26,1.51,17.4,1.25,19.1,5.26,27.6,4.34,9.67,5.07,1.18,0.00,0.00,1.18,0.92,2.50,0.33,0.07,Matches
2574,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-036,1989,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.0,0.25,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2575,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,es La Liga,26-289,1994,1.3,1.54,0.77,0.77,0.00,0.77,0.00,2.31,0.0,2.31,13.8,4.62,33.3,4.62,5.38,3.85,1.54,0.00,0.00,1.54,2.31,3.85,2.31,0.77,Matches
2576,Lautaro Valenti\Lautaro-Valenti,ar ARG,DF,Parma,it Serie A,22-110,1999,2.7,1.48,0.37,1.11,0.00,0.37,0.37,1.48,25.0,1.11,18.9,6.67,35.3,13.3,4.44,1.11,2.59,0.74,0.00,1.85,2.22,3.70,5.19,0.00,Matches
2577,Borja Valero\Borja-Valero,es ESP,MFFW,Fiorentina,it Serie A,36-112,1985,5.0,2.40,1.40,1.40,1.00,0.00,0.60,2.40,25.0,1.80,22.0,5.60,25.5,8.40,10.8,2.80,0.80,0.20,0.00,0.60,1.40,3.80,0.20,0.00,Matches
2578,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,eng Premier League,22-071,1999,1.1,2.73,1.82,0.91,1.82,0.00,0.00,3.64,0.0,3.64,29.1,8.18,28.1,11.8,10.0,7.27,4.55,0.00,0.00,4.55,2.73,5.45,4.55,0.00,Matches
2579,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,es La Liga,24-119,1997,14.5,1.17,0.55,0.76,0.41,0.00,0.41,1.38,30.0,0.97,9.45,2.90,30.7,4.90,4.14,0.41,2.28,0.76,0.07,1.52,0.55,1.72,5.86,0.00,Matches
2580,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,es La Liga,24-079,1997,9.6,1.88,0.83,0.52,0.83,0.52,0.63,1.88,33.3,1.25,25.1,5.42,21.6,4.90,11.7,8.54,1.25,0.10,0.00,1.15,0.52,2.40,0.21,0.00,Matches
2581,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,es La Liga,22-286,1998,11.1,1.53,0.81,0.45,0.54,0.54,0.36,1.62,22.2,1.26,15.1,4.05,26.8,3.33,6.94,4.86,1.35,0.18,0.00,1.17,1.26,2.79,0.63,0.00,Matches
2582,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,es La Liga,28-009,1993,29.2,0.79,0.38,0.58,0.17,0.03,0.38,0.65,57.9,0.27,5.86,1.88,32.2,3.18,2.33,0.34,1.34,0.62,0.00,0.72,1.20,1.99,4.76,0.00,Matches
2583,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,eng Premier League,34-113,1987,27.7,0.54,0.29,0.11,0.18,0.25,0.11,0.51,21.4,0.40,9.35,2.53,27.0,0.51,3.39,5.45,0.51,0.14,0.00,0.36,0.25,0.79,0.90,0.00,Matches
2584,Ruben Vargas\Ruben-Vargas,ch SUI,MFFW,Augsburg,de Bundesliga,22-272,1998,17.0,1.35,0.76,0.47,0.76,0.12,0.24,1.18,20.0,0.94,14.2,4.76,33.6,3.76,6.53,3.88,2.18,0.18,0.00,2.00,1.59,2.94,1.18,0.06,Matches
2585,Denis Vavro\Denis-Vavro,sk SVK,DF,Lazio,it Serie A,25-024,1996,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,10.0,5.00,50.0,7.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,Matches
2586,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,es La Liga,25-024,1996,4.5,1.56,0.22,0.44,1.11,0.00,0.67,1.11,60.0,0.44,7.33,1.78,24.2,4.00,3.11,0.22,0.89,0.22,0.00,0.67,2.22,3.78,5.33,0.00,Matches
2587,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,es La Liga,32-071,1989,1.1,2.73,1.82,0.00,1.82,0.91,0.91,4.55,20.0,3.64,23.6,8.18,34.6,6.36,12.7,4.55,2.73,0.91,0.00,1.82,0.00,2.73,1.82,0.00,Matches
