,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,17.1,24.2,70.7,481.3,276.1,3.87,3.87,100.0,6.13,6.13,100.0,7.10,14.2,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,19.7,26.8,73.2,288.1,41.2,11.7,15.2,77.3,6.09,8.10,75.2,1.09,1.72,63.3,0.06,0.08,-0.02,1.03,1.26,0.52,0.06,1.38,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,28.1,32.7,85.8,787.2,434.8,5.30,5.30,100.0,12.4,12.6,98.9,10.2,14.7,69.5,0.04,0.02,0.02,0.07,0.25,0.04,0.00,0.04,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,50.6,58.4,86.6,942.5,227.9,21.6,23.7,91.1,22.0,23.9,92.1,5.77,8.17,70.7,0.07,0.08,-0.01,1.13,5.35,0.63,0.07,4.08,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,30.3,39.3,77.1,501.9,116.3,15.3,18.3,83.7,11.8,13.8,85.2,2.49,4.29,58.0,0.20,0.10,0.10,1.07,2.00,1.17,0.00,3.17,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,20.3,26.6,76.3,321.4,76.6,11.0,12.7,86.4,7.20,9.11,79.1,1.49,2.92,51.0,0.06,0.05,0.01,0.80,1.19,0.71,0.12,1.96,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,57.6,69.7,82.7,1020.1,312.7,24.8,27.8,89.1,26.8,31.1,86.1,5.28,8.36,63.2,0.13,0.14,-0.01,1.64,2.20,1.82,0.88,4.40,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,32.7,46.8,69.8,646.4,240.6,12.5,14.6,85.3,14.6,18.9,77.2,5.36,11.6,46.3,0.07,0.02,0.05,0.59,2.03,0.78,0.33,3.46,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,25.4,33.6,75.4,525.9,135.4,8.74,10.4,84.1,11.7,14.6,80.0,4.72,7.95,59.4,0.00,0.02,-0.02,0.55,3.54,0.16,0.08,2.52,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,19.5,26.5,73.6,553.0,289.5,3.50,3.50,100.0,8.00,8.00,100.0,8.00,15.0,53.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36.8,45.0,81.9,836.7,270.4,9.07,10.2,88.7,19.1,20.9,91.3,8.33,13.1,63.7,0.00,0.02,-0.02,0.10,2.31,0.26,0.10,2.69,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,36.9,44.2,83.5,1040.7,342.8,4.38,5.25,83.3,18.7,20.9,89.5,13.6,17.4,77.8,0.00,0.02,-0.02,0.24,2.46,0.17,0.03,2.56,Matches
72,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,42.7,50.3,84.9,679.4,197.1,22.1,24.7,89.6,17.7,20.3,86.9,2.12,3.18,66.7,0.00,0.05,-0.05,0.98,2.42,1.21,0.15,4.24,Matches
73,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,36.9,43.0,85.9,756.5,212.6,11.2,13.0,86.2,20.1,21.7,92.9,5.36,7.62,70.3,0.00,0.00,0.00,0.12,1.67,0.12,0.00,1.31,Matches
74,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,26.9,34.0,79.1,449.3,91.3,13.5,16.2,83.5,10.9,13.0,83.9,1.98,3.37,58.6,0.00,0.00,0.00,0.12,1.98,0.12,0.12,1.63,Matches
75,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,37.2,47.4,78.5,754.9,222.6,13.9,16.0,87.0,16.0,19.1,83.6,6.65,10.6,62.8,0.05,0.05,0.01,0.43,4.31,0.69,0.05,4.84,Matches
76,Amath\Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17.1,24.3,70.6,287.1,92.9,10.0,11.4,87.5,5.71,5.71,100.0,1.43,2.86,50.0,0.00,0.00,0.00,0.00,2.86,0.00,0.00,1.43,Matches
