,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
1400,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,es La Liga,28-080,1993,31.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1401,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,27-344,1993,21.4,0.19,1.73,0.51,29.7,1.73,0.52,0.08,0.27,21.0,0.00,0.05,0.05,0.18,0.14,0.08,0.01,0.00,Matches
1402,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,34-115,1987,20.4,0.00,0.49,0.10,20.0,0.49,0.10,0.00,0.00,24.1,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
1403,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,es La Liga,29-349,1991,29.5,0.03,0.71,0.20,28.6,0.71,0.20,0.05,0.17,18.3,0.14,0.00,0.00,0.06,0.06,0.10,-0.03,-0.03,Matches
1404,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,es La Liga,28-000,1993,6.2,0.00,0.32,0.16,50.0,0.32,0.16,0.00,0.00,25.2,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1405,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25-173,1995,15.0,0.07,1.47,0.60,40.9,1.46,0.60,0.05,0.11,20.8,0.13,0.00,0.00,0.09,0.09,0.06,-0.02,-0.02,Matches
1406,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,eng Premier League,27-245,1993,16.9,0.06,0.83,0.12,14.3,0.83,0.12,0.07,0.50,22.4,0.00,0.00,0.00,0.05,0.05,0.06,0.01,0.01,Matches
1407,Fabien Lemoine\Fabien-Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34-049,1987,18.7,0.05,0.86,0.16,18.8,0.85,0.16,0.06,0.33,22.6,0.00,0.00,0.00,0.05,0.05,0.06,0.01,0.01,Matches
1408,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,25-321,1995,24.6,0.04,0.37,0.16,44.4,0.37,0.16,0.11,0.25,11.9,0.00,0.00,0.00,0.05,0.05,0.15,-0.01,-0.01,Matches
1409,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,29-061,1992,30.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1410,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,26-224,1994,22.6,0.00,0.58,0.18,30.8,0.57,0.18,0.00,0.00,21.4,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
1411,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,34-161,1986,9.9,0.10,1.92,0.61,31.6,1.92,0.61,0.05,0.17,24.0,0.40,0.00,0.00,0.12,0.12,0.07,-0.02,-0.02,Matches
1412,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,32-118,1989,7.8,0.13,2.18,0.51,23.5,2.17,0.51,0.06,0.25,13.3,0.00,0.00,0.00,0.27,0.27,0.13,-0.14,-0.14,Matches
1413,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,27-296,1993,12.9,0.00,0.39,0.16,40.0,0.39,0.16,0.00,0.00,15.9,0.00,0.00,0.00,0.04,0.04,0.11,-0.04,-0.04,Matches
1414,Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,it Serie A,22-346,1998,2.6,0.00,0.77,0.38,50.0,0.78,0.39,0.00,0.00,14.6,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
1415,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,eng Premier League,21-228,1999,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1416,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,it Serie A,30-309,1990,15.0,0.20,0.80,0.47,58.3,0.80,0.47,0.25,0.43,22.4,0.00,0.00,0.00,0.02,0.02,0.03,0.18,0.18,Matches
1417,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32-256,1988,24.3,1.48,4.40,1.89,43.0,4.40,1.89,0.28,0.65,13.8,0.16,0.25,0.29,1.04,0.82,0.19,0.44,0.42,Matches
1418,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23-099,1998,20.3,0.00,0.15,0.05,33.3,0.15,0.05,0.00,0.00,18.7,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
1419,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Metz,fr Ligue 1,23-170,1997,11.2,0.36,1.61,0.54,33.3,1.61,0.54,0.11,0.33,14.8,0.00,0.18,0.27,0.42,0.21,0.13,-0.06,-0.04,Matches
1420,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,33-080,1988,17.7,0.11,1.47,0.45,30.8,1.47,0.45,0.04,0.13,27.5,0.40,0.06,0.11,0.15,0.06,0.04,-0.04,0.00,Matches
1421,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24-297,1996,29.3,0.14,0.31,0.14,44.4,0.31,0.14,0.44,1.00,6.9,0.00,0.00,0.00,0.07,0.07,0.22,0.07,0.07,Matches
1422,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,21-265,1999,21.2,0.05,0.80,0.28,35.3,0.80,0.28,0.06,0.17,11.0,0.00,0.00,0.00,0.05,0.05,0.06,0.00,0.00,Matches
1423,Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,19-024,2002,2.2,0.00,1.82,0.91,50.0,1.84,0.92,0.00,0.00,13.0,0.00,0.00,0.00,0.27,0.27,0.16,-0.27,-0.27,Matches
1424,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22-342,1998,4.2,0.00,1.43,0.71,50.0,1.43,0.71,0.00,0.00,17.3,0.24,0.00,0.00,0.14,0.14,0.10,-0.14,-0.14,Matches
1425,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,26-291,1994,25.7,0.04,0.16,0.04,25.0,0.16,0.04,0.25,1.00,5.9,0.00,0.00,0.00,0.03,0.03,0.17,0.01,0.01,Matches
1426,Karol Linetty\Karol-Linetty,pl POL,MF,Torino,it Serie A,26-091,1995,19.4,0.05,0.36,0.15,42.9,0.36,0.15,0.14,0.33,17.1,0.00,0.00,0.00,0.04,0.04,0.11,0.01,0.01,Matches
1427,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,eng Premier League,28-140,1992,11.8,0.76,2.71,1.53,56.3,2.71,1.53,0.25,0.44,20.8,0.08,0.08,0.17,0.41,0.26,0.10,0.36,0.42,Matches
1428,Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,it Serie A,23-264,1997,5.5,0.00,0.36,0.00,0.0,0.36,0.00,0.00,,9.3,0.00,0.00,0.00,0.05,0.05,0.17,-0.05,-0.05,Matches
1429,Pol Lirola\Pol-Lirola,es ESP,DF,Marseille,fr Ligue 1,23-264,1997,14.3,0.14,0.49,0.21,42.9,0.49,0.21,0.29,0.67,11.6,0.00,0.00,0.00,0.08,0.08,0.18,0.06,0.06,Matches
1430,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,eng Premier League,31-171,1989,13.6,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,19.6,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
1431,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,eng Premier League,27-261,1993,10.9,0.09,0.64,0.28,42.9,0.64,0.28,0.14,0.33,17.3,0.00,0.00,0.00,0.06,0.06,0.10,0.03,0.03,Matches
1432,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,27-261,1993,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1433,Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,it Serie A,36-067,1985,7.4,0.14,1.49,0.68,45.5,1.49,0.68,0.09,0.20,9.7,0.00,0.00,0.00,0.19,0.19,0.13,-0.05,-0.05,Matches
1434,Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,it Serie A,36-067,1985,0.6,0.00,3.33,0.00,0.0,3.46,0.00,0.00,,8.2,0.00,0.00,0.00,0.17,0.17,0.07,-0.17,-0.17,Matches
1435,Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,26-094,1995,29.1,0.41,1.44,0.69,47.6,1.44,0.69,0.29,0.60,17.5,0.00,0.00,0.00,0.13,0.13,0.09,0.28,0.28,Matches
1436,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,34-129,1986,34.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1437,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,eng Premier League,25-025,1996,8.9,0.11,1.35,0.56,41.7,1.35,0.56,0.08,0.20,16.7,0.11,0.00,0.00,0.11,0.11,0.09,0.00,0.00,Matches
1438,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,26-160,1994,1.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1439,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,23-116,1998,28.1,0.11,1.42,0.32,22.5,1.42,0.32,0.05,0.22,20.7,0.18,0.04,0.04,0.12,0.09,0.07,-0.01,-0.02,Matches
1440,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,23-026,1998,11.8,0.00,0.93,0.25,27.3,0.93,0.25,0.00,0.00,19.5,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
1441,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,25-101,1996,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1442,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,25-101,1996,20.2,0.05,1.78,0.40,22.2,1.78,0.40,0.03,0.13,15.1,0.00,0.00,0.00,0.15,0.15,0.09,-0.10,-0.10,Matches
1443,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27-280,1993,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1444,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,30-259,1990,7.1,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,8.3,0.00,0.00,0.00,0.04,0.04,0.15,-0.04,-0.04,Matches
1445,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,34-102,1987,2.3,0.00,0.87,0.43,50.0,0.86,0.43,0.00,0.00,19.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1446,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21-044,2000,4.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1447,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23-186,1997,14.2,0.00,0.99,0.35,35.7,0.98,0.35,0.00,0.00,18.6,0.07,0.00,0.00,0.10,0.10,0.10,-0.10,-0.10,Matches
1448,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,23-196,1997,27.5,0.15,2.22,0.73,32.8,2.22,0.73,0.07,0.20,17.3,0.11,0.00,0.04,0.19,0.16,0.07,-0.04,-0.01,Matches
1449,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,30-215,1990,35.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1450,Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,25-127,1995,17.4,0.11,2.18,0.75,34.2,2.18,0.75,0.05,0.15,18.8,0.17,0.00,0.00,0.17,0.17,0.08,-0.06,-0.06,Matches
1451,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,37-184,1983,10.7,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,22.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
1452,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,33-116,1988,5.3,0.19,1.89,0.38,20.0,1.87,0.37,0.10,0.50,14.6,0.00,0.00,0.00,0.25,0.25,0.13,-0.06,-0.06,Matches
1453,Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,19-123,2002,2.8,0.00,0.36,0.36,100.0,0.36,0.36,0.00,0.00,17.5,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
1454,Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,23-151,1997,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1455,Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,23-151,1997,17.8,0.11,0.51,0.17,33.3,0.51,0.17,0.22,0.67,16.3,0.00,0.00,0.00,0.08,0.08,0.17,0.03,0.03,Matches
1456,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,26-142,1994,20.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1457,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,21-010,2000,4.9,0.61,2.45,0.61,25.0,2.45,0.61,0.25,1.00,24.1,0.41,0.00,0.00,0.16,0.16,0.07,0.45,0.45,Matches
1458,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,25-186,1995,13.5,0.22,1.70,0.67,39.1,1.71,0.67,0.13,0.33,24.7,0.37,0.00,0.00,0.09,0.09,0.05,0.13,0.13,Matches
1459,Dion Lopy\Dion-Lopy,sn SEN,MF,Reims,fr Ligue 1,19-091,2002,2.8,0.00,1.07,0.00,0.0,1.05,0.00,0.00,,20.5,0.00,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
1460,Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,22-217,1998,23.4,0.04,0.30,0.09,28.6,0.30,0.09,0.14,0.50,21.1,0.00,0.00,0.00,0.02,0.02,0.05,0.03,0.03,Matches
1461,Adrien Louveau\Adrien-Louveau,fr FRA,DFMF,Lens,fr Ligue 1,21-092,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1462,Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,22-003,1999,23.5,0.26,1.11,0.43,38.5,1.11,0.43,0.08,0.20,27.6,0.17,0.17,0.17,0.20,0.08,0.07,0.05,0.01,Matches
1463,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,21-079,2000,15.2,0.00,0.07,0.00,0.0,0.07,0.00,0.00,,7.6,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
1464,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23-358,1997,6.1,0.00,0.33,0.16,50.0,0.33,0.16,0.00,0.00,23.0,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
1465,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,de Bundesliga,24-096,1997,0.5,0.00,2.00,0.00,0.0,2.20,0.00,0.00,,19.1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
1466,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,31-329,1989,30.0,0.03,0.57,0.13,23.5,0.57,0.13,0.06,0.25,23.6,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,Matches
1467,Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,es La Liga,28-009,1993,14.1,0.21,2.27,0.92,40.6,2.27,0.92,0.09,0.23,13.3,0.00,0.00,0.00,0.35,0.35,0.16,-0.14,-0.14,Matches
1468,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,25-278,1995,19.9,0.45,2.76,1.26,45.5,2.76,1.25,0.16,0.36,15.4,0.00,0.00,0.00,0.34,0.34,0.12,0.11,0.11,Matches
1469,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,de Bundesliga,22-043,1999,0.4,0.00,2.50,0.00,0.0,2.25,0.00,0.00,,13.0,0.00,0.00,0.00,0.25,0.25,0.05,-0.25,-0.25,Matches
1470,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22-316,1998,1.9,0.00,2.63,0.00,0.0,2.62,0.00,0.00,,25.7,0.00,0.00,0.00,0.05,0.05,0.03,-0.05,-0.05,Matches
1471,Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22-316,1998,10.4,0.00,1.92,0.48,25.0,1.93,0.48,0.00,0.00,24.7,0.48,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
1472,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23-302,1997,15.8,0.00,0.38,0.13,33.3,0.38,0.13,0.00,0.00,31.0,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
1473,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,26-026,1995,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1474,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,21-060,2000,5.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25-344,1995,29.5,0.03,0.71,0.17,23.8,0.71,0.17,0.05,0.20,18.0,0.07,0.00,0.00,0.06,0.06,0.09,-0.03,-0.03,Matches
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33-285,1987,24.5,0.41,2.04,0.94,46.0,2.04,0.94,0.20,0.43,16.1,0.04,0.00,0.04,0.31,0.28,0.14,0.09,0.13,Matches
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,31-119,1990,24.8,0.04,0.16,0.04,25.0,0.16,0.04,0.25,1.00,26.8,0.00,0.00,0.00,0.02,0.02,0.10,0.02,0.02,Matches
1478,Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,21-258,1999,2.7,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,9.0,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
1479,Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35-364,1985,2.0,0.00,0.50,0.00,0.0,0.50,0.00,0.00,,32.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1480,Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28-364,1992,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1481,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,34-012,1987,15.5,0.06,0.97,0.13,13.3,0.97,0.13,0.07,0.50,17.4,0.19,0.00,0.00,0.06,0.06,0.06,0.00,0.00,Matches
1482,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22-360,1998,28.0,0.00,0.89,0.25,28.0,0.89,0.25,0.00,0.00,22.4,0.04,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches
1483,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27-356,1993,29.7,0.71,2.86,1.35,47.1,2.87,1.35,0.19,0.40,13.7,0.03,0.17,0.17,0.68,0.56,0.20,0.02,-0.02,Matches
1484,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,23-222,1997,19.8,0.25,1.92,0.81,42.1,1.92,0.81,0.08,0.19,14.7,0.05,0.10,0.10,0.34,0.27,0.14,-0.09,-0.12,Matches
1485,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,24-264,1996,21.3,0.14,0.89,0.33,36.8,0.89,0.33,0.16,0.43,16.4,0.00,0.00,0.00,0.09,0.09,0.11,0.05,0.05,Matches
1486,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,35-106,1986,5.3,0.00,0.57,0.19,33.3,0.56,0.19,0.00,0.00,16.5,0.00,0.00,0.00,0.06,0.06,0.11,-0.06,-0.06,Matches
1487,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,27-075,1994,22.5,0.00,0.84,0.18,21.1,0.85,0.18,0.00,0.00,23.2,0.04,0.00,0.04,0.09,0.06,0.07,-0.09,-0.06,Matches
1488,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,24-240,1996,20.9,0.00,0.24,0.05,20.0,0.24,0.05,0.00,0.00,18.5,0.00,0.00,0.00,0.03,0.03,0.13,-0.03,-0.03,Matches
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-055,1987,27.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,24-092,1997,20.3,0.00,0.54,0.15,27.3,0.54,0.15,0.00,0.00,18.6,0.00,0.00,0.00,0.04,0.04,0.07,-0.04,-0.04,Matches
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,27-194,1993,23.2,0.13,1.12,0.26,23.1,1.12,0.26,0.12,0.50,20.7,0.39,0.00,0.00,0.08,0.08,0.07,0.05,0.05,Matches
1492,Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30-309,1990,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,22-131,1998,10.3,0.10,2.14,0.29,13.6,2.14,0.29,0.05,0.33,20.7,0.10,0.00,0.00,0.10,0.10,0.04,0.00,0.00,Matches
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,28-086,1993,20.2,0.15,2.03,0.89,43.9,2.03,0.89,0.07,0.17,21.3,0.25,0.00,0.05,0.20,0.17,0.09,-0.05,-0.02,Matches
1495,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,20-060,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1496,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-215,1998,6.0,0.17,0.33,0.33,100.0,0.33,0.33,0.50,0.50,27.8,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.17,Matches
1497,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24-162,1996,20.9,0.38,3.16,1.10,34.8,3.16,1.10,0.12,0.35,24.2,0.57,0.00,0.00,0.19,0.19,0.06,0.19,0.19,Matches
1498,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,de Bundesliga,19-107,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1499,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,es La Liga,23-296,1997,18.8,0.05,0.59,0.27,45.5,0.58,0.27,0.09,0.20,18.4,0.00,0.00,0.00,0.04,0.04,0.06,0.02,0.02,Matches
1500,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,it Serie A,27-219,1993,21.2,0.05,0.42,0.09,22.2,0.42,0.09,0.11,0.50,7.2,0.00,0.00,0.00,0.05,0.05,0.13,-0.00,-0.00,Matches
1501,Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,it Serie A,39-082,1982,3.3,0.00,0.61,0.00,0.0,0.61,0.00,0.00,,8.5,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
1502,Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,it Serie A,23-053,1998,21.4,0.14,1.64,0.56,34.3,1.63,0.56,0.09,0.25,16.5,0.00,0.00,0.00,0.21,0.21,0.13,-0.07,-0.07,Matches
1503,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,36-173,1984,4.9,0.00,0.41,0.00,0.0,0.41,0.00,0.00,,26.6,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
1504,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,it Serie A,25-212,1995,16.3,0.00,0.67,0.12,18.2,0.68,0.12,0.00,0.00,16.4,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
1505,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,22-339,1998,4.5,0.00,1.33,0.22,16.7,1.34,0.22,0.00,0.00,28.5,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
1506,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28-060,1993,33.0,0.06,1.06,0.27,25.7,1.06,0.27,0.06,0.22,11.0,0.00,0.00,0.00,0.06,0.06,0.06,-0.00,-0.00,Matches
1507,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,21-000,2000,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1508,Hicham Mahou\Hicham-Mahou,fr FRA,DF,Nice,fr Ligue 1,21-306,1999,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1509,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,30-072,1991,19.9,0.45,2.71,1.06,38.9,2.71,1.05,0.17,0.43,16.3,0.10,0.00,0.00,0.27,0.27,0.10,0.18,0.18,Matches
1510,Arne Maier\Arne-Maier,de GER,MFFW,Arminia,de Bundesliga,22-116,1999,8.5,0.00,0.71,0.12,16.7,0.70,0.12,0.00,0.00,19.7,0.12,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1511,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,22-116,1999,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
