,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-238,1998,8.2,42.8,41.3,1.46,0.24,0.00,7.93,1.10,0.24,0.12,0.12,0.00,0.00,35.0,4.39,3.41,3.29,36.5,1.46,0.98,0.12,37.6,0.00,0.37,0.61,0.98,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-028,1993,16.6,41.3,40.1,1.20,1.14,0.12,6.20,0.84,0.18,0.00,0.00,0.00,0.00,33.4,3.07,4.82,2.89,35.5,1.69,0.06,0.06,35.8,0.06,0.42,0.72,0.54,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-250,1989,1.3,44.6,40.0,4.62,0.77,0.00,8.46,0.77,3.08,0.00,0.00,0.00,0.00,32.3,6.15,6.15,3.08,36.9,0.00,3.85,0.00,36.2,0.77,1.54,0.00,0.77,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-165,2001,0.5,24.0,20.0,4.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0,2.00,4.00,18.0,2.00,0.00,4.00,0.00,16.0,0.00,0.00,0.00,4.00,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-134,1994,8.0,58.3,54.1,4.13,0.13,0.00,5.88,0.38,0.00,0.00,0.00,0.00,0.00,42.6,7.38,8.25,4.50,45.3,2.63,4.00,0.25,50.0,0.25,0.00,0.88,1.25,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-056,1994,8.2,49.0,40.5,8.54,0.85,0.00,7.20,1.59,0.98,0.00,0.00,0.00,0.00,25.0,13.5,10.5,26.6,10.0,2.68,7.68,0.24,39.4,0.12,1.10,0.24,1.71,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-037,1997,6.7,32.2,30.6,1.64,0.30,0.15,9.55,1.49,1.79,0.45,0.30,0.15,0.00,18.8,4.48,8.96,5.37,21.2,2.54,0.15,0.15,21.3,0.15,0.60,0.75,2.09,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-189,1996,20.1,54.0,49.8,4.28,1.64,0.10,9.00,1.09,1.00,2.09,0.70,0.85,0.00,39.2,6.72,8.16,7.06,45.5,0.60,0.40,0.25,44.9,0.15,0.15,1.54,1.09,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-232,2000,23.2,45.9,42.2,3.66,0.82,0.13,5.22,1.81,0.47,0.22,0.22,0.00,0.00,30.6,5.26,10.0,7.50,31.1,2.80,2.63,0.17,36.9,0.04,1.16,0.65,0.82,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-256,1996,25.9,52.2,50.0,2.24,1.51,0.00,6.53,2.47,0.39,0.00,0.00,0.00,0.00,40.7,4.32,7.22,3.47,46.6,1.31,0.12,0.19,46.4,0.12,0.50,0.89,1.24,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-207,1989,7.6,28.4,27.5,0.92,0.92,0.00,5.53,0.53,0.26,0.00,0.00,0.00,0.00,17.5,5.53,5.39,3.42,20.3,3.03,0.00,0.00,22.5,0.00,0.79,1.32,0.53,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-338,1996,2.1,55.7,52.9,2.86,1.90,0.00,5.24,1.90,0.00,0.00,0.00,0.00,0.00,42.4,5.24,8.10,4.29,45.7,2.38,0.95,0.00,50.0,0.00,0.00,0.48,0.48,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-338,1996,27.7,58.4,56.4,2.02,1.62,0.04,4.55,3.21,0.14,0.00,0.00,0.00,0.00,39.9,5.13,13.4,5.63,46.9,3.57,0.40,0.22,48.8,0.22,1.48,0.54,0.76,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-013,1995,0.8,41.3,32.5,8.75,0.00,0.00,6.25,0.00,1.25,0.00,0.00,0.00,0.00,25.0,12.5,3.75,2.50,27.5,1.25,8.75,0.00,30.0,0.00,0.00,2.50,1.25,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-179,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-019,1993,0.0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-293,1991,10.1,21.4,19.5,1.88,0.00,0.00,7.82,0.10,0.40,0.00,0.00,0.00,0.00,10.0,5.94,5.45,2.08,10.7,2.38,0.10,1.68,15.4,0.10,0.30,0.30,0.99,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-022,1988,2.0,20.0,14.0,6.00,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,12.5,0.50,7.00,4.50,12.5,0.00,0.00,2.50,16.5,0.00,0.00,0.00,0.00,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-274,1990,30.4,63.3,62.3,0.92,0.82,0.10,9.67,1.48,0.39,0.00,0.00,0.00,0.00,46.2,8.75,8.29,7.76,49.7,3.36,0.10,0.53,53.9,0.16,1.02,1.25,1.32,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-224,1994,27.1,51.7,50.6,1.03,0.89,0.07,8.97,1.07,0.22,0.00,0.00,0.00,0.00,33.9,7.56,10.1,11.3,34.2,3.95,0.11,0.37,40.7,0.33,1.03,1.33,1.37,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-217,1996,18.6,47.2,46.2,1.02,0.81,0.00,7.20,1.45,0.32,0.00,0.00,0.00,0.00,37.3,4.73,5.22,5.43,39.9,1.13,0.22,0.00,41.8,0.05,0.65,0.97,0.75,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-316,2002,1.0,30.0,11.0,19.0,2.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,25.0,12.0,16.0,0.00,0.00,0.00,16.0,0.00,2.00,0.00,0.00,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-054,1998,1.5,33.3,33.3,0.00,0.00,0.00,4.67,0.67,0.00,0.00,0.00,0.00,0.00,15.3,4.00,14.0,5.33,20.0,6.00,0.00,0.00,26.0,0.67,0.67,0.67,0.00,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-241,1989,7.1,65.4,51.7,13.7,1.97,0.00,8.59,2.54,3.24,0.70,0.28,0.14,0.14,33.0,14.1,18.3,40.6,9.58,2.82,11.0,0.14,48.0,0.00,1.69,3.66,1.55,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-120,1997,22.7,62.4,50.6,11.8,1.89,0.18,6.74,2.11,4.63,1.85,0.57,0.70,0.09,33.1,11.7,17.6,46.0,5.11,2.60,8.06,0.18,44.9,0.40,0.97,1.23,2.60,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-322,2001,0.1,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-219,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-226,1986,17.2,48.3,36.9,11.3,1.63,0.00,5.52,3.90,6.34,1.10,0.29,0.70,0.06,20.2,9.01,19.0,16.6,21.9,0.81,8.60,0.17,33.4,0.06,1.80,0.87,1.51,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-288,1996,27.1,66.5,63.1,3.43,1.99,0.07,6.86,0.92,0.30,0.00,0.00,0.00,0.00,52.8,5.28,8.49,10.7,50.8,2.07,1.40,0.33,58.4,0.15,0.77,0.89,1.00,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-286,1998,0.3,46.7,46.7,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,23.3,10.0,13.3,6.67,33.3,3.33,0.00,0.00,26.7,0.00,0.00,0.00,3.33,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-037,1990,18.2,21.2,20.3,0.88,0.05,0.00,7.09,0.55,1.26,0.00,0.00,0.00,0.00,11.8,5.60,3.79,2.86,13.6,1.37,0.44,0.60,13.9,0.00,0.44,0.66,1.54,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-176,2000,2.2,49.5,45.0,4.55,1.82,0.00,1.82,2.73,0.00,0.00,0.00,0.00,0.00,41.4,3.18,5.00,7.73,38.2,0.91,2.73,0.00,44.5,0.00,0.91,0.00,0.45,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-308,1998,17.7,50.9,48.8,2.09,0.56,0.17,6.21,0.85,0.96,0.62,0.23,0.06,0.00,43.5,4.63,2.77,5.20,44.5,0.68,0.40,0.00,42.8,0.23,0.68,1.92,1.53,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-293,2002,17.7,41.6,34.7,6.89,2.49,0.23,6.72,2.99,2.20,3.84,1.30,2.03,0.17,25.8,4.80,11.0,5.82,33.4,0.85,0.28,0.62,29.3,0.06,1.02,1.58,1.24,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-329,1992,14.4,51.5,39.9,11.6,0.63,0.00,5.35,0.76,2.36,0.00,0.00,0.00,0.00,26.7,11.7,13.1,5.49,31.0,2.99,11.0,0.28,37.2,0.21,1.25,1.60,1.60,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-093,1998,0.3,66.7,50.0,16.7,3.33,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,36.7,23.3,6.67,13.3,36.7,3.33,13.3,0.00,50.0,0.00,0.00,0.00,3.33,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-216,1995,31.1,33.2,29.3,3.92,1.77,0.03,5.02,3.09,1.58,2.09,1.00,0.35,0.29,16.9,4.21,12.1,2.67,26.4,2.64,0.03,0.10,23.2,0.19,1.13,0.55,0.77,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-017,1989,16.6,62.7,60.1,2.59,2.11,0.24,9.46,1.51,0.12,0.00,0.00,0.00,0.00,46.7,7.23,8.73,8.31,50.7,2.47,0.48,0.24,54.0,0.12,0.60,1.57,1.45,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-336,1996,15.1,37.7,36.7,1.06,0.20,0.26,6.69,1.52,1.59,0.26,0.13,0.13,0.00,25.4,5.36,6.95,30.4,4.64,1.79,0.53,0.00,28.7,0.13,0.66,0.99,1.59,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-248,1991,24.0,59.7,58.8,0.88,0.79,0.04,4.46,1.21,0.08,0.00,0.00,0.00,0.00,45.5,5.17,8.96,6.50,48.9,2.67,0.08,0.21,50.6,0.08,1.00,0.96,0.71,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-058,1999,13.8,61.7,60.1,1.67,1.45,0.07,5.29,0.72,0.00,0.00,0.00,0.00,0.00,53.3,3.41,5.07,5.87,51.7,1.81,0.14,0.29,57.2,0.07,0.36,0.07,0.43,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-354,1987,27.2,60.8,51.0,9.85,2.87,0.07,6.84,4.74,1.10,0.11,0.04,0.07,0.00,30.4,12.0,18.4,12.9,35.0,4.19,6.88,0.18,46.4,0.07,2.28,0.96,1.07,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-066,1993,33.0,27.1,17.2,9.85,2.85,0.00,1.12,0.52,0.00,0.00,0.00,0.00,0.00,13.9,0.94,12.2,1.58,19.8,0.00,0.00,4.21,19.7,0.06,0.52,0.15,0.03,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-111,1992,1.0,55.0,47.0,8.00,1.00,0.00,12.0,0.00,0.00,0.00,0.00,0.00,0.00,39.0,9.00,7.00,3.00,42.0,3.00,7.00,0.00,47.0,0.00,0.00,1.00,1.00,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-314,1994,3.3,18.8,16.1,2.73,0.00,0.00,6.06,0.00,0.30,0.00,0.00,0.00,0.00,10.9,3.94,3.94,3.33,11.2,2.12,0.00,0.00,12.1,0.00,0.61,0.30,0.61,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-123,1999,0.5,14.0,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,4.00,4.00,6.00,4.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-035,1992,25.9,39.0,36.5,2.51,0.31,0.19,7.80,0.50,0.97,0.04,0.00,0.00,0.00,29.5,5.68,3.86,6.87,30.0,1.31,0.50,0.12,30.5,0.08,0.39,1.47,2.24,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-342,1994,25.7,57.8,48.6,9.26,5.02,0.23,8.72,4.28,1.13,3.85,1.71,1.52,0.00,35.1,7.67,15.0,42.4,11.1,2.72,0.35,0.16,46.3,0.16,0.89,0.82,0.97,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-162,2000,1.2,30.0,28.3,1.67,0.00,0.00,11.7,0.83,0.00,0.00,0.00,0.00,0.00,13.3,10.8,5.83,3.33,15.0,4.17,0.00,1.67,22.5,0.00,0.00,0.83,0.83,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-216,2001,1.5,61.3,60.0,1.33,0.00,0.00,13.3,0.00,0.67,0.00,0.00,0.00,0.00,51.3,6.00,4.00,53.3,5.33,0.67,1.33,0.00,50.7,0.67,0.00,0.67,3.33,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-213,1994,5.0,38.4,29.6,8.80,0.80,0.00,4.00,0.60,0.00,0.00,0.00,0.00,0.00,22.8,1.80,13.8,4.60,26.8,0.00,0.00,6.20,30.4,0.00,0.80,0.20,0.00,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-261,1990,19.3,44.8,42.7,2.07,1.76,0.05,6.27,1.55,0.41,0.16,0.05,0.10,0.00,34.1,4.97,5.70,4.82,37.4,1.66,0.16,0.10,37.7,0.26,0.36,1.35,0.73,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,32-146,1988,2.3,44.8,39.6,5.22,0.43,0.00,3.04,0.00,1.74,0.43,0.00,0.00,0.00,29.1,7.83,7.83,36.1,3.91,0.00,4.35,0.00,38.3,0.00,0.00,0.00,0.87,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-068,1997,4.6,40.2,37.0,3.26,3.04,0.00,9.78,1.09,0.22,0.00,0.00,0.00,0.00,29.8,3.48,6.96,9.13,28.0,2.17,0.22,0.43,33.3,0.00,1.09,1.09,0.87,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-310,1989,33.0,36.4,26.3,10.1,2.27,0.00,2.97,1.06,0.00,0.00,0.00,0.00,0.00,21.6,1.42,13.4,5.55,24.5,0.00,0.00,5.33,28.6,0.09,0.73,0.21,0.03,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-103,1996,19.2,48.4,45.4,3.02,0.52,0.21,7.50,1.98,3.54,1.56,0.42,0.31,0.16,36.0,5.63,6.82,41.1,5.05,0.68,0.94,0.36,38.9,0.16,0.83,1.09,2.24,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-115,2001,0.9,18.9,18.9,0.00,0.00,0.00,3.33,0.00,1.11,0.00,0.00,0.00,0.00,11.1,4.44,3.33,7.78,8.89,2.22,0.00,0.00,8.89,0.00,1.11,0.00,1.11,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-276,1987,29.0,39.6,38.0,1.59,0.52,0.31,7.72,0.90,1.34,0.03,0.03,0.00,0.00,30.8,5.21,3.66,28.2,8.83,1.55,0.38,0.21,30.2,0.34,0.55,1.62,1.86,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-172,1993,9.2,19.9,19.2,0.65,0.22,0.00,3.80,0.33,0.54,0.00,0.00,0.00,0.00,15.0,2.83,2.07,3.04,14.8,1.20,0.11,0.11,13.7,0.11,0.22,1.30,0.76,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-342,1999,5.5,32.7,32.2,0.55,0.55,0.00,6.18,0.73,0.36,0.00,0.00,0.00,0.00,20.9,3.64,8.18,2.91,24.2,3.27,0.00,0.18,26.0,0.18,0.91,1.09,0.55,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-352,1996,8.1,56.7,47.7,9.01,1.11,0.00,7.41,1.36,3.46,0.12,0.00,0.12,0.00,38.9,11.7,6.05,2.96,43.3,1.73,7.78,0.00,44.9,0.00,1.48,1.23,1.85,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-320,1989,23.2,27.1,26.3,0.78,0.04,0.26,5.39,0.34,1.90,0.04,0.00,0.00,0.00,19.5,3.79,3.75,3.06,22.1,0.65,0.13,0.30,20.4,0.30,0.22,0.56,0.78,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-106,1997,34.0,34.1,23.6,10.4,3.26,0.06,2.59,0.65,0.00,0.00,0.00,0.00,0.00,14.6,1.91,17.5,2.91,24.7,0.03,0.00,4.94,23.4,0.06,0.62,0.09,0.09,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-247,1994,31.7,57.4,47.2,10.2,1.07,0.00,5.80,0.73,3.28,0.06,0.00,0.03,0.00,31.9,11.7,13.8,43.3,2.46,1.74,9.05,0.06,43.6,0.09,0.73,1.29,2.18,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-322,1997,0.4,12.5,7.50,5.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,5.00,0.00,0.00,12.5,0.00,0.00,0.00,12.5,0.00,0.00,0.00,0.00,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-013,1994,19.7,54.3,39.4,14.8,2.34,0.00,6.40,2.23,3.71,3.30,1.12,1.68,0.36,22.8,12.3,19.2,37.7,3.71,2.39,9.19,0.05,36.3,0.30,1.17,1.27,1.88,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-131,1992,16.8,54.4,45.1,9.35,0.30,0.18,6.19,0.77,1.25,0.00,0.00,0.00,0.00,33.0,11.0,10.4,3.57,37.7,2.74,9.05,0.06,43.8,0.00,0.42,1.13,1.37,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-303,1989,1.5,22.7,21.3,1.33,0.00,0.00,8.00,0.00,0.67,0.00,0.00,0.00,0.00,10.7,6.67,5.33,2.00,12.0,4.00,0.00,0.00,16.7,0.67,0.00,0.67,0.67,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-087,1994,1.3,25.4,24.6,0.77,0.00,0.00,3.85,0.77,1.54,0.00,0.00,0.00,0.00,6.92,10.8,7.69,6.92,10.8,3.85,0.00,3.08,13.8,0.00,0.00,0.77,1.54,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-265,1997,14.3,19.7,19.4,0.28,0.00,0.00,6.43,0.28,0.21,0.00,0.00,0.00,0.00,11.4,5.31,2.94,3.36,12.3,1.40,0.00,1.33,13.5,0.07,0.77,0.70,0.98,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-084,2002,3.8,36.3,28.9,7.37,0.26,0.00,3.95,0.00,2.63,0.00,0.00,0.00,0.00,18.4,8.68,9.21,3.68,22.1,2.11,7.11,0.00,24.7,0.00,1.05,2.63,1.58,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-235,1991,21.2,27.9,27.1,0.80,0.19,0.00,5.38,0.47,0.80,0.00,0.00,0.00,0.00,22.3,3.54,2.03,1.70,23.8,1.13,0.09,0.33,22.0,0.05,0.28,1.13,0.94,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-175,1994,8.7,63.0,59.3,3.68,0.80,0.00,3.91,0.69,0.34,0.00,0.00,0.00,0.00,53.4,5.75,3.79,5.52,52.6,1.15,2.87,0.11,58.2,0.11,0.80,0.80,0.80,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-252,1991,33.8,71.7,61.8,9.91,1.36,0.12,6.51,2.34,2.04,0.00,0.00,0.00,0.00,41.9,13.8,16.0,5.50,53.6,2.72,8.55,0.18,56.5,0.18,1.15,1.78,1.92,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-143,1992,1.1,34.5,33.6,0.91,0.00,0.00,4.55,0.00,0.91,0.00,0.00,0.00,0.00,25.5,1.82,7.27,4.55,24.5,2.73,0.91,0.00,25.5,0.00,0.91,0.91,0.00,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-249,1989,20.5,83.9,76.1,7.80,1.51,0.20,4.88,0.44,0.88,0.00,0.00,0.00,0.00,62.1,11.2,10.6,7.07,65.5,3.51,6.29,0.34,73.1,0.20,0.88,1.46,1.61,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-345,1986,3.2,75.0,68.1,6.88,2.50,0.00,9.69,1.56,0.63,0.00,0.00,0.00,0.00,52.8,10.9,11.3,63.8,2.81,2.19,4.38,0.00,63.1,0.00,1.56,1.56,0.63,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-238,1986,7.1,20.7,19.2,1.55,0.00,0.14,7.04,0.70,0.85,0.00,0.00,0.00,0.00,12.4,5.35,2.96,0.42,17.5,0.85,0.14,0.42,13.5,0.00,0.85,0.42,1.27,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-023,2000,26.0,64.1,62.8,1.35,1.15,0.00,6.58,2.62,0.12,0.00,0.00,0.00,0.00,51.2,3.19,9.77,4.27,54.6,2.85,0.08,0.23,56.2,0.12,1.42,0.77,0.38,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,60.0,57.4,2.60,2.17,0.16,7.83,3.15,0.47,0.04,0.04,0.00,0.00,40.9,7.91,11.2,9.25,47.7,2.40,0.08,0.08,49.1,0.28,0.91,1.73,1.02,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-081,1992,30.0,38.2,25.9,12.4,2.87,0.00,3.33,0.57,0.00,0.00,0.00,0.00,0.00,18.4,1.70,18.1,3.63,27.6,0.00,0.07,4.80,28.9,0.03,0.63,0.20,0.07,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-288,2001,1.4,36.4,35.0,1.43,1.43,0.00,6.43,0.00,2.14,0.00,0.00,0.00,0.00,27.1,6.43,2.86,1.43,30.7,3.57,0.00,0.71,27.1,0.71,0.71,1.43,1.43,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-038,2000,5.8,35.9,33.8,2.07,0.52,0.17,8.10,0.52,1.03,1.03,0.52,0.17,0.00,24.5,5.34,6.03,28.1,3.79,1.72,0.52,0.34,29.1,0.00,0.34,1.03,0.86,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-341,1992,16.7,20.3,18.6,1.68,0.00,0.18,5.09,0.18,1.08,0.00,0.00,0.00,0.00,14.3,4.01,1.98,1.38,16.6,0.84,0.06,0.66,14.5,0.00,0.12,1.14,1.14,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-268,1997,23.3,40.5,36.5,3.99,0.47,0.17,7.17,2.79,3.78,2.53,0.69,1.03,0.09,25.1,6.65,8.76,30.0,7.90,1.07,0.90,0.13,28.4,0.21,0.86,1.29,2.27,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-022,1994,7.1,53.8,52.8,0.99,0.99,0.00,4.08,0.56,0.00,0.00,0.00,0.00,0.00,44.4,4.23,5.21,6.34,43.7,2.54,0.00,0.00,48.3,0.00,0.28,0.99,0.42,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-132,2001,1.0,36.0,28.0,8.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0,1.00,17.0,3.00,23.0,0.00,0.00,9.00,22.0,0.00,2.00,0.00,0.00,Matches
