,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
55,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,32-044,1989,30.1,87.3,79.2,8.14,0.90,0.20,5.88,1.30,3.39,0.10,0.00,0.00,0.00,65.0,14.1,8.21,68.5,10.5,0.83,7.14,0.20,74.7,0.17,0.73,1.56,2.89,Matches
56,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-218,1992,25.3,66.4,57.0,9.37,2.61,0.51,10.0,2.41,1.15,4.31,2.06,1.23,0.43,47.9,6.92,11.5,3.20,61.0,0.83,0.67,0.40,51.8,0.47,0.67,1.66,1.46,Matches
57,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-242,1985,30.6,59.3,57.2,2.09,1.93,0.00,5.16,2.03,0.10,0.00,0.00,0.00,0.00,46.9,4.18,8.17,8.27,47.6,2.19,0.13,0.07,52.9,0.03,0.92,0.39,0.56,Matches
58,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-167,1989,15.8,46.6,42.3,4.24,0.63,0.38,8.23,1.71,3.99,1.58,0.25,0.63,0.06,27.7,9.05,9.87,3.61,38.5,1.52,2.03,0.38,32.0,0.38,0.70,1.65,3.67,Matches
59,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-247,1993,16.1,16.0,13.8,2.17,0.00,0.37,2.30,0.37,0.31,0.00,0.00,0.00,0.00,9.81,4.10,2.05,2.05,11.9,1.12,0.06,0.25,11.9,0.19,0.25,0.62,0.56,Matches
60,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,32-046,1989,8.0,27.9,26.1,1.75,1.75,0.00,2.13,2.38,0.00,0.00,0.00,0.00,0.00,17.1,1.88,8.88,1.25,23.4,2.38,0.00,0.13,21.4,0.25,0.63,0.13,0.25,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,30-023,1991,15.6,82.8,80.7,2.05,1.54,0.26,10.1,3.78,0.19,0.00,0.00,0.00,0.00,60.7,9.42,12.6,4.04,74.7,2.31,0.19,0.19,74.0,0.13,0.90,1.54,1.15,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,30-003,1991,22.4,47.5,45.4,2.05,1.83,0.04,8.35,3.08,0.22,0.04,0.04,0.00,0.00,31.6,4.38,11.5,7.01,36.0,2.23,0.18,0.36,39.3,0.18,1.29,0.89,0.85,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-129,1996,11.4,61.4,59.7,1.67,1.67,0.00,4.39,1.49,0.09,0.00,0.00,0.00,0.00,43.8,3.25,14.4,54.2,3.51,2.54,0.00,0.18,50.1,0.35,0.61,1.14,0.70,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,32-063,1989,20.9,54.4,52.5,1.96,1.63,0.10,4.11,1.91,0.05,0.00,0.00,0.00,0.00,36.7,4.59,13.1,10.4,39.7,2.92,0.33,0.19,45.4,0.10,0.81,0.72,0.48,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-083,1995,7.6,25.4,23.7,1.71,0.13,0.13,6.45,1.58,5.13,0.39,0.13,0.26,0.00,13.0,5.39,6.97,1.84,19.9,1.05,0.92,0.13,13.8,0.00,1.05,0.39,3.16,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-119,1998,0.5,84.0,84.0,0.00,0.00,0.00,12.0,4.00,0.00,0.00,0.00,0.00,0.00,72.0,6.00,6.00,72.0,8.00,0.00,0.00,0.00,76.0,0.00,2.00,2.00,0.00,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-119,1998,12.3,37.4,33.3,4.07,1.79,0.08,6.02,1.63,1.46,1.79,0.57,0.73,0.00,23.3,4.63,9.51,30.9,3.50,1.95,0.33,0.08,26.0,0.49,0.98,1.54,1.30,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,26-075,1995,0.2,55.0,40.0,15.0,10.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,5.00,15.0,5.00,40.0,0.00,0.00,10.0,35.0,0.00,5.00,0.00,0.00,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-209,1998,28.7,89.4,75.1,14.3,1.85,0.17,7.18,4.46,5.26,2.75,0.49,1.50,0.14,50.3,15.7,23.4,9.79,67.7,1.92,9.69,0.21,67.2,0.38,1.15,1.64,3.14,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,22-000,1999,0.4,37.5,37.5,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,5.00,2.50,2.50,32.5,2.50,0.00,0.00,37.5,0.00,0.00,0.00,0.00,Matches
71,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-105,2004,3.5,27.1,26.9,0.29,0.00,0.00,6.29,0.29,2.29,0.00,0.00,0.00,0.00,19.7,4.57,2.86,18.9,4.86,0.86,0.00,1.43,17.7,0.29,0.29,1.71,1.14,Matches
72,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,eng Premier League,29-081,1992,23.3,61.1,52.2,8.84,1.12,0.09,6.35,0.69,2.15,0.00,0.00,0.00,0.00,37.9,14.3,8.80,44.5,4.51,3.26,7.73,0.04,49.1,0.13,0.94,1.59,2.19,Matches
