 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-124,2000,1.0,13.0,34.0,38.2,252.0,104.0,5.00,9.00,55.6,6.00,13.0,46.2,2.00,10.0,20.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-179,2000,4.8,64.4,79.8,80.7,1045.6,339.2,33.3,38.3,87.0,27.1,31.0,87.2,3.33,8.75,38.1,0.00,0.04,-0.04,0.63,5.00,1.46,0.42,6.25,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-306,1995,16.9,36.3,49.1,74.1,712.9,203.5,15.7,18.8,83.6,13.8,17.2,80.4,6.21,10.9,56.8,0.12,0.06,0.06,1.12,3.25,1.60,0.65,4.56,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-310,1985,3.0,38.7,55.0,70.3,752.0,316.3,15.7,16.3,95.9,17.0,22.3,76.1,5.33,13.3,40.0,0.00,0.00,0.00,0.00,3.00,2.00,0.33,3.67,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-086,1997,29.8,49.0,59.2,82.7,843.3,287.0,23.9,26.5,90.4,19.0,22.2,85.3,5.03,7.92,63.6,0.20,0.18,0.02,1.54,4.80,2.25,0.37,6.91,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-062,1989,0.3,33.3,36.7,90.9,596.7,173.3,10.0,13.3,75.0,23.3,23.3,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,3.33,0.00,0.00,6.67,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-033,1997,13.2,22.0,32.0,68.6,371.1,110.2,11.9,14.5,82.2,7.42,10.2,72.6,2.05,4.70,43.5,0.23,0.14,0.08,1.21,1.14,1.21,0.61,2.95,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-150,1993,15.5,36.3,44.2,82.0,659.4,173.4,17.5,19.9,88.3,13.0,14.7,88.2,5.03,7.55,66.7,0.06,0.22,-0.15,2.26,2.90,1.74,0.00,4.65,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-150,1993,0.5,44.0,52.0,84.6,882.0,144.0,20.0,26.0,76.9,16.0,18.0,88.9,8.00,8.00,100.0,0.00,0.20,-0.20,2.00,4.00,2.00,0.00,4.00,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-348,1998,10.3,33.6,46.3,72.5,564.9,186.2,15.8,20.2,78.4,13.8,17.9,77.2,3.11,6.02,51.6,0.29,0.29,0.00,2.43,2.33,1.84,0.39,3.98,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-186,1989,14.4,13.0,20.3,64.0,171.1,38.9,8.54,11.3,75.9,2.99,4.93,60.6,0.56,2.01,27.6,0.00,0.05,-0.05,0.90,0.90,0.49,0.07,1.39,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-146,1997,21.6,21.7,29.0,74.8,335.1,86.8,12.3,15.3,80.1,7.27,9.17,79.3,1.53,2.36,64.7,0.19,0.07,0.12,1.16,1.71,0.88,0.09,2.87,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-254,1999,1.0,10.0,19.0,52.6,211.0,150.0,5.00,6.00,83.3,3.00,6.00,50.0,2.00,6.00,33.3,0.00,0.30,-0.30,2.00,0.00,0.00,0.00,0.00,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-326,1987,21.8,44.0,53.5,82.2,866.4,328.6,16.8,18.3,91.5,20.1,23.2,86.7,6.56,10.6,62.2,0.14,0.05,0.09,0.41,2.20,0.69,0.32,2.71,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-047,1995,0.9,34.4,53.3,64.6,526.7,184.4,17.8,22.2,80.0,14.4,21.1,68.4,1.11,7.78,14.3,0.00,0.00,0.00,1.11,3.33,1.11,0.00,5.56,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-121,2000,23.3,18.6,28.1,66.1,296.0,105.3,9.44,12.9,73.1,6.95,9.66,72.0,1.55,3.39,45.6,0.09,0.09,0.00,0.77,1.50,0.34,0.04,2.36,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-128,2001,12.9,19.5,27.4,71.1,315.9,78.0,10.1,12.3,81.8,7.44,9.77,76.2,1.55,3.26,47.6,0.00,0.15,-0.15,0.93,1.40,0.85,0.23,2.02,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-168,1994,11.7,36.3,46.4,78.3,699.6,249.6,13.4,15.8,84.9,17.7,21.1,83.8,4.87,7.52,64.8,0.09,0.10,-0.02,0.34,2.22,0.43,0.17,2.31,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-171,1998,29.5,25.5,35.8,71.3,477.3,122.9,12.5,15.1,83.3,8.64,11.3,76.3,3.76,7.56,49.8,0.27,0.16,0.11,1.73,2.31,1.02,0.41,2.75,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-347,1991,24.7,23.0,29.4,78.3,484.4,159.8,7.33,8.62,85.0,11.6,13.6,85.4,3.85,6.76,56.9,0.04,0.01,0.03,0.12,1.86,0.12,0.04,1.13,Matches
