 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1924,Vincent Pajot\Vincent-Pajot,fr FRA,MF,Metz,fr Ligue 1,30-258,1990,10.2,44.3,51.0,86.9,935.9,161.2,14.7,16.2,90.9,21.2,23.7,89.3,7.75,10.1,76.7,0.00,0.01,-0.01,0.39,3.73,0.20,0.00,1.76,Matches
1925,Rodrigo Palacio\Rodrigo-Palacio,ar ARG,FW,Bologna,it Serie A,39-088,1982,23.8,26.5,35.0,75.7,418.5,83.5,14.5,16.9,85.8,8.91,11.6,76.5,2.18,3.74,58.4,0.17,0.12,0.05,1.01,1.34,1.09,0.29,2.44,Matches
1926,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,de Bundesliga,22-211,1998,5.5,57.6,66.9,86.1,955.5,265.5,31.8,34.2,93.1,19.1,22.9,83.3,5.82,8.00,72.7,0.00,0.07,-0.07,1.09,4.55,0.36,0.18,4.18,Matches
1927,Helibelton Palacios\Helibelton-Palacios,co COL,DF,Elche,es La Liga,27-329,1993,6.0,27.3,37.2,73.5,505.8,246.8,11.7,12.5,93.3,11.8,14.7,80.7,3.50,8.83,39.6,0.00,0.00,0.00,0.17,1.83,0.50,0.50,1.50,Matches
1928,Ante Palaversa\Ante-Palaversa,hr CRO,MFFW,Getafe,es La Liga,21-028,2000,0.1,80.0,110.0,72.7,1560.0,810.0,30.0,30.0,100.0,30.0,50.0,60.0,20.0,30.0,66.7,0.00,1.00,-1.00,20.0,0.00,0.00,0.00,0.00,Matches
1929,Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,it Serie A,28-248,1992,1.3,20.0,33.8,59.1,507.7,433.8,7.69,7.69,100.0,6.15,6.15,100.0,5.38,19.2,28.0,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,Matches
1930,Nicolas Pallois\Nicolas-Pallois,fr FRA,DF,Nantes,fr Ligue 1,33-227,1987,27.8,34.5,42.0,82.3,780.1,279.8,9.39,10.3,91.3,17.8,20.2,87.9,6.98,10.5,66.4,0.00,0.01,-0.01,0.18,3.06,0.11,0.00,2.84,Matches
1931,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,eng Premier League,26-274,1994,1.0,51.0,63.0,81.0,927.0,203.0,27.0,28.0,96.4,15.0,19.0,78.9,8.00,11.0,72.7,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,Matches
1932,Antonio Palumbo\Antonio-Palumbo,it ITA,MF,Sampdoria,it Serie A,24-271,1996,0.1,10.0,10.0,100.0,100.0,0.00,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1933,Martin Palumbo\Martin-Palumbo,no NOR,MF,Udinese,it Serie A,19-060,2002,0.6,8.33,18.3,45.5,170.0,50.0,3.33,5.00,66.7,3.33,6.67,50.0,1.67,3.33,50.0,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1.67,Matches
1934,Goran Pandev\Goran-Pandev,mk MKD,FWMF,Genoa,it Serie A,37-281,1983,13.0,22.2,28.2,78.7,345.6,81.2,12.8,14.8,86.5,7.00,8.69,80.5,1.62,2.62,61.8,0.15,0.06,0.09,0.85,1.85,0.69,0.00,2.31,Matches
1935,Jonathan Panzo\Jonathan-Panzo,eng ENG,DF,Dijon,fr Ligue 1,20-191,2000,18.2,45.2,51.5,87.6,1007.6,296.3,10.8,12.1,88.7,24.5,25.8,94.7,9.56,12.5,76.3,0.00,0.00,0.00,0.00,1.54,0.05,0.00,1.32,Matches
1936,Matondo-Merveille Papela\Matondo-Merveille-Papela,de GER,DF,Mainz 05,de Bundesliga,20-106,2001,0.0,1,1,100.0,9,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1937,Lucas Paquetá\Lucas-Paqueta,br BRA,MF,Lyon,fr Ligue 1,23-250,1997,22.3,39.9,49.0,81.3,693.5,249.7,18.0,21.2,85.0,16.2,18.9,85.7,4.26,5.83,73.1,0.18,0.25,-0.07,1.57,4.89,1.75,0.13,7.35,Matches
1938,Gaëtan Paquiez\Gaetan-Paquiez,fr FRA,DF,Nîmes,fr Ligue 1,27-078,1994,10.8,32.7,41.4,79.0,576.3,250.6,14.4,16.2,88.6,15.0,18.3,81.8,2.69,4.91,54.7,0.00,0.02,-0.02,0.56,2.31,0.46,0.19,4.26,Matches
1939,Rubén Pardo\Ruben-Pardo,es ESP,MFFW,Bordeaux,fr Ligue 1,28-194,1992,0.3,30.0,43.3,69.2,433.3,116.7,20.0,23.3,85.7,6.67,13.3,50.0,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1940,Leandro Paredes\Leandro-Paredes,ar ARG,MF,Paris S-G,fr Ligue 1,26-309,1994,14.3,92.2,102.0,90.3,1782.7,525.0,36.7,39.0,94.3,42.9,46.2,93.0,11.5,14.9,77.0,0.14,0.09,0.05,0.77,11.2,0.84,0.07,9.16,Matches
1941,Daniel Parejo\Daniel-Parejo,es ESP,MF,Villarreal,es La Liga,32-018,1989,31.0,71.6,80.8,88.6,1430.2,441.3,29.4,31.8,92.4,29.5,31.5,93.7,12.0,15.7,76.2,0.13,0.16,-0.03,1.29,8.32,1.52,0.19,7.81,Matches
1942,Vittorio Parigini\Vittorio-Parigini,it ITA,FWDF,Genoa,it Serie A,25-040,1996,0.6,25.0,43.3,57.7,430.0,63.3,8.33,11.7,71.4,11.7,18.3,63.6,3.33,8.33,40.0,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,Matches
1943,Marco Parolo\Marco-Parolo,it ITA,DFMF,Lazio,it Serie A,36-099,1985,5.3,37.7,46.8,80.6,786.8,248.9,13.4,15.5,86.6,16.4,19.2,85.3,7.74,10.9,70.7,0.38,0.13,0.25,0.57,2.83,0.57,0.00,3.58,Matches
1944,Thomas Partey\Thomas-Partey,gh GHA,MF,Arsenal,eng Premier League,27-325,1993,14.0,56.9,65.9,86.3,1109.1,304.1,22.1,24.6,89.8,25.3,28.1,90.1,8.50,11.6,73.5,0.14,0.07,0.07,0.86,7.43,0.71,0.00,6.71,Matches
1945,Thomas Partey\Thomas-Partey,gh GHA,MF,Atlético Madrid,es La Liga,27-325,1993,2.2,89.1,100.0,89.1,1915.9,508.2,30.0,32.7,91.7,42.3,46.8,90.3,15.5,18.6,82.9,0.00,0.00,0.00,0.00,11.8,1.82,0.00,15.5,Matches
1946,Mario Pašalić\Mario-Pasalic,hr CRO,MF,Atalanta,it Serie A,26-084,1995,11.3,46.9,53.9,87.0,886.6,191.1,19.5,22.2,87.6,20.5,22.6,91.0,6.46,7.79,83.0,0.09,0.19,-0.10,1.33,4.16,2.04,0.09,5.13,Matches
1947,Felix Passlack\Felix-Passlack,de GER,DF,Dortmund,de Bundesliga,22-340,1998,3.8,65.5,77.6,84.4,1120.8,256.3,32.6,33.9,96.1,26.8,30.0,89.5,5.79,9.74,59.5,0.00,0.05,-0.05,0.79,3.16,1.32,0.53,3.68,Matches
1948,Christian Pastina\Christian-Pastina,it ITA,DF,Benevento,it Serie A,20-078,2001,0.8,35.0,45.0,77.8,686.3,186.3,17.5,20.0,87.5,11.3,13.8,81.8,5.00,8.75,57.1,1.25,0.50,0.75,1.25,1.25,1.25,1.25,1.25,Matches
1949,Javier Pastore\Javier-Pastore,ar ARG,FWMF,Roma,it Serie A,31-318,1989,0.4,52.5,57.5,91.3,1132.5,572.5,15.0,17.5,85.7,27.5,30.0,91.7,10.0,10.0,100.0,0.00,0.25,-0.25,5.00,12.5,10.0,0.00,22.5,Matches
1950,Patric\Patric,es ESP,DF,Lazio,it Serie A,28-017,1993,16.6,58.2,66.8,87.1,1316.0,353.5,14.3,16.0,89.8,30.6,32.8,93.4,12.9,17.2,75.1,0.06,0.07,-0.01,0.66,5.18,1.14,0.30,3.31,Matches
1951,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,33-078,1988,34.0,14.6,22.0,66.3,495.2,318.7,2.65,2.68,98.9,4.26,4.38,97.3,7.50,14.7,50.9,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,Matches
1952,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Valencia,es La Liga,30-159,1990,26.2,44.1,50.0,88.1,1031.3,353.8,9.43,10.2,92.5,24.7,26.2,94.3,9.35,12.6,74.0,0.04,0.00,0.03,0.15,3.02,0.15,0.00,3.28,Matches
1953,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,de Bundesliga,25-037,1996,19.6,66.3,77.9,85.1,1198.2,425.3,28.8,32.0,90.0,29.5,33.0,89.5,7.14,10.9,65.7,0.00,0.08,-0.08,0.61,6.84,1.28,0.46,7.65,Matches
1954,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,29-020,1992,31.0,24.5,33.8,72.6,775.2,468.4,4.00,4.03,99.2,10.4,10.5,98.2,10.0,19.1,52.6,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,Matches
1955,Mateo Pavlović\Mateo-Pavlovic,ba BIH,DF,Angers,fr Ligue 1,30-329,1990,9.3,35.7,40.1,89.0,732.5,245.7,12.2,12.6,96.6,17.4,18.8,92.6,5.91,8.17,72.4,0.00,0.00,0.00,0.00,1.08,0.11,0.00,1.51,Matches
1956,Strahinja Pavlović\Strahinja-Pavlovic,rs SRB,DF,Monaco,fr Ligue 1,19-345,2001,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1957,Leonardo Pavoletti\Leonardo-Pavoletti,it ITA,FW,Cagliari,it Serie A,32-159,1988,14.8,18.2,25.3,71.9,248.2,30.7,10.9,14.7,74.7,4.32,5.88,73.6,1.28,2.03,63.3,0.20,0.03,0.18,0.41,0.88,0.34,0.00,0.81,Matches
1958,Dimitri Payet\Dimitri-Payet,fr FRA,FWMF,Marseille,fr Ligue 1,34-036,1987,23.9,39.5,54.6,72.2,725.5,219.1,18.3,21.3,86.1,15.0,19.3,77.7,5.27,11.4,46.3,0.38,0.29,0.09,2.34,3.64,1.46,0.33,4.81,Matches
1959,Nehuén Paz\Nehuen-Paz,ar ARG,DF,Bologna,it Serie A,28-006,1993,4.0,51.0,59.5,85.7,1103.0,366.0,13.0,15.5,83.9,29.0,32.3,89.9,8.25,10.3,80.5,0.00,0.00,0.00,0.25,3.75,0.00,0.00,3.75,Matches
1960,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,24-187,1996,3.0,13.3,27.3,48.8,748.3,619.3,0.00,0.00,,2.33,2.67,87.5,11.0,24.3,45.2,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,Matches
1961,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,de Bundesliga,24-245,1996,9.3,30.8,43.3,71.0,570.0,235.3,14.8,16.0,92.6,11.2,15.6,71.7,4.30,9.25,46.5,0.00,0.09,-0.09,1.29,1.29,0.54,0.11,1.83,Matches
1962,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,es La Liga,25-025,1996,21.3,41.7,52.7,79.2,693.5,202.9,20.8,23.8,87.6,17.7,21.1,84.2,2.58,4.98,51.9,0.09,0.21,-0.12,1.17,1.22,1.55,0.89,2.91,Matches
1963,Pedri\Pedri,es ESP,MF,Barcelona,es La Liga,18-160,2002,24.7,57.8,65.8,87.8,988.1,171.6,27.9,30.6,91.4,22.2,24.5,90.4,5.79,7.29,79.4,0.12,0.19,-0.07,1.58,4.57,1.58,0.04,4.94,Matches
1964,Pedro\Pedro,es ESP,FWMF,Roma,it Serie A,33-280,1987,15.5,29.2,37.2,78.5,518.1,129.8,13.7,16.7,81.9,11.7,13.8,84.6,3.23,5.16,62.5,0.13,0.15,-0.03,1.48,2.19,1.74,0.26,3.68,Matches
1965,João Pedro\Joao-Pedro,br BRA,FWMF,Cagliari,it Serie A,29-056,1992,32.1,19.5,27.0,72.2,338.2,76.1,9.56,12.0,79.7,6.57,9.03,72.8,2.49,3.80,65.6,0.09,0.16,-0.06,1.00,1.40,0.75,0.06,2.24,Matches
1966,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,40-040,1981,1.0,20.0,21.0,95.2,301.0,145.0,10.0,10.0,100.0,7.00,7.00,100.0,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1967,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,de Bundesliga,34-186,1986,15.8,42.2,51.8,81.5,799.1,275.1,17.2,19.0,90.7,19.5,22.8,85.3,5.25,9.05,58.0,0.06,0.06,0.01,0.51,2.53,0.95,0.57,3.61,Matches
1968,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,38-181,1982,1.0,23.0,25.0,92.0,425.0,235.0,5.00,5.00,100.0,16.0,17.0,94.1,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1969,Graziano Pellè\Graziano-Pelle,it ITA,FWMF,Parma,it Serie A,35-293,1985,5.2,21.9,28.3,77.6,308.1,42.3,14.2,16.7,85.1,5.38,7.12,75.7,1.54,1.73,88.9,0.19,0.17,0.02,1.54,1.15,0.38,0.00,0.96,Matches
1970,Pietro Pellegri\Pietro-Pellegri,it ITA,FWMF,Monaco,fr Ligue 1,20-048,2001,2.5,9.60,16.8,57.1,119.6,14.0,5.60,7.60,73.7,2.80,5.20,53.8,0.00,0.00,,0.00,0.12,-0.12,0.80,0.40,0.40,0.00,0.80,Matches
1971,Lorenzo Pellegrini\Lorenzo-Pellegrini,it ITA,MFFW,Roma,it Serie A,24-319,1996,26.1,40.2,52.5,76.5,782.3,211.9,16.7,19.5,85.8,16.3,19.5,83.5,6.28,11.2,56.2,0.23,0.28,-0.05,2.15,3.95,1.38,0.19,4.37,Matches
1972,Luca Pellegrini\Luca-Pellegrini,it ITA,DFMF,Genoa,it Serie A,22-058,1999,7.1,32.5,46.6,69.8,556.9,198.6,15.8,18.7,84.2,13.4,17.3,77.2,2.68,7.89,33.9,0.14,0.17,-0.03,0.99,0.99,1.27,0.42,2.68,Matches
1973,Facundo Pellistri\Facundo-Pellistri,uy URU,MF,Alavés,es La Liga,19-135,2001,4.7,13.2,19.6,67.4,192.8,46.6,8.30,11.3,73.6,3.62,5.53,65.4,0.85,1.06,80.0,0.00,0.02,-0.02,0.43,1.06,0.64,0.00,1.06,Matches
1974,Andy Pelmard\Andy-Pelmard,fr FRA,DF,Nice,fr Ligue 1,21-053,2000,13.3,61.7,67.7,91.1,1138.0,271.7,24.7,25.9,95.4,31.3,32.9,95.0,5.04,7.22,69.8,0.00,0.00,0.00,0.08,3.83,0.15,0.00,2.71,Matches
1975,Lee Peltier\Lee-Peltier,eng ENG,DF,West Brom,eng Premier League,34-144,1986,2.5,19.2,30.4,63.2,358.0,103.2,8.40,9.20,91.3,8.80,11.2,78.6,2.00,8.40,23.8,0.00,0.00,0.00,0.40,1.60,0.80,0.40,0.80,Matches
1976,Federico Peluso\Federico-Peluso,it ITA,DF,Sassuolo,it Serie A,37-104,1984,2.3,67.0,72.2,92.8,1305.2,452.6,17.8,18.3,97.6,40.4,42.6,94.9,6.09,8.70,70.0,0.00,0.00,0.00,0.00,4.35,0.43,0.00,3.91,Matches
1977,Timothee Pembele\Timothee-Pembele,fr FRA,DF,Paris S-G,fr Ligue 1,18-237,2002,4.2,55.2,61.0,90.6,864.8,211.0,29.3,31.7,92.5,21.7,22.6,95.8,3.33,4.52,73.7,0.00,0.05,-0.05,0.48,3.10,0.48,0.24,1.90,Matches
1978,Rubén Peña\Ruben-Pena,es ESP,DF,Villarreal,es La Liga,29-290,1991,10.1,37.6,49.2,76.5,651.3,226.5,17.4,20.2,86.3,16.2,20.2,80.4,3.17,6.73,47.1,0.00,0.02,-0.02,0.50,1.98,0.99,0.59,2.48,Matches
1979,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,36-003,1985,1.0,23.0,29.0,79.3,589.0,361.0,5.00,5.00,100.0,11.0,12.0,91.7,7.00,12.0,58.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1980,Pepe\Pepe,es ESP,DF,Granada,es La Liga,21-063,2000,1.8,19.4,30.6,63.6,361.7,150.6,7.22,7.78,92.9,9.44,15.0,63.0,2.22,6.67,33.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,Matches
1981,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,eng Premier League,25-340,1995,15.0,26.5,35.9,73.7,389.1,83.8,15.2,18.4,82.6,8.80,11.2,78.6,1.73,3.53,49.1,0.07,0.06,0.01,0.73,1.07,0.87,0.07,2.20,Matches
1982,Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,es La Liga,30-136,1990,15.6,22.9,31.1,73.8,395.1,134.9,12.0,14.0,85.4,7.12,8.91,79.9,2.95,5.90,50.0,0.13,0.13,0.00,0.77,2.37,0.64,0.19,3.59,Matches
1983,Mathias Pereira Lage\Mathias-Pereira-Lage,pt POR,FWMF,Angers,fr Ligue 1,24-155,1996,14.9,21.7,29.3,74.3,340.9,107.4,11.8,13.6,87.1,8.12,11.7,69.5,1.28,2.35,54.3,0.00,0.03,-0.03,0.54,1.48,0.60,0.20,2.68,Matches
1984,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Lazio,it Serie A,25-123,1996,5.2,33.5,48.3,69.3,687.3,229.0,13.3,16.5,80.2,13.7,18.5,74.0,6.35,11.0,57.9,0.38,0.37,0.02,2.31,5.77,1.73,0.19,5.38,Matches
1985,Danilo Pereira\Danilo-Pereira,pt POR,MFDF,Paris S-G,fr Ligue 1,29-237,1991,13.0,70.4,76.1,92.5,1316.2,338.8,27.7,29.0,95.5,33.5,35.4,94.6,8.08,9.92,81.4,0.08,0.02,0.05,0.23,4.92,0.23,0.08,3.69,Matches
1986,Matheus Pereira\Matheus-Pereira,br BRA,MFFW,West Brom,eng Premier League,24-364,1996,25.6,26.6,37.1,71.8,457.6,155.5,14.3,16.6,85.7,8.01,10.5,75.9,3.48,7.73,44.9,0.20,0.18,0.01,1.95,2.30,1.60,0.31,3.36,Matches
1987,Pedro Pereira\Pedro-Pereira,pt POR,DF,Crotone,it Serie A,23-102,1998,26.0,24.7,32.7,75.5,430.3,150.6,11.4,13.4,85.1,10.1,12.9,78.2,2.58,4.50,57.3,0.12,0.09,0.02,0.65,1.08,0.96,0.42,2.27,Matches
1988,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,eng Premier League,27-210,1993,9.3,36.1,47.0,76.9,584.5,198.4,18.3,21.3,85.9,14.6,18.5,79.1,2.37,4.41,53.7,0.11,0.03,0.08,0.75,1.51,1.08,0.00,3.98,Matches
1989,Gastón Pereiro\Gaston-Pereiro,uy URU,MFFW,Cagliari,it Serie A,25-327,1995,2.8,35.4,46.1,76.7,656.4,185.7,16.1,18.6,86.5,13.9,17.9,78.0,4.64,7.86,59.1,0.71,0.25,0.46,2.14,2.50,2.50,0.36,6.43,Matches
1990,Bruno Peres\Bruno-Peres,br BRA,DF,Roma,it Serie A,31-064,1990,15.3,39.0,47.3,82.5,704.4,179.5,17.6,19.3,91.2,16.7,19.6,85.3,4.38,6.73,65.0,0.13,0.26,-0.13,1.70,1.63,1.11,0.39,2.48,Matches
1991,Roberto Pereyra\Roberto-Pereyra,ar ARG,MFFW,Udinese,it Serie A,30-117,1991,28.5,32.6,38.7,84.3,530.6,130.4,16.6,18.5,90.1,11.9,13.5,88.3,2.88,3.96,72.6,0.25,0.09,0.15,1.26,2.77,1.19,0.07,3.51,Matches
1992,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Leicester City,eng Premier League,27-285,1993,12.6,26.0,34.0,76.5,371.8,98.7,16.7,19.6,85.4,7.14,9.52,75.0,1.43,2.86,50.0,0.00,0.10,-0.10,1.59,1.75,1.83,0.40,3.41,Matches
1993,Carles Pérez\Carles-Perez,es ESP,FWMF,Roma,it Serie A,23-077,1998,8.6,27.1,35.0,77.4,451.7,68.0,13.1,15.9,82.5,11.4,13.7,83.1,1.86,3.60,51.6,0.12,0.15,-0.03,1.63,1.40,0.47,0.00,1.51,Matches
1994,Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,es La Liga,33-106,1988,14.1,31.3,44.6,70.3,584.8,262.1,14.0,17.2,81.8,12.9,17.2,75.2,3.83,8.09,47.4,0.00,0.04,-0.04,0.71,3.62,0.43,0.21,3.83,Matches
1995,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24-293,1996,1.0,8.00,27.0,29.6,375.0,251.0,0.00,0.00,,2.00,2.00,100.0,6.00,25.0,24.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1996,Kike Pérez\Kike-Perez,es ESP,MF,Valladolid,es La Liga,24-079,1997,11.5,32.7,40.6,80.5,590.1,143.5,16.6,19.1,86.8,11.0,13.0,85.2,4.26,6.26,68.1,0.00,0.08,-0.08,1.04,3.13,0.78,0.09,3.48,Matches
1997,Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,es La Liga,32-236,1988,18.0,20.6,33.6,61.4,445.0,164.7,7.83,10.3,75.8,7.67,10.3,74.2,4.72,11.0,42.9,0.17,0.20,-0.03,2.44,2.22,1.00,0.39,2.83,Matches
1998,Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,es La Liga,26-089,1995,14.1,29.9,43.1,69.2,521.3,241.4,14.3,16.5,86.7,12.1,17.2,70.2,2.91,7.30,39.8,0.00,0.03,-0.03,0.50,1.91,0.43,0.43,2.62,Matches
1999,Manuel Perez\Manuel-Perez,fr FRA,MF,Lens,fr Ligue 1,29-358,1991,1.4,28.6,32.9,87.0,550.7,112.9,12.9,14.3,90.0,11.4,12.1,94.1,4.29,5.71,75.0,0.00,0.00,0.00,0.00,3.57,0.00,0.00,2.86,Matches
2000,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,es La Liga,20-314,2000,7.5,16.9,21.9,77.4,408.7,112.3,3.87,4.67,82.9,8.53,9.47,90.1,4.53,7.73,58.6,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.67,Matches
2001,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,28-175,1992,30.0,24.1,36.7,65.6,747.4,452.1,5.10,5.13,99.4,8.57,8.77,97.7,10.1,22.4,44.9,0.00,0.00,0.00,0.03,0.53,0.00,0.00,0.03,Matches
2002,Ivan Perišić\Ivan-Perisic,hr CRO,DFFW,Inter,it Serie A,32-091,1989,18.4,29.5,40.9,72.0,542.6,155.8,13.9,16.5,84.5,11.8,15.5,76.1,3.64,7.07,51.5,0.16,0.22,-0.06,1.58,1.41,1.58,0.82,2.66,Matches
2003,Romain Perraud\Romain-Perraud,fr FRA,DF,Brest,fr Ligue 1,23-224,1997,31.9,46.0,58.1,79.2,830.3,309.8,20.7,23.2,89.3,19.7,23.0,85.8,4.83,9.28,52.0,0.19,0.09,0.10,1.03,2.51,1.19,0.85,3.92,Matches
2004,Lucas Perrin\Lucas-Perrin,fr FRA,DF,Marseille,fr Ligue 1,22-166,1998,3.4,45.3,48.8,92.8,925.0,307.9,16.5,17.1,96.6,22.9,24.4,94.0,5.88,7.06,83.3,0.00,0.00,0.00,0.29,2.94,0.29,0.00,3.82,Matches
2005,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33-172,1987,1.0,18.0,32.0,56.3,721.0,539.0,2.00,2.00,100.0,8.00,8.00,100.0,8.00,21.0,38.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2006,Matteo Pessina\Matteo-Pessina,it ITA,MF,Atalanta,it Serie A,24-013,1997,16.1,41.8,50.4,82.9,725.8,184.3,18.3,21.2,86.0,19.0,21.4,88.7,3.79,5.53,68.5,0.12,0.14,-0.02,1.37,4.04,1.68,0.00,5.40,Matches
2007,Andrea Petagna\Andrea-Petagna,it ITA,FW,Napoli,it Serie A,25-308,1995,10.4,17.9,22.1,80.9,270.1,36.2,10.6,12.5,84.6,5.19,6.35,81.8,1.44,1.73,83.3,0.29,0.19,0.10,2.12,0.67,0.48,0.00,0.87,Matches
2008,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,de Bundesliga,32-149,1988,12.1,11.5,17.1,67.1,158.4,28.7,7.36,9.75,75.4,2.56,3.97,64.6,0.74,1.16,64.3,0.00,0.11,-0.11,0.58,0.91,0.33,0.00,1.07,Matches
2009,Jacopo Petriccione\Jacopo-Petriccione,it ITA,MF,Crotone,it Serie A,26-071,1995,10.2,38.3,46.1,83.2,758.4,217.9,12.7,14.8,86.1,19.4,21.6,90.0,5.49,8.24,66.7,0.00,0.03,-0.03,0.78,3.63,0.59,0.10,4.22,Matches
2010,Jens Petter Hauge\Jens-Petter-Hauge,no NOR,FWMF,Milan,it Serie A,21-204,1999,5.9,27.5,33.7,81.4,419.3,106.6,16.1,18.0,89.6,9.66,11.5,83.8,1.36,2.20,61.5,0.00,0.31,-0.31,1.86,1.19,1.36,0.00,3.90,Matches
2011,Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,29-311,1991,27.5,33.5,38.5,87.1,746.5,191.8,6.84,7.64,89.5,20.8,22.5,92.4,5.82,8.07,72.1,0.00,0.01,-0.01,0.07,1.67,0.07,0.00,1.13,Matches
2012,Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Parma,it Serie A,23-156,1997,20.3,37.8,48.3,78.4,739.3,226.5,15.1,16.9,89.2,16.9,20.0,84.3,5.37,9.11,58.9,0.20,0.14,0.06,0.94,2.76,1.28,0.59,3.65,Matches
2013,Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,de Bundesliga,27-064,1994,9.6,22.6,32.0,70.7,328.4,57.7,13.8,18.2,75.4,6.67,9.06,73.6,1.15,2.19,52.4,0.21,0.10,0.10,1.04,1.15,0.73,0.10,1.25,Matches
2014,Rayan Philippe\Rayan-Philippe,fr FRA,FW,Dijon,fr Ligue 1,20-193,2000,1.0,8.00,15.0,53.3,115.0,12.0,5.00,7.00,71.4,2.00,5.00,40.0,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2015,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,FW,Nîmes,fr Ligue 1,33-063,1988,2.4,20.8,32.9,63.3,387.1,133.3,11.7,16.3,71.8,5.42,7.50,72.2,3.33,6.67,50.0,0.42,0.21,0.21,2.08,1.25,1.25,0.83,3.33,Matches
2016,Romain Philippoteaux\Romain-Philippoteaux,fr FRA,MFFW,Brest,fr Ligue 1,33-063,1988,6.5,21.5,29.7,72.5,356.6,98.8,10.8,12.9,83.3,8.46,10.5,80.9,1.54,3.08,50.0,0.00,0.05,-0.05,0.62,1.23,0.62,0.31,1.54,Matches
2017,Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,eng Premier League,25-153,1995,24.5,45.6,55.1,82.7,1067.3,271.1,13.0,14.4,90.3,20.1,22.3,90.1,11.9,16.9,70.4,0.08,0.15,-0.07,1.27,5.18,0.57,0.12,3.84,Matches
