,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
1444,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,39.4,1.03,3.10,16.5,21.2,4.58,39.1,0.52,1.16,44.4,0.58,0.00,19.0,67.5,29.9,1.61,0.65,0.58,4.00,1.74,57.1,29.4,51.5,13.0,Matches
1445,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,42.8,1.41,10.5,26.1,7.50,0.78,42.2,0.78,1.09,71.4,0.78,0.00,26.4,77.8,27.7,1.41,0.16,0.31,0.63,1.25,32.2,30.0,93.2,0.78,Matches
1446,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,55.6,2.55,14.6,31.8,11.1,0.59,52.7,0.59,0.92,64.3,0.65,0.07,31.3,133.7,51.2,1.63,0.33,0.07,1.18,1.24,36.5,32.5,89.1,1.11,Matches
1447,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,62.1,0.29,7.06,28.5,34.7,5.59,58.5,2.06,4.71,43.8,2.06,0.00,48.8,309.7,186.8,10.6,4.41,0.59,3.82,2.06,52.4,43.2,82.6,10.0,Matches
1448,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,33.3,30.0,33.0,0.46,0.00,0.00,24.5,0.00,0.00,,0.00,0.00,15.8,65.8,35.4,0.04,0.00,0.00,0.00,0.00,14.8,14.8,99.7,0.00,Matches
1449,Rony Lopes\Rony-Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,43.3,0.00,4.67,28.0,14.0,0.00,40.0,1.33,2.00,66.7,1.33,0.00,34.0,136.7,53.3,4.00,0.67,0.00,2.00,2.00,39.3,28.7,72.9,3.33,Matches
1450,Rony Lopes\Rony-Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,37.8,0.00,4.44,17.8,17.8,3.33,36.7,1.11,1.11,100.0,1.11,0.00,33.3,187.8,51.1,3.33,0.00,1.11,1.11,1.11,48.9,31.1,63.6,7.78,Matches
1451,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,31,1988,16.0,41.1,0.75,2.75,21.5,20.4,4.56,40.0,0.94,1.88,50.0,0.94,0.06,27.1,180.6,111.8,6.44,2.88,1.25,2.44,1.63,50.3,32.8,65.1,9.56,Matches
1452,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,27.3,59.5,5.05,23.0,34.8,5.13,0.77,58.0,0.29,0.33,88.9,0.29,0.00,37.1,189.0,102.3,2.67,0.62,0.00,0.33,0.66,39.5,37.1,94.1,1.06,Matches
1453,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,34.3,29.6,34.1,0.25,0.00,0.00,22.2,0.08,0.11,75.0,0.11,0.00,14.1,91.1,60.9,0.00,0.00,0.00,0.00,0.00,10.9,10.9,99.7,0.00,Matches
1454,Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,2002,1.0,45.0,6.00,17.0,14.0,15.0,0.00,37.0,0.00,0.00,,0.00,0.00,19.0,94.0,47.0,1.00,0.00,0.00,0.00,1.00,19.0,17.0,89.5,3.00,Matches
1455,Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,57.7,3.51,18.7,28.4,13.9,0.39,48.2,0.91,1.36,66.7,0.97,0.13,31.2,159.0,84.9,2.99,1.30,0.00,0.65,0.58,29.0,26.8,92.6,1.43,Matches
1456,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,81.5,8.18,39.4,44.2,4.55,0.61,78.2,0.00,0.61,0.0,0.30,0.00,60.3,320.0,189.7,3.33,1.82,0.00,0.30,0.00,66.4,64.8,97.7,0.91,Matches
1457,Maxime Lopez\Maxime-Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,21,1997,12.3,79.8,0.73,12.8,49.0,23.9,2.03,77.5,1.22,2.36,51.7,1.46,0.16,63.5,358.9,206.7,9.51,2.93,0.65,1.06,1.06,76.9,66.8,86.9,4.39,Matches
1458,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32.0,34.8,30.6,34.7,0.16,0.00,0.00,26.0,0.00,0.00,,0.00,0.00,18.8,76.6,39.1,0.00,0.00,0.00,0.03,0.00,16.4,16.3,99.4,0.00,Matches
1459,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.6,91.7,5.00,13.3,50.0,38.3,0.00,90.0,5.00,5.00,100.0,5.00,0.00,75.0,283.3,61.7,1.67,5.00,0.00,0.00,6.67,78.3,66.7,85.1,11.7,Matches
1460,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,69.0,1.26,11.2,44.8,17.1,0.70,62.3,0.95,1.16,82.6,1.01,0.00,46.9,232.8,93.9,4.37,1.21,0.05,0.65,1.26,50.1,46.2,92.2,1.66,Matches
1461,Losada\Losada,es ESP,MFFW,Celta Vigo,es La Liga,17,2001,0.1,120.0,0.00,10.0,50.0,60.0,10.0,120.0,0.00,0.00,,0.00,0.00,80.0,370.0,210.0,30.0,0.00,10.0,20.0,0.00,110.0,80.0,72.7,40.0,Matches
1462,Albert Lottin\Albert-Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,56.0,10.0,32.0,28.0,0.00,0.00,56.0,4.00,6.00,66.7,4.00,0.00,40.0,124.0,98.0,2.00,0.00,0.00,2.00,0.00,32.0,32.0,100.0,2.00,Matches
1463,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,22.3,63.4,0.63,9.51,37.0,21.1,1.57,57.8,1.17,2.33,50.0,1.35,0.13,41.0,208.2,112.2,5.25,1.48,0.22,1.61,1.52,53.6,43.2,80.7,5.29,Matches
1464,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,20.0,0.00,20.0,10.0,0.00,0.00,20.0,0.00,0.00,,0.00,0.00,10.0,200.0,180.0,0.00,0.00,0.00,0.00,0.00,10.0,10.0,100.0,0.00,Matches
1465,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,84.9,8.72,41.2,47.3,2.56,1.51,83.1,0.12,0.12,100.0,0.12,0.00,50.7,283.5,163.0,5.00,0.58,0.00,0.23,0.12,56.9,56.5,99.4,1.16,Matches
1466,Eduard Löwen\Eduard-Lowen,de GER,MFFW,Augsburg,de Bundesliga,22,1997,7.5,48.7,1.73,9.07,27.6,15.2,1.20,43.9,1.20,2.53,47.4,1.33,0.00,31.1,125.3,68.4,4.13,1.73,0.27,2.53,3.07,39.5,30.4,77.0,5.20,Matches
1467,Eduard Löwen\Eduard-Lowen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,54.3,2.29,12.0,34.6,11.1,0.29,52.3,3.14,3.71,84.6,3.43,0.00,39.4,179.1,83.7,3.43,1.14,0.00,1.71,1.43,38.3,33.1,86.6,3.14,Matches
1468,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,54.6,4.71,15.9,27.9,13.8,0.47,45.2,0.65,1.06,61.1,0.65,0.00,25.3,112.8,65.8,2.59,1.00,0.06,0.65,0.29,27.7,25.6,92.6,1.59,Matches
1469,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.4,46.9,0.18,4.21,16.8,30.4,7.11,46.0,2.11,3.86,54.5,2.54,0.00,39.0,241.2,152.2,9.04,2.37,2.02,2.72,2.19,50.1,36.6,73.0,13.2,Matches
1470,Pol Lozano\Pol-Lozano,es ESP,MFFW,Espanyol,es La Liga,19,1999,1.9,55.3,1.05,16.3,35.8,5.79,0.53,54.2,0.53,0.53,100.0,0.53,0.00,37.9,208.4,67.9,3.16,1.58,0.00,0.53,0.53,38.4,34.7,90.4,0.00,Matches
1471,Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,60.0,7.00,34.0,28.0,1.00,1.00,49.0,0.00,0.00,,0.00,0.00,32.0,173.0,96.0,1.00,0.00,0.00,0.00,0.00,34.0,32.0,94.1,0.00,Matches
1472,Lucas\Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,51.4,7.14,22.9,27.1,4.29,1.43,48.6,2.86,5.71,50.0,2.86,0.00,32.9,138.6,81.4,2.86,0.00,0.00,0.00,2.86,34.3,30.0,87.5,1.43,Matches
1473,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,85.5,1.36,20.0,53.2,18.2,3.18,84.5,2.73,4.09,66.7,2.73,0.00,70.5,253.6,87.3,4.55,1.36,0.00,1.82,3.64,67.7,62.7,92.6,3.18,Matches
1474,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,34.8,55.5,14.0,35.5,22.4,1.26,0.40,52.9,0.20,0.32,63.6,0.23,0.03,33.0,189.4,102.2,1.49,0.20,0.00,0.11,0.14,35.3,34.8,98.5,0.26,Matches
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,1995,22.1,56.8,3.67,19.1,26.1,16.4,1.95,48.1,1.40,2.31,60.8,1.45,0.00,35.1,235.3,146.1,6.06,1.67,0.18,0.63,0.77,37.7,34.1,90.4,3.17,Matches
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,28.0,35.7,0.54,4.39,15.4,19.4,5.00,34.6,1.82,3.71,49.0,2.07,0.18,27.9,147.3,91.5,4.96,1.61,1.43,2.54,1.89,40.1,26.9,67.1,8.68,Matches
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.6,60.4,6.85,29.3,31.1,2.75,0.80,57.4,0.14,0.22,66.7,0.14,0.00,34.3,187.1,73.6,1.70,0.25,0.04,0.43,0.29,33.1,32.6,98.5,0.62,Matches
1478,José Luis Rodríguez\Jose-Luis-Rodriguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,40.0,5.00,5.00,25.0,10.0,5.00,40.0,5.00,5.00,100.0,5.00,0.00,50.0,55.0,30.0,5.00,0.00,5.00,5.00,0.00,45.0,30.0,66.7,5.00,Matches
1479,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,65.7,12.6,37.9,31.1,1.73,0.61,62.4,0.13,0.29,44.4,0.13,0.00,42.7,298.7,180.8,3.37,0.22,0.03,0.22,0.19,46.6,45.7,98.1,0.45,Matches
1480,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,52.4,3.79,15.1,31.4,10.3,1.24,50.3,1.03,1.41,73.2,1.17,0.07,32.5,200.8,106.8,3.76,1.28,0.07,0.83,0.97,35.8,31.9,89.2,2.21,Matches
1481,Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,4.4,45.7,1.36,10.2,16.4,22.0,0.91,40.0,1.36,2.50,54.5,1.36,0.45,30.0,166.4,117.7,7.50,2.27,0.45,0.45,0.68,32.5,28.4,87.4,1.82,Matches
1482,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,33.1,35.6,0.91,1.72,15.8,19.8,6.89,34.2,0.73,1.21,60.0,0.79,0.03,23.7,90.8,49.0,2.57,0.73,0.97,2.18,2.08,48.1,28.2,58.5,13.0,Matches
1483,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,21,1997,22.6,41.2,0.62,6.15,18.8,19.6,3.10,38.9,2.39,3.63,65.9,2.57,0.13,31.1,167.9,94.2,4.82,1.19,0.75,2.65,2.39,42.3,28.4,67.2,8.27,Matches
1484,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,20.7,49.8,1.98,10.3,29.6,13.8,1.50,47.8,0.92,1.64,55.9,1.06,0.05,33.9,216.7,123.9,5.65,1.93,0.39,1.06,0.77,38.7,32.9,85.0,2.61,Matches
1485,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,59.1,2.57,16.5,23.4,23.4,2.23,53.5,2.11,3.26,64.9,2.34,0.11,41.4,240.1,135.2,5.77,1.83,0.51,0.69,1.20,42.0,37.9,90.2,3.83,Matches
1486,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,54.5,2.09,9.45,25.9,22.5,2.34,53.7,0.62,1.25,50.0,0.73,0.15,35.6,176.9,62.7,2.38,1.06,0.15,1.32,0.77,46.7,38.8,83.1,4.07,Matches
1487,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,72.4,8.47,31.5,45.4,3.05,0.00,69.5,0.00,0.00,,0.00,0.00,50.5,373.4,239.5,6.61,0.85,0.00,0.00,0.51,53.9,53.1,98.4,0.00,Matches
1488,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MFFW,Nice,fr Ligue 1,22,1997,10.9,51.3,0.92,9.36,28.2,17.5,1.28,48.3,1.93,2.84,67.7,1.93,0.00,40.0,146.6,63.2,3.39,1.47,0.00,2.02,1.93,44.7,37.3,83.6,6.33,Matches
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,44.5,41.3,44.5,0.00,0.00,0.00,32.9,0.00,0.00,,0.00,0.00,24.6,110.0,53.6,0.00,0.00,0.00,0.00,0.00,20.4,20.4,100.0,0.00,Matches
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,1997,13.1,61.8,8.47,35.6,28.8,2.37,0.23,59.9,0.76,1.22,62.5,0.84,0.00,38.4,230.4,115.5,2.75,0.53,0.08,0.31,0.23,38.8,38.4,99.0,0.15,Matches
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,14.9,54.4,6.44,20.3,23.8,13.6,0.74,46.0,0.74,1.34,55.0,0.81,0.00,28.7,143.4,81.5,2.95,1.41,0.07,0.54,0.54,32.5,28.9,89.0,1.34,Matches
1492,Yann M'Vila\Yann-MVila,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,29,1990,21.6,63.1,3.61,21.9,40.6,4.03,0.23,61.9,0.28,0.37,75.0,0.28,0.00,38.9,184.0,81.4,1.71,0.37,0.05,0.37,0.37,44.2,42.2,95.4,0.74,Matches
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,20,1998,3.9,46.9,0.51,6.41,18.5,23.8,1.54,39.0,0.77,1.54,50.0,1.03,0.00,22.8,88.2,44.4,1.79,0.26,0.26,1.79,2.31,30.8,24.1,78.3,3.85,Matches
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,23.7,37.8,0.93,5.32,14.1,22.3,3.46,34.6,2.15,3.67,58.6,2.19,0.21,26.9,183.7,127.7,7.38,2.07,1.35,2.15,1.52,34.4,23.6,68.7,6.67,Matches
1495,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,76.4,0.91,22.7,37.3,22.7,0.00,59.1,0.91,0.91,100.0,0.91,0.00,33.6,122.7,72.7,1.82,2.73,0.00,0.00,1.82,38.2,32.7,85.7,2.73,Matches
1496,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,68.8,0.68,7.29,35.7,29.8,2.84,60.9,1.92,2.84,67.5,1.99,0.21,49.8,231.6,101.7,5.79,1.68,0.51,1.58,1.61,56.5,49.3,87.2,5.72,Matches
1497,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,42.6,5.86,25.2,19.5,0.90,0.68,40.6,0.15,0.23,66.7,0.15,0.00,20.6,124.4,60.0,1.05,0.08,0.00,0.23,0.23,22.0,20.9,94.9,0.60,Matches
1498,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,85.0,4.52,20.5,54.6,13.4,0.19,81.2,0.58,0.65,90.0,0.58,0.00,56.2,215.8,96.6,3.29,0.97,0.00,0.32,0.58,63.4,60.8,95.9,1.29,Matches
1499,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1995,1.3,40.0,9.23,25.4,12.3,3.85,3.85,40.0,0.77,0.77,100.0,0.77,0.00,23.1,96.9,56.2,0.77,0.00,0.00,0.00,0.77,24.6,23.8,96.9,3.08,Matches
1500,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,60.6,5.63,25.0,35.0,2.50,1.88,57.5,0.00,0.00,,0.00,0.00,36.3,178.8,94.4,3.75,0.63,0.00,0.63,0.00,38.1,37.5,98.4,1.25,Matches
1501,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,81.2,4.62,24.2,47.3,18.1,1.15,80.8,1.15,1.54,75.0,1.15,0.00,53.5,306.2,178.8,7.69,3.85,0.38,0.77,1.15,53.5,51.9,97.1,1.92,Matches
1502,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,74.4,11.3,37.7,38.6,4.37,1.50,72.5,0.26,0.34,76.9,0.26,0.00,48.2,371.0,219.0,5.82,1.00,0.05,0.18,0.26,51.6,50.4,97.8,1.37,Matches
1503,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,35.9,2.94,10.0,25.3,2.35,0.00,35.9,1.76,2.35,75.0,1.76,0.00,21.8,84.1,28.2,1.18,0.59,0.00,1.76,1.18,21.2,20.6,97.2,2.35,Matches
1504,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,68.3,1.11,5.65,28.0,40.4,6.94,64.9,2.78,4.31,64.5,2.82,0.05,53.4,310.7,171.0,10.1,2.73,1.94,1.53,1.81,63.3,53.4,84.4,9.07,Matches
1505,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,88.0,4.00,12.0,66.0,12.0,0.00,82.0,0.00,0.00,,0.00,0.00,54.0,218.0,86.0,0.00,0.00,0.00,0.00,2.00,58.0,54.0,93.1,0.00,Matches
1506,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,64.6,1.86,14.2,38.3,16.1,0.68,62.4,1.19,1.19,100.0,1.19,0.00,46.4,250.0,126.4,4.92,1.19,0.34,1.36,1.69,50.2,45.9,91.6,3.22,Matches
1507,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,65.4,2.02,16.2,41.7,12.6,1.19,64.6,1.43,1.90,75.0,1.43,0.00,46.5,260.5,123.8,4.64,1.55,0.12,1.31,1.31,47.4,43.3,91.5,3.17,Matches
1508,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,28.7,25.5,28.6,0.07,0.11,0.04,18.9,0.00,0.00,,0.00,0.00,13.1,79.0,47.5,0.00,0.00,0.00,0.00,0.00,10.2,10.1,99.3,0.00,Matches
1509,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,76.6,4.81,29.3,37.0,14.9,1.17,65.1,1.43,2.86,50.0,1.62,0.13,47.2,214.7,118.1,5.19,1.30,0.39,0.84,1.04,49.9,47.5,95.2,1.17,Matches
1510,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,37.3,0.98,3.41,21.3,14.6,3.54,35.5,1.95,2.80,69.6,2.20,0.00,27.8,90.6,39.3,2.44,0.73,0.37,3.05,1.71,46.0,27.2,59.2,10.7,Matches
1511,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,38.3,0.24,5.85,18.5,18.8,2.93,37.8,2.20,4.88,45.0,2.93,0.00,32.2,169.5,126.3,5.12,2.68,0.24,2.68,3.17,41.2,28.3,68.6,8.29,Matches
1512,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,18.5,50.7,2.65,15.0,25.6,13.6,1.24,49.1,0.70,1.30,54.2,0.70,0.05,32.7,187.0,105.4,4.65,1.14,0.38,0.97,1.03,36.9,32.3,87.6,2.43,Matches
1513,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MFFW,Toulouse,fr Ligue 1,21,1998,11.0,51.7,0.91,9.36,31.9,15.5,1.18,51.3,1.55,2.82,54.8,1.82,0.09,43.6,266.8,153.9,6.55,2.18,0.36,1.91,1.91,48.2,41.5,86.2,4.55,Matches
1514,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,30.7,1.40,5.71,18.1,8.04,1.58,28.7,0.25,0.43,57.1,0.31,0.00,12.1,64.4,28.7,1.55,0.50,0.06,0.59,0.31,17.1,12.3,71.7,2.17,Matches
1515,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,1991,20.0,77.3,11.7,39.5,39.1,3.85,1.05,75.0,0.30,0.45,66.7,0.30,0.05,54.0,323.8,187.4,4.95,0.50,0.00,0.10,0.25,58.1,57.5,99.0,0.70,Matches
1516,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,72.5,1.79,20.7,32.9,22.9,1.43,60.0,2.14,3.21,66.7,2.14,0.36,47.5,214.6,114.6,5.36,1.43,0.00,0.71,0.71,50.0,43.9,87.9,2.14,Matches
1517,Daniel Maldini\Daniel-Maldini,it ITA,FW,Milan,it Serie A,17,2001,0.3,70.0,0.00,10.0,30.0,40.0,6.67,70.0,0.00,3.33,0.0,0.00,0.00,43.3,340.0,213.3,13.3,6.67,0.00,6.67,0.00,73.3,56.7,77.3,6.67,Matches
1518,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,26,1993,17.1,74.1,0.29,5.67,36.1,39.2,2.75,68.8,3.51,4.80,73.2,3.51,0.00,59.8,321.5,167.6,9.47,4.04,0.94,2.51,2.63,64.9,56.8,87.6,8.30,Matches
1519,Yunus Mallı\Yunus-Malli,tr TUR,FWMF,Union Berlin,de Bundesliga,27,1992,7.5,40.4,0.93,5.87,20.7,17.3,2.13,39.3,0.67,1.47,45.5,0.67,0.00,26.7,141.9,78.3,3.87,2.27,0.40,2.53,2.00,38.7,29.3,75.9,7.73,Matches
1520,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,28,1991,21.8,72.0,4.13,23.0,33.4,19.2,0.92,60.0,0.37,0.55,66.7,0.37,0.00,37.2,168.0,82.6,3.85,1.83,0.14,0.78,0.55,43.6,39.7,91.1,1.83,Matches
1521,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,16.9,27.6,0.47,2.96,15.0,11.6,3.25,25.7,0.95,1.72,55.2,1.07,0.06,18.6,91.5,50.3,2.07,0.83,0.83,2.54,1.95,34.0,17.7,52.0,7.63,Matches
1522,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,19,1999,1.6,65.6,2.50,25.0,36.9,10.6,2.50,65.6,1.25,1.25,100.0,1.25,0.00,43.1,265.6,116.3,2.50,0.63,0.63,0.00,1.88,43.8,40.6,92.9,0.63,Matches
1523,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,30,1989,22.0,69.8,2.91,21.7,33.6,17.8,0.68,58.4,0.27,0.64,42.9,0.27,0.05,41.4,167.4,88.8,3.91,1.32,0.05,0.55,0.64,44.1,41.8,94.6,1.27,Matches
1524,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,1996,30.4,64.9,8.13,30.8,34.4,4.61,1.09,62.9,0.33,0.46,71.4,0.33,0.00,42.9,262.1,149.3,3.52,0.76,0.07,0.33,0.33,46.4,45.2,97.4,0.99,Matches
1525,Marco Mancosu\Marco-Mancosu,it ITA,MFFW,Lecce,it Serie A,30,1988,27.1,44.3,1.37,8.15,21.8,17.7,4.06,42.8,1.00,1.55,64.3,1.03,0.00,28.2,171.3,105.4,5.02,1.77,0.52,1.73,1.03,40.3,31.8,79.0,6.94,Matches
1526,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,34.4,30.2,34.3,0.23,0.00,0.00,26.1,0.04,0.08,50.0,0.04,0.00,18.7,85.5,42.5,0.00,0.00,0.00,0.04,0.00,15.8,15.7,99.3,0.00,Matches
1527,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,25,1994,12.3,64.8,2.36,13.6,36.4,18.6,0.89,56.2,0.98,1.63,60.0,1.06,0.00,39.4,167.5,89.2,4.07,1.63,0.41,0.65,0.89,38.6,35.9,92.8,2.11,Matches
1528,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,27,1991,28.6,71.6,10.9,38.8,34.5,2.17,0.66,68.2,0.21,0.31,66.7,0.28,0.00,46.8,227.1,111.6,2.10,0.28,0.00,0.14,0.14,51.7,50.7,98.1,0.59,Matches
1529,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,22,1997,22.8,54.6,1.58,11.9,27.4,17.1,2.11,50.8,0.57,1.32,43.3,0.61,0.04,31.6,108.9,53.8,2.54,0.66,0.18,0.88,0.83,39.7,34.3,86.4,3.90,Matches
1530,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,27,1992,30.5,52.1,0.43,4.10,20.6,32.8,7.18,51.5,2.49,3.80,65.5,2.75,0.20,40.9,260.9,144.5,7.70,2.69,1.87,2.79,2.36,60.4,41.8,69.2,12.9,Matches
1531,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,28,1991,7.5,47.1,9.33,28.8,19.3,0.80,0.53,46.3,0.00,0.13,0.0,0.00,0.00,27.3,120.7,42.5,1.07,0.13,0.00,0.13,0.13,30.5,30.0,98.3,0.40,Matches
1532,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,32,1987,20.8,75.0,1.63,14.6,44.4,21.0,1.68,67.5,1.11,1.35,82.1,1.15,0.05,49.1,226.3,106.8,4.04,1.15,0.10,0.91,1.20,55.8,51.4,92.2,2.64,Matches
1533,Massimiliano Mangraviti\Massimiliano-Mangraviti,it ITA,DF,Brescia,it Serie A,21,1998,10.8,50.0,6.94,26.2,21.5,4.44,0.37,44.4,0.00,0.00,,0.00,0.00,27.9,168.8,99.0,2.22,0.37,0.00,0.28,0.09,29.5,28.6,96.9,0.28,Matches
1534,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,1991,24.2,69.3,10.1,35.1,37.6,1.57,0.99,67.4,0.08,0.08,100.0,0.08,0.00,45.1,271.9,153.5,3.64,0.29,0.00,0.21,0.08,50.4,50.0,99.1,0.87,Matches
