,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-176,1993,26.9,42.9,7.62,24.3,18.1,2.49,1.00,40.8,0.33,0.56,60.0,0.37,0.04,20.6,113.5,60.1,0.93,0.30,0.00,0.37,0.48,23.2,21.2,91.7,0.19,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-068,1994,30.0,38.7,1.67,3.97,19.7,16.8,5.40,36.8,0.43,0.73,59.1,0.43,0.00,19.8,82.8,40.0,2.10,0.63,0.53,2.80,1.13,49.3,29.0,58.8,7.87,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-289,1995,23.4,92.4,9.15,41.3,54.0,4.10,1.20,90.3,0.56,0.64,86.7,0.56,0.00,66.9,401.8,219.9,6.37,0.73,0.13,0.17,0.21,71.7,70.3,98.0,0.17,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-053,1993,7.4,46.8,5.14,20.7,20.3,7.57,0.00,35.0,1.08,1.22,88.9,1.08,0.00,15.5,96.1,44.2,2.03,0.41,0.00,0.54,0.54,15.4,14.5,93.9,0.54,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-119,2001,1.6,40.6,0.63,6.25,16.9,18.1,5.00,39.4,2.50,4.38,57.1,3.13,0.00,25.6,129.4,74.4,3.75,0.00,1.25,1.88,5.00,62.5,29.4,47.0,9.38,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-075,1995,6.9,90.4,4.49,25.2,63.6,8.26,0.72,87.2,0.00,0.00,,0.00,0.00,66.4,337.5,211.2,7.68,2.03,0.00,0.29,0.29,73.8,72.2,97.8,0.43,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-135,1997,4.2,51.4,3.33,13.3,36.0,5.48,0.00,51.2,0.71,0.95,75.0,0.71,0.48,34.8,193.3,83.6,2.38,0.24,0.00,0.24,0.95,36.2,34.3,94.7,0.48,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-205,1992,9.6,44.0,2.19,11.1,23.9,12.5,1.88,42.6,1.88,2.40,78.3,1.88,0.42,29.0,144.7,63.8,2.71,0.94,0.31,1.67,1.67,30.3,23.6,78.0,3.44,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-015,1995,11.4,61.1,6.23,28.2,32.6,4.39,0.61,56.8,0.53,0.88,60.0,0.61,0.09,39.6,201.8,112.6,3.07,0.70,0.18,0.53,0.09,40.6,39.1,96.3,0.53,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-314,1992,27.3,84.7,5.97,31.4,49.5,10.5,0.73,81.3,0.40,0.48,84.6,0.44,0.07,61.0,397.0,202.5,6.81,1.17,0.22,0.70,0.44,64.7,62.2,96.1,1.43,Matches
