,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
2483,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,22-091,1999,3.0,64.0,3.67,19.3,30.7,17.0,0.67,61.3,0.67,1.00,66.7,0.67,0.00,39.0,189.0,59.0,2.67,0.67,0.00,0.33,0.67,39.0,37.0,94.9,1.67,Matches
2484,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,23-349,1997,3.9,60.0,1.79,16.2,24.6,21.8,1.54,52.8,0.77,1.03,75.0,0.77,0.00,39.2,145.4,73.8,3.85,1.54,0.26,1.03,0.00,43.3,39.0,89.9,3.08,Matches
2485,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,29-004,1992,28.0,35.5,31.6,35.4,0.18,0.04,0.04,29.1,0.00,0.04,0.0,0.04,0.00,21.1,78.5,46.0,0.00,0.00,0.00,0.00,0.00,20.7,20.6,99.5,0.00,Matches
2486,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-057,1990,0.5,40.0,34.0,40.0,0.00,0.00,0.00,26.0,0.00,0.00,,0.00,0.00,18.0,184.0,118.0,0.00,0.00,0.00,0.00,0.00,18.0,16.0,88.9,0.00,Matches
2487,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,24-061,1997,24.4,41.4,0.25,3.11,18.6,22.2,5.33,40.4,1.02,1.80,56.8,1.07,0.00,26.5,134.0,75.9,3.77,1.35,0.74,2.38,1.43,47.4,31.4,66.2,9.06,Matches
2488,Claudio Terzi\Claudio-Terzi,it ITA,DF,Spezia,it Serie A,36-319,1984,17.8,76.5,7.98,38.1,41.9,3.15,0.39,73.2,0.17,0.28,60.0,0.22,0.00,48.1,363.0,199.8,5.17,1.01,0.00,0.11,0.11,55.0,53.9,98.0,0.00,Matches
2489,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,eng Premier League,25-207,1995,13.8,62.3,3.77,20.4,26.7,18.1,1.23,54.9,0.22,0.94,23.1,0.29,0.14,34.6,167.2,79.8,3.48,1.38,0.14,1.23,0.51,37.6,32.8,87.3,2.68,Matches
2490,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,25-207,1995,0.2,155.0,5.00,50.0,60.0,50.0,5.00,135.0,0.00,0.00,,0.00,0.00,100.0,410.0,105.0,5.00,0.00,5.00,5.00,10.0,95.0,95.0,100.0,10.0,Matches
2491,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,24-110,1997,8.1,40.9,0.62,5.19,20.7,17.9,3.95,39.9,1.23,2.96,41.7,1.36,0.25,25.4,130.9,91.0,3.95,1.85,0.99,2.84,2.59,45.1,27.4,60.8,7.04,Matches
2492,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,28-098,1993,28.5,60.5,0.67,6.21,29.0,30.0,4.07,55.7,1.93,3.40,56.7,2.04,0.14,43.3,242.8,144.4,8.46,2.53,1.16,2.25,2.46,59.8,46.4,77.6,6.60,Matches
2493,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,19-269,2001,16.1,59.6,11.0,37.0,22.9,2.92,0.87,56.8,0.12,0.19,66.7,0.12,0.00,32.8,156.1,68.2,0.81,0.19,0.00,0.37,0.37,39.1,36.6,93.6,0.50,Matches
2494,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,18-343,2002,10.5,40.8,0.48,6.19,18.6,18.6,1.52,39.4,0.38,0.67,57.1,0.48,0.00,26.9,138.7,68.4,3.62,0.95,0.19,2.67,1.62,45.4,26.8,58.9,3.90,Matches
2495,Sada Thioub\Sada-Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25-337,1995,12.1,60.1,0.99,10.6,29.4,26.4,4.13,58.9,2.98,5.37,55.4,3.14,0.08,49.3,298.8,175.0,9.09,2.73,0.91,3.22,3.31,56.6,46.0,81.3,7.93,Matches
2496,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,19-328,2001,7.5,61.2,3.87,14.1,29.5,20.0,1.33,55.3,0.93,1.60,58.3,0.93,0.13,36.1,135.3,65.9,3.60,0.67,0.40,1.47,1.33,42.3,36.1,85.5,2.13,Matches
2497,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32-326,1988,30.6,59.2,8.63,35.0,26.4,0.85,0.69,57.3,0.13,0.16,80.0,0.13,0.00,33.4,153.7,72.7,1.05,0.03,0.00,0.23,0.20,37.4,35.7,95.5,0.23,Matches
2498,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27-145,1993,26.2,51.8,0.27,6.18,25.7,22.3,4.66,50.3,0.92,2.06,44.4,0.99,0.08,36.0,146.4,60.3,3.05,0.88,0.46,1.83,2.06,49.6,36.5,73.5,6.03,Matches
2499,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,de Bundesliga,26-257,1994,2.5,56.8,0.40,7.20,26.8,28.4,4.00,53.2,1.20,2.40,50.0,1.20,0.00,39.6,277.2,149.2,7.20,2.00,1.60,3.60,1.60,56.0,42.0,75.0,7.20,Matches
2500,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24-364,1996,27.9,44.5,2.40,11.3,25.1,9.64,2.04,43.6,0.43,0.61,70.6,0.43,0.04,21.3,91.9,46.7,2.29,0.72,0.18,0.93,0.82,35.6,26.1,73.2,2.01,Matches
2501,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-271,1997,16.9,46.9,1.24,6.15,24.3,20.2,5.98,46.3,1.95,3.02,64.7,1.95,0.00,31.1,161.3,101.4,5.15,1.66,1.72,2.90,2.66,51.7,34.1,66.0,8.05,Matches
2502,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,20-039,2001,14.7,66.3,2.86,18.6,43.1,9.86,0.75,65.2,0.95,1.16,82.4,1.02,0.00,43.8,259.6,138.6,4.42,1.36,0.14,0.61,0.61,53.7,49.9,92.9,1.36,Matches
2503,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,22-061,1999,0.1,80.0,0.00,10.0,30.0,60.0,0.00,80.0,0.00,0.00,,0.00,0.00,80.0,340.0,190.0,10.0,10.0,0.00,10.0,10.0,70.0,70.0,100.0,10.0,Matches
2504,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23-362,1997,33.3,79.2,1.41,16.8,46.7,20.3,1.20,75.0,1.14,1.65,69.1,1.29,0.21,51.6,202.9,116.5,4.35,1.35,0.27,0.66,1.29,60.8,57.3,94.2,1.98,Matches
2505,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23-333,1997,22.4,70.0,4.46,21.5,29.1,24.4,2.01,61.3,0.98,1.61,61.1,1.07,0.00,44.7,223.2,138.6,6.03,2.10,0.76,0.67,0.58,50.0,45.3,90.6,3.48,Matches
2506,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22-277,1998,0.6,56.7,1.67,6.67,31.7,20.0,6.67,53.3,0.00,0.00,,0.00,0.00,20.0,95.0,51.7,5.00,0.00,0.00,1.67,1.67,58.3,30.0,51.4,3.33,Matches
2507,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,23-133,1997,1.3,38.5,0.77,6.15,16.2,16.2,5.38,38.5,0.00,0.00,,0.00,0.00,27.7,116.9,51.5,3.85,0.00,0.00,3.85,2.31,49.2,27.7,56.3,10.0,Matches
2508,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,31-199,1989,13.5,51.0,3.19,12.7,29.0,11.0,0.37,45.8,0.15,0.22,66.7,0.15,0.00,21.0,111.1,55.9,2.89,0.52,0.07,0.30,0.22,25.3,23.9,94.4,0.44,Matches
2509,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,21-125,1999,11.8,79.7,12.4,49.0,35.6,1.95,1.02,77.5,1.10,1.53,72.2,1.10,0.08,58.6,436.4,243.5,5.17,0.25,0.00,0.42,0.34,59.6,58.7,98.6,0.17,Matches
2510,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28-232,1992,28.4,43.0,0.35,4.30,20.7,22.0,6.06,42.5,2.01,3.10,64.8,2.18,0.21,31.7,212.5,131.7,7.08,2.36,1.44,2.11,1.51,49.3,34.9,70.9,8.56,Matches
2511,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-274,1994,8.1,72.6,2.10,14.0,45.9,16.9,2.72,70.6,0.74,0.99,75.0,0.74,0.00,51.1,249.4,119.0,4.94,1.23,0.25,1.11,0.86,61.7,54.1,87.6,3.58,Matches
2512,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,26-269,1994,13.8,62.4,4.35,18.6,30.6,17.7,2.46,55.7,0.43,0.94,46.2,0.58,0.00,40.0,196.2,98.6,3.48,1.52,0.29,0.94,0.72,46.1,41.7,90.4,3.62,Matches
2513,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,30-206,1990,26.2,67.7,4.27,22.5,34.9,14.8,1.91,65.0,0.42,0.84,50.0,0.42,0.00,45.4,226.0,125.4,5.19,1.53,0.15,0.57,0.57,48.2,45.7,94.9,1.22,Matches
2514,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-180,1998,26.2,65.6,6.18,25.9,35.8,9.12,0.88,59.8,0.65,1.03,63.0,0.69,0.04,36.7,246.2,139.7,4.16,1.30,0.04,0.73,0.50,41.3,38.9,94.3,0.65,Matches
2515,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,32-036,1989,4.3,40.5,10.0,28.8,11.6,0.93,0.93,39.3,0.00,0.00,,0.00,0.00,17.9,66.7,36.0,0.47,0.00,0.00,0.00,0.00,22.6,21.2,93.8,0.23,Matches
2516,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,23-136,1997,0.5,82.0,38.0,72.0,12.0,0.00,0.00,80.0,0.00,0.00,,0.00,0.00,42.0,180.0,76.0,0.00,0.00,0.00,0.00,0.00,42.0,42.0,100.0,0.00,Matches
2517,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,23-136,1997,12.3,68.2,10.1,41.6,28.9,1.71,0.49,65.9,0.41,0.49,83.3,0.49,0.00,41.3,214.9,102.4,1.54,0.41,0.00,0.16,0.16,45.9,45.0,98.0,0.08,Matches
2518,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20-361,2000,14.8,60.9,2.91,17.2,34.9,13.0,0.74,58.2,0.41,0.68,60.0,0.41,0.00,38.3,202.4,107.5,3.58,1.28,0.07,0.68,0.88,42.4,39.9,93.9,1.15,Matches
2519,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,31-107,1990,18.3,53.9,10.1,29.8,24.4,1.80,0.77,50.9,0.00,0.05,0.0,0.00,0.00,26.8,119.9,61.5,1.26,0.05,0.00,0.22,0.22,30.1,29.1,96.6,0.11,Matches
2520,Toño\Tono,es ESP,DF,Levante,es La Liga,31-178,1989,6.4,59.4,3.13,21.1,24.5,17.0,0.94,50.3,1.41,2.03,69.2,1.56,0.00,39.5,173.9,99.8,5.16,1.72,0.31,0.94,1.25,42.3,37.5,88.6,4.06,Matches
2521,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-287,1989,20.1,59.8,10.2,33.1,28.2,1.84,0.75,56.7,0.45,0.70,64.3,0.60,0.00,33.3,203.9,88.7,1.69,0.20,0.00,0.10,0.60,34.0,33.0,97.1,0.05,Matches
2522,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-309,2001,0.2,50.0,0.00,10.0,35.0,5.00,0.00,50.0,0.00,0.00,,0.00,0.00,25.0,105.0,25.0,0.00,0.00,0.00,0.00,0.00,85.0,35.0,41.2,0.00,Matches
2523,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28-310,1992,1.8,38.9,0.56,2.78,12.8,23.9,6.11,37.2,1.11,3.33,33.3,1.67,0.00,23.9,87.2,35.0,1.67,0.56,0.56,2.78,3.89,54.4,26.7,49.0,8.33,Matches
2524,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,25-082,1996,5.8,64.1,2.76,17.8,40.9,7.41,0.86,63.8,0.17,0.17,100.0,0.17,0.00,37.9,167.4,83.4,3.28,0.52,0.34,0.34,1.38,47.9,45.0,93.9,0.86,Matches
2525,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,eng Premier League,21-064,2000,12.4,42.2,0.81,4.03,14.0,27.0,5.00,41.2,1.45,3.31,43.9,1.53,0.00,32.3,156.0,86.4,5.40,1.21,1.05,1.29,2.42,45.2,32.3,71.6,6.05,Matches
2526,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,26-175,1994,14.2,74.9,0.42,10.1,45.6,24.1,2.11,72.0,1.62,2.04,79.3,1.76,0.00,56.6,267.7,123.2,5.56,2.04,0.21,1.27,1.76,65.8,58.7,89.1,5.35,Matches
2527,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,24-108,1997,30.0,71.4,10.6,39.3,36.3,2.63,0.57,69.3,0.93,1.07,87.5,1.00,0.00,50.3,343.7,224.5,5.33,1.07,0.00,0.37,0.33,52.9,52.1,98.4,0.07,Matches
2528,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,32-058,1989,18.6,44.5,1.40,7.69,21.3,17.6,2.20,40.2,1.18,2.15,55.0,1.34,0.22,28.0,115.9,63.1,2.74,0.97,0.05,1.18,0.81,38.4,29.0,75.6,3.17,Matches
2529,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26-289,1994,14.8,47.9,4.12,11.8,28.6,8.92,1.62,47.6,0.74,0.95,78.6,0.81,0.00,24.7,91.9,34.8,1.49,0.20,0.07,0.88,0.81,32.8,26.2,79.8,1.22,Matches
2530,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-270,1997,8.6,74.8,8.72,47.4,31.6,2.21,0.70,74.1,0.47,0.58,80.0,0.47,0.00,50.9,292.7,173.1,3.14,0.23,0.12,0.35,0.70,54.4,54.0,99.1,0.12,Matches
2531,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29-331,1991,0.5,28.0,0.00,2.00,10.0,20.0,4.00,26.0,0.00,0.00,,0.00,0.00,22.0,88.0,30.0,2.00,4.00,2.00,8.00,0.00,44.0,26.0,59.1,8.00,Matches
2532,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,27-062,1994,18.7,61.2,1.98,10.9,41.2,12.6,1.12,61.0,0.91,1.71,53.1,1.07,0.16,40.1,172.0,83.4,4.01,1.50,0.00,1.07,1.07,48.4,44.0,90.9,1.44,Matches
2533,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,25-006,1996,7.7,56.1,3.38,13.5,22.2,23.9,3.25,52.1,1.69,2.47,68.4,1.82,0.26,32.1,134.8,81.2,4.42,1.69,0.00,2.21,1.30,44.2,34.8,78.8,5.32,Matches
2534,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,24-005,1997,21.4,48.4,3.22,15.5,28.8,6.54,1.03,47.8,0.56,0.89,63.2,0.75,0.00,27.9,166.2,85.1,3.32,0.89,0.19,0.84,0.79,30.4,25.2,82.9,1.31,Matches
2535,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29-292,1991,21.3,48.1,1.13,10.8,22.6,20.7,1.27,45.2,1.64,2.58,63.6,1.78,0.00,34.0,235.4,124.1,5.45,2.63,0.38,1.50,2.49,37.4,28.7,76.9,2.72,Matches
2536,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,eng Premier League,28-061,1993,20.8,60.2,4.28,19.0,29.8,14.1,1.30,50.7,0.48,1.11,43.5,0.48,0.05,30.6,139.9,82.2,2.69,0.63,0.19,1.20,0.72,37.0,33.7,91.2,1.35,Matches
2537,Mattéo Tramoni\Matteo-Tramoni,fr FRA,FWMF,Cagliari,it Serie A,21-104,2000,0.8,42.5,1.25,13.8,15.0,13.8,0.00,42.5,0.00,2.50,0.0,0.00,0.00,25.0,52.5,18.8,0.00,0.00,0.00,2.50,5.00,21.3,16.3,76.5,2.50,Matches
2538,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,eng Premier League,25-099,1996,26.8,44.5,0.67,4.51,23.5,22.4,3.43,43.6,5.52,7.28,75.9,5.97,0.19,38.2,291.3,192.5,10.3,3.02,1.83,2.80,2.87,48.8,34.6,70.7,4.89,Matches
2539,Amadou Traore\Amadou-Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,19-058,2002,2.7,54.4,0.74,8.89,20.7,28.9,5.93,51.5,2.59,5.19,50.0,2.59,0.00,42.6,278.9,184.1,10.7,1.48,3.33,4.07,6.30,55.6,39.6,71.3,7.41,Matches
2540,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,eng Premier League,25-240,1995,21.5,44.2,1.07,5.95,18.0,22.7,3.67,40.8,1.91,3.63,52.6,2.14,0.28,29.7,153.0,68.9,3.49,0.88,0.51,1.91,1.35,40.7,30.1,73.9,3.91,Matches
2541,Chaka Traorè\Chaka-Traore,ci CIV,MFDF,Parma,it Serie A,16-132,2004,0.1,90.0,0.00,0.00,50.0,70.0,30.0,90.0,0.00,10.0,0.0,0.00,0.00,60.0,480.0,370.0,20.0,30.0,0.00,0.00,10.0,100.0,90.0,90.0,30.0,Matches
2542,Charles Traore\Charles-Traore,ml MLI,DF,Nantes,fr Ligue 1,29-123,1992,18.8,63.1,3.46,20.2,32.5,13.3,0.53,52.4,0.37,0.90,41.2,0.48,0.00,29.3,123.2,74.0,3.19,0.85,0.21,0.74,0.80,33.5,30.6,91.4,0.69,Matches
2543,Cheick Traoré\Cheick-Traore,ml MLI,DF,Lens,fr Ligue 1,26-034,1995,0.2,30.0,5.00,15.0,15.0,0.00,0.00,25.0,5.00,5.00,100.0,5.00,0.00,15.0,50.0,5.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,100.0,0.00,Matches
2544,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,fr Ligue 1,29-097,1992,30.3,82.4,1.88,16.5,46.4,24.4,1.52,70.9,0.63,0.86,73.1,0.69,0.00,49.5,239.9,138.5,7.36,2.48,0.36,0.73,0.53,56.5,52.4,92.8,3.23,Matches
2545,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,de Bundesliga,33-013,1988,1.1,57.3,0.00,11.8,19.1,27.3,3.64,53.6,0.91,2.73,33.3,1.82,0.91,32.7,119.1,70.0,7.27,0.91,1.82,0.00,1.82,50.0,38.2,76.4,7.27,Matches
2546,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,34-259,1986,33.3,59.6,6.82,32.0,28.7,2.46,0.75,57.7,0.42,0.51,82.4,0.42,0.00,40.5,180.7,87.4,1.95,0.42,0.03,0.24,0.12,40.5,39.6,97.8,0.30,Matches
2547,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-300,1990,31.0,44.9,37.6,44.7,0.16,0.00,0.00,34.5,0.00,0.00,,0.00,0.00,21.6,100.8,51.6,0.00,0.00,0.00,0.00,0.00,23.0,22.9,99.7,0.00,Matches
2548,Miguel Trauco\Miguel-Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,28-252,1992,20.6,72.5,2.38,23.3,35.5,17.5,0.63,59.9,0.49,1.36,35.7,0.58,0.15,42.1,162.7,87.9,2.96,1.02,0.10,0.73,0.78,44.7,41.2,92.2,1.12,Matches
2549,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,eng Premier League,26-215,1994,13.0,39.9,1.46,7.92,15.6,20.0,5.69,39.8,2.00,2.92,68.4,2.15,0.23,26.3,148.7,90.2,4.85,1.54,1.08,2.08,1.00,40.3,25.2,62.4,5.00,Matches
2550,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,es La Liga,29-199,1991,24.1,69.0,1.33,12.2,42.7,18.2,1.29,67.7,0.83,1.08,76.9,0.87,0.04,52.0,205.9,93.9,3.98,1.37,0.04,1.12,1.54,62.2,53.9,86.7,3.73,Matches
2551,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,de Bundesliga,34-069,1987,26.0,65.0,4.31,21.2,27.2,20.2,0.50,50.0,0.38,0.65,58.8,0.50,0.04,29.9,180.9,94.5,3.69,1.69,0.08,0.54,0.69,35.7,31.3,87.6,1.46,Matches
2552,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,es La Liga,21-126,1999,7.1,64.8,0.85,7.04,23.1,39.6,7.75,63.2,2.54,4.51,56.3,2.54,0.00,52.3,325.5,180.6,9.44,1.69,1.13,1.69,2.82,66.8,54.2,81.2,10.1,Matches
2553,Alessandro Tripaldelli\Alessandro-Tripaldelli,it ITA,DF,Cagliari,it Serie A,22-084,1999,3.3,52.1,3.64,17.9,21.8,14.2,0.91,42.1,0.61,1.82,33.3,0.61,0.00,25.2,129.4,68.5,4.24,1.52,0.30,0.91,1.82,28.8,24.5,85.3,3.33,Matches
2554,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,es La Liga,30-227,1990,23.5,75.1,3.06,20.6,32.6,25.0,0.64,65.5,0.64,0.85,75.0,0.64,0.17,45.2,151.3,82.9,3.15,1.19,0.09,0.64,0.51,51.3,47.4,92.5,3.15,Matches
2555,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,26-151,1994,26.2,49.5,0.27,4.96,21.4,27.2,4.47,47.1,1.53,2.44,62.5,1.56,0.11,38.3,218.2,107.6,5.65,1.76,0.73,1.95,2.48,48.3,35.4,73.2,7.90,Matches
2556,Alexis Trouillet\Alexis-Trouillet,fr FRA,MF,Nice,fr Ligue 1,20-132,2000,1.2,75.0,1.67,10.0,51.7,21.7,3.33,73.3,0.83,1.67,50.0,0.83,0.00,58.3,303.3,174.2,7.50,3.33,0.83,2.50,2.50,61.7,54.2,87.8,8.33,Matches
2557,Adrien Truffert\Adrien-Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,19-165,2001,20.8,69.8,2.21,16.0,33.8,23.8,2.16,61.4,0.72,1.54,46.9,0.96,0.05,44.1,216.7,117.2,6.49,1.49,0.43,1.01,1.11,50.4,45.0,89.3,2.84,Matches
2558,Marvin Tshibuabua\Marvin-Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-116,2002,0.5,54.0,10.0,38.0,10.0,6.00,4.00,54.0,2.00,2.00,100.0,2.00,0.00,16.0,88.0,78.0,0.00,0.00,0.00,2.00,0.00,30.0,28.0,93.3,0.00,Matches
2559,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24-357,1996,0.1,100.0,0.00,10.0,30.0,60.0,0.00,80.0,0.00,0.00,,0.00,0.00,80.0,290.0,120.0,20.0,0.00,0.00,10.0,10.0,110.0,80.0,72.7,10.0,Matches
2560,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,23-171,1997,1.5,90.7,8.00,35.3,51.3,8.00,0.00,86.0,0.00,0.67,0.0,0.00,0.00,58.7,324.0,186.7,7.33,1.33,0.00,1.33,0.67,62.0,61.3,98.9,0.00,Matches
2561,Alessandro Tuia\Alessandro-Tuia,it ITA,DF,Benevento,it Serie A,30-330,1990,18.0,51.7,8.72,30.6,21.5,2.39,0.67,48.0,0.22,0.33,66.7,0.22,0.00,27.2,152.4,83.4,1.61,0.11,0.00,0.33,0.17,30.9,30.4,98.4,0.00,Matches
2562,Ľubomír Tupta\Lubomir-Tupta,sk SVK,MF,Hellas Verona,it Serie A,23-038,1998,0.6,21.7,0.00,1.67,6.67,13.3,5.00,21.7,0.00,0.00,,0.00,0.00,15.0,111.7,25.0,1.67,0.00,0.00,0.00,1.67,33.3,18.3,55.0,11.7,Matches
2563,Tuta\Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21-304,1999,14.4,69.9,8.40,33.6,36.2,5.35,0.49,67.6,0.42,0.49,85.7,0.42,0.00,45.6,229.7,125.1,3.61,1.18,0.07,0.42,0.69,45.2,44.1,97.5,0.35,Matches
2564,Iyenoma Udogie\Iyenoma-Udogie,it ITA,DFMF,Hellas Verona,it Serie A,18-157,2002,1.3,90.0,4.62,24.6,46.2,21.5,0.77,82.3,0.00,0.77,0.0,0.77,0.00,60.8,293.8,100.0,4.62,0.00,0.00,0.77,0.77,61.5,54.6,88.8,2.31,Matches
2565,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,fr Ligue 1,25-045,1996,18.1,62.0,2.43,19.5,29.9,16.7,1.10,52.1,1.38,1.93,71.4,1.44,0.11,35.6,202.6,125.5,5.41,2.15,0.44,1.27,1.22,38.0,34.9,91.9,1.49,Matches
2566,Naomichi Ueda\Naomichi-Ueda,jp JPN,DF,Nîmes,fr Ligue 1,26-192,1994,5.1,52.2,9.02,32.9,22.0,0.98,0.39,50.4,0.20,0.20,100.0,0.20,0.00,32.9,236.7,139.2,4.71,0.00,0.00,0.39,0.00,33.5,32.4,96.5,0.00,Matches
2567,Chimuanya Ugochukwu\Chimuanya-Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,17-039,2004,0.0,7,0,2,5,1,1,7,0,0,,0,0,5,20,7,0,0,0,0,0,7,7,100.0,0,Matches
2568,Hwang Ui-jo\Hwang-Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,28-249,1992,25.4,28.3,0.63,3.11,14.0,12.9,4.29,26.7,0.87,2.24,38.6,0.98,0.08,19.2,85.5,48.7,2.68,0.71,0.47,2.13,0.98,41.3,21.3,51.5,5.35,Matches
2569,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,es La Liga,27-171,1993,6.7,91.8,10.1,39.0,57.3,1.34,0.30,90.4,0.15,0.15,100.0,0.15,0.00,67.0,329.7,212.4,5.52,0.15,0.00,0.30,0.15,73.6,71.5,97.2,0.00,Matches
2570,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,es La Liga,23-359,1997,11.6,37.7,1.03,1.98,17.4,19.6,4.74,36.5,0.60,1.12,53.8,0.60,0.00,20.3,77.1,35.7,2.07,0.60,0.34,3.62,3.10,51.8,27.8,53.7,6.55,Matches
