,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
53,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,30-002,1991,28.0,1.46,0.11,0.04,0.21,0.07,1.30,0.31,-0.10,-0.10,4.39,11.6,37.8,25.0,5.25,38.5,36.4,7.00,28.1,30.2,8.93,0.57,6.4,0.89,0.89,0.53,Matches
54,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,23-022,1998,18.0,1.61,0.06,0.00,0.33,0.00,1.54,0.33,-0.07,-0.07,6.06,15.6,38.9,30.1,5.11,40.2,37.7,8.00,43.1,40.6,9.11,0.56,6.1,0.56,0.56,0.82,Matches
55,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,34-139,1986,16.0,1.31,0.19,0.06,0.19,0.06,1.06,0.29,-0.19,-0.19,5.69,16.3,35.0,27.8,4.38,44.3,38.0,7.56,52.1,42.1,10.4,0.81,7.8,0.44,0.44,0.76,Matches
56,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,33-049,1988,6.0,1.33,0.33,0.00,0.17,0.00,1.13,0.27,-0.20,-0.19,6.33,23.0,27.5,27.8,3.50,57.5,44.0,8.50,82.4,56.6,12.0,0.83,6.9,1.00,1.00,2.63,Matches
57,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,23-305,1997,1.0,2.00,0.00,0.00,0.00,0.00,1.40,0.20,-0.60,-0.59,7.00,22.0,31.8,40.0,10.0,45.0,40.0,10.0,40.0,35.6,11.0,1.00,9.1,0.00,0.00,14.0,Matches
58,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,es La Liga,29-123,1992,4.0,1.00,0.00,0.00,0.25,0.25,0.75,0.25,0.00,-0.01,8.75,19.0,46.1,21.8,3.75,62.1,50.5,6.75,81.5,66.7,8.25,0.75,9.1,0.25,0.25,2.90,Matches
59,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,eng Premier League,30-179,1990,23.5,1.23,0.17,0.04,0.17,0.09,1.14,0.30,-0.01,-0.01,3.40,8.17,41.7,15.8,3.02,34.9,33.2,6.98,37.8,34.0,7.83,0.38,4.9,0.38,0.38,0.60,Matches
60,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33-191,1987,31.0,1.55,0.19,0.00,0.13,0.06,1.50,0.27,0.05,+0.05,7.35,18.6,39.5,33.1,6.48,41.5,36.7,8.77,55.5,45.1,11.8,0.74,6.3,0.71,0.71,0.47,Matches
61,David Gil\David-Gil,es ESP,GK,Cádiz,es La Liga,27-114,1994,1.0,2.00,0.00,0.00,0.00,0.00,1.20,0.40,-0.80,-0.80,5.00,29.0,17.2,28.0,3.00,75.0,51.4,9.00,88.9,64.3,5.00,0.00,0.0,0.00,0.00,9.00,Matches
62,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,it Serie A,26-048,1995,21.0,1.00,0.05,0.00,0.14,0.05,0.97,0.31,0.02,+0.02,5.33,12.1,43.9,22.8,3.19,37.7,36.3,5.19,68.8,53.0,5.81,0.24,4.1,1.00,1.00,0.76,Matches
63,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Rennes,fr Ligue 1,27-242,1993,19.0,1.16,0.11,0.00,0.00,0.00,1.18,0.32,0.03,+0.03,4.21,9.95,42.3,23.9,5.26,28.6,30.4,5.79,53.6,43.8,7.26,0.89,12.3,0.84,0.84,0.84,Matches
64,Alfred Gomis\Alfred-Gomis,sn SEN,GK,Dijon,fr Ligue 1,27-242,1993,5.0,2.00,0.60,0.00,0.40,0.20,1.98,0.30,0.18,+0.17,5.60,18.8,29.8,24.2,5.60,43.0,39.4,13.4,62.7,49.6,15.6,1.60,10.3,0.60,0.60,2.56,Matches
65,Etienne Green\Etienne-Green,fr FRA,GK,Saint-Étienne,fr Ligue 1,20-290,2000,5.0,1.40,0.40,0.20,0.00,0.00,1.26,0.28,-0.14,-0.14,5.40,15.0,36.0,15.2,3.40,57.9,44.3,8.00,77.5,57.8,10.2,1.00,9.8,0.40,0.40,2.42,Matches
66,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,de Bundesliga,22-100,1999,4.0,1.75,0.00,0.00,0.00,0.00,1.57,0.32,-0.17,-0.16,2.50,6.25,40.0,34.0,6.50,16.9,27.3,6.25,8.0,22.2,5.75,0.75,13.0,1.00,1.00,3.98,Matches
67,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,eng Premier League,34-115,1987,33.0,1.70,0.09,0.03,0.21,0.00,1.67,0.35,-0.02,-0.02,6.73,19.2,35.0,20.6,4.00,58.2,43.4,8.45,85.3,60.3,9.91,0.67,6.7,0.33,0.33,0.39,Matches
68,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,30-364,1990,31.0,0.81,0.10,0.00,0.06,0.00,0.72,0.29,-0.09,-0.09,4.23,8.39,50.4,30.5,5.29,24.3,30.3,4.94,20.3,28.3,5.74,0.39,6.7,1.65,1.65,0.60,Matches
69,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,it Serie A,36-295,1984,34.0,0.85,0.09,0.03,0.09,0.03,0.79,0.24,-0.04,-0.03,3.53,7.47,47.2,25.1,4.15,23.9,29.2,5.00,29.4,31.5,7.94,0.47,5.9,0.41,0.41,0.36,Matches
70,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,eng Premier League,24-054,1997,9.5,0.63,0.00,0.00,0.32,0.00,0.75,0.22,0.12,+0.12,2.63,7.79,33.8,16.2,4.74,34.4,33.4,7.26,30.4,31.6,8.21,0.74,9.0,1.26,1.26,1.67,Matches
71,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,es La Liga,27-334,1993,30.9,1.17,0.13,0.00,0.16,0.10,1.27,0.32,0.20,+0.20,13.2,27.8,47.4,26.8,2.43,77.4,54.5,7.38,95.2,64.5,11.5,1.07,9.3,1.55,1.56,0.53,Matches
72,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,33-229,1987,15.0,1.07,0.13,0.00,0.07,0.07,1.00,0.33,0.00,0.00,6.07,11.6,52.3,27.5,4.47,27.9,31.6,8.13,48.4,41.7,5.93,0.47,7.9,0.40,0.40,0.95,Matches
73,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27-358,1993,30.4,1.81,0.23,0.03,0.20,0.00,1.63,0.30,-0.18,-0.18,8.52,19.0,44.9,34.3,3.52,46.5,39.5,6.48,46.7,41.0,8.59,0.30,3.4,0.72,0.72,0.47,Matches
74,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,31-162,1989,25.5,0.98,0.04,0.00,0.00,0.08,0.98,0.32,0.07,+0.07,7.45,17.8,41.9,43.8,5.96,35.8,34.7,5.92,35.1,33.3,7.06,0.67,9.4,1.14,1.14,0.66,Matches
75,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,36-218,1984,8.0,1.63,0.13,0.00,0.25,0.13,1.26,0.28,-0.24,-0.24,7.50,19.1,39.2,26.3,3.13,51.0,41.7,9.25,62.2,47.9,9.38,0.88,9.3,0.50,0.50,1.60,Matches
